Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2023-01-03,2.33,2.45,2.33,2.45,2.48,2.49,48.97,-0.04,SELL,10000.00
2023-01-04,2.45,2.57,2.45,2.57,2.49,2.48,56.12,-0.02,BUY,10000.00
2023-01-05,2.6,3.3279,2.6,3.0,2.51,2.49,71.53,0.02,SELL,11673.13
2023-01-06,3.05,4.74,3.0,4.55,2.61,2.53,87.95,0.18,SELL,11673.13
2023-01-09,4.31,5.7,4.18,5.57,2.76,2.59,91.45,0.39,SELL,11673.13
2023-01-10,5.37,8.27,5.29,7.65,3.01,2.69,94.78,0.71,SELL,11673.13
2023-01-11,7.0,7.77,6.25,7.48,3.25,2.79,91.64,0.94,SELL,11673.13
2023-02-23,2.13,2.13,2.0,2.09,4.93,5.19,30.33,-1.30,SELL,11673.13
2023-04-18,2.32,2.33,2.22,2.3,2.31,2.31,44.71,-0.07,BUY,11673.13
2023-05-03,1.49,1.49,1.42,1.48,2.14,2.15,33.65,-0.26,SELL,7511.63
2023-06-02,2.24,2.34,2.2,2.32,2.17,2.15,55.32,0.07,BUY,7511.63
2023-06-20,2.6,2.82,2.56,2.82,2.39,2.19,70.09,0.13,SELL,9130.13
2023-06-21,2.75,2.97,2.7382,2.9101,2.43,2.20,72.28,0.15,SELL,9130.13
2023-07-03,3.11,3.49,3.0884,3.43,2.69,2.28,75.84,0.23,SELL,9130.13
2023-07-10,3.12,3.8056,3.11,3.71,2.88,2.41,71.77,0.27,SELL,9130.13
2023-08-10,2.55,2.73,2.5,2.69,2.74,2.77,47.90,-0.02,SELL,9130.13
2023-08-18,3.33,3.45,3.21,3.45,2.88,2.88,60.58,0.12,BUY,9130.13
2023-08-21,3.28,4.75,3.24,4.49,2.99,2.93,72.75,0.22,SELL,11881.97
2023-08-22,4.19,5.96,4.1227,5.86,3.17,2.99,81.05,0.41,SELL,11881.97
2023-08-23,5.74,8.4,5.7,7.53,3.43,3.10,86.46,0.69,SELL,11881.97
2023-08-24,7.35,7.9,6.43,7.03,3.66,3.19,79.17,0.86,SELL,11881.97
2023-08-28,7.98,10.1,7.34,9.81,4.25,3.44,86.44,1.32,SELL,11881.97
2023-08-29,10.2,11.169,8.6,10.58,4.61,3.60,87.73,1.60,SELL,11881.97
2023-09-29,1.35,1.39,1.32,1.33,4.22,4.32,32.98,-1.32,SELL,11881.97
2023-10-12,0.83,0.85,0.7703,0.777,1.20,4.05,29.95,-1.02,BUY,11881.97
2023-10-13,0.7567,0.828,0.7505,0.7707,1.17,4.00,29.90,-0.98,BUY,11785.63
2023-10-17,0.7949,0.8,0.52,0.6101,1.11,3.91,28.73,-0.91,BUY,9329.74
2023-10-18,0.61,0.6279,0.551,0.5527,1.08,3.86,28.24,-0.88,BUY,8451.97
2023-10-19,0.57,0.5992,0.5505,0.572,1.04,3.83,28.68,-0.85,BUY,8747.11
2023-10-20,0.58,0.5841,0.5008,0.5173,1.01,3.78,28.15,-0.82,BUY,7910.64
2023-10-23,0.531,0.54,0.511,0.511,0.97,3.73,28.09,-0.79,BUY,7814.30
2023-10-24,0.54,0.54,0.502,0.502,0.93,3.68,27.99,-0.75,BUY,7676.67
2024-01-05,0.3001,0.304,0.265,0.2787,0.40,0.53,28.62,-0.08,BUY,4261.97
2024-01-08,0.2885,0.2885,0.2375,0.2431,0.39,0.52,26.31,-0.08,BUY,3717.57
2024-02-02,1.9,1.9,1.6801,1.83,0.31,0.41,91.23,0.08,SELL,27984.45
2024-02-05,1.82,1.9,1.65,1.7,0.38,0.43,84.91,0.17,SELL,27984.45
2024-02-08,39.52,41.53,17.21,28.7,2.75,1.35,98.59,3.48,SELL,27984.45
2024-02-16,33.3,98.4,33.3,66.36,11.77,4.92,87.57,10.09,SELL,27984.45
2024-03-19,5.35,5.36,4.8,4.95,7.80,8.20,44.90,-1.69,SELL,27984.45
2024-10-10,6.6,6.66,5.1,5.75,0.86,0.57,85.25,0.80,SELL,27984.45
2024-11-27,1.97,2.16,1.97,2.06,2.49,2.54,41.27,-0.23,SELL,27984.45
2024-12-16,1.36,1.3773,1.28,1.34,1.87,2.88,29.35,-0.31,BUY,27984.45
2024-12-30,4.51,7.81,3.42,6.41,1.83,2.46,87.73,0.23,SELL,133861.26
2025-01-02,6.33,6.6,5.52,5.8,2.18,2.49,73.12,0.63,SELL,133861.26
2025-01-07,3.38,3.84,2.96,3.02,2.49,2.48,51.30,0.59,BUY,133861.26
2025-02-03,1.39,1.5,1.37,1.44,2.08,2.12,41.65,-0.26,SELL,63829.34
2025-04-21,14.3,14.6421,11.21,12.2,1.26,1.16,94.47,0.78,BUY,63829.34
2025-04-22,16.57,16.58,12.3,12.67,1.84,1.38,94.68,1.55,SELL,66287.91
2025-04-24,11.65,15.2377,11.03,14.65,3.06,1.86,89.31,2.65,SELL,66287.91
2025-06-11,4.75,5.18,4.68,4.88,5.99,6.03,43.71,-0.46,SELL,66287.91
2025-07-28,5.21,5.2656,5.06,5.14,5.45,5.41,46.64,-0.01,BUY,66287.91
2025-08-11,4.67,4.97,4.44,4.44,4.99,5.01,41.66,-0.25,SELL,57260.71
