Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2019-03-26,5.1,5.16,4.84,5.0,6.10,6.16,30.55,-0.34,SELL,10000.00
2019-05-15,5.32,5.75,5.28,5.72,4.78,4.98,71.67,0.10,SELL,10000.00
2019-05-16,5.79,5.95,5.69,5.86,4.85,4.96,73.58,0.16,SELL,10000.00
2019-05-17,6.43,6.7,5.88,6.11,4.93,4.96,76.62,0.23,SELL,10000.00
2019-06-21,6.62,6.98,6.4118,6.95,6.04,5.46,73.89,0.22,SELL,10000.00
2019-06-24,6.8,7.68,6.71,7.57,6.11,5.53,79.77,0.32,SELL,10000.00
2019-06-25,7.5,7.96,7.4501,7.92,6.18,5.60,82.21,0.42,SELL,10000.00
2019-08-12,7.12,7.12,6.11,6.37,7.51,7.20,28.65,-0.14,BUY,10000.00
2019-08-15,6.29,6.55,4.625,4.89,7.21,7.21,16.85,-0.38,BUY,7677.88
2019-08-16,5.1,5.59,4.92,5.32,7.08,7.20,26.54,-0.46,SELL,8352.98
2019-11-27,6.15,6.3,5.97,6.21,5.34,5.34,70.56,0.22,BUY,8352.98
2019-12-20,6.8,7.23,6.8,7.16,6.44,5.68,73.29,0.33,SELL,9630.73
2019-12-23,7.1,7.24,6.9048,7.21,6.50,5.73,73.96,0.35,SELL,9630.73
2019-12-24,7.15,7.3,7.15,7.29,6.56,5.77,75.04,0.37,SELL,9630.73
2019-12-26,7.3,7.6,7.21,7.6,6.68,5.86,78.96,0.42,SELL,9630.73
2019-12-27,7.59,7.9,7.48,7.88,6.76,5.91,81.75,0.46,SELL,9630.73
2020-01-31,6.39,6.48,5.5,5.82,6.90,6.83,27.57,-0.15,BUY,9630.73
2020-02-03,5.8,6.19,5.68,5.72,6.84,6.83,26.39,-0.21,BUY,9465.33
2020-02-04,6.07,6.52,5.94,6.52,6.83,6.84,46.21,-0.20,SELL,10788.53
2020-02-25,6.0,6.09,5.6,5.7,6.49,6.89,29.46,-0.18,BUY,10788.53
2020-02-26,5.7,5.81,5.33,5.5,6.44,6.87,26.92,-0.24,BUY,10410.13
2020-03-11,5.13,5.26,4.76,4.76,6.01,6.52,27.91,-0.33,BUY,9010.05
2020-03-12,4.37,4.64,4.0,4.25,5.88,6.45,23.75,-0.42,BUY,8045.13
2020-03-16,4.25,4.25,3.54,3.93,5.66,6.35,29.47,-0.52,BUY,7439.69
2020-05-08,5.27,5.27,4.55,4.63,4.44,4.41,56.05,0.03,BUY,8764.79
2020-05-22,4.81,5.33,4.7,5.31,4.47,4.22,70.17,0.10,SELL,10052.03
2020-05-25,5.31,5.31,5.31,5.31,4.52,4.24,70.17,0.15,SELL,10052.03
2020-05-26,5.6,5.65,5.41,5.52,4.57,4.28,73.17,0.21,SELL,10052.03
2020-07-15,5.15,5.57,5.15,5.43,5.27,5.30,52.97,-0.11,SELL,10052.03
2020-08-10,5.87,6.3501,5.87,5.91,5.64,5.61,59.93,0.11,BUY,10052.03
2020-08-24,7.0,7.38,6.91,7.36,6.13,5.71,78.12,0.37,SELL,12517.03
2020-09-29,5.79,5.86,5.65,5.72,6.21,6.23,39.64,-0.19,SELL,12517.03
2020-10-26,5.14,5.14,4.9,4.93,5.56,6.11,27.39,-0.21,BUY,12517.03
2020-10-27,4.92,5.01,4.72,4.96,5.52,6.08,28.71,-0.23,BUY,12593.17
2020-11-10,5.26,6.2,5.26,6.2,5.22,5.69,70.66,-0.12,SELL,15740.29
2020-11-16,6.55,6.89,6.42,6.81,5.32,5.67,71.82,0.17,SELL,15740.29
2020-11-24,6.09,6.2,5.86,5.96,5.65,5.65,52.45,0.23,BUY,15740.29
2021-01-04,7.21,7.677,7.0,7.35,5.90,5.74,73.72,0.28,SELL,19409.89
2021-01-05,7.35,8.35,7.35,8.0,5.99,5.80,78.57,0.39,SELL,19409.89
2021-01-28,8.71,9.69,8.71,9.275,8.09,6.70,75.97,0.65,SELL,19409.89
2021-02-05,9.31,9.92,8.98,9.83,8.63,7.09,74.78,0.67,SELL,19409.89
2021-02-08,9.97,11.1,9.9,11.03,8.79,7.19,81.85,0.78,SELL,19409.89
2021-03-10,8.34,8.44,7.69,7.79,8.32,8.44,43.70,-0.20,SELL,19409.89
2021-05-03,7.67,7.85,7.2,7.75,7.53,7.48,52.69,0.16,BUY,19409.89
2021-05-18,9.22,10.32,9.04,10.12,8.24,7.61,72.46,0.48,SELL,25344.37
2021-05-19,9.98,11.24,9.91,11.07,8.40,7.68,77.45,0.64,SELL,25344.37
2021-07-12,8.43,8.529,7.89,7.97,9.03,9.04,36.03,-0.16,SELL,25344.37
2021-08-16,9.14,9.14,8.71,8.81,8.77,8.73,50.24,0.14,BUY,25344.37
2021-08-31,9.94,10.65,9.71,10.6,9.24,8.88,70.32,0.32,SELL,30492.41
2021-10-07,9.6,9.75,9.53,9.63,9.42,9.45,53.52,-0.07,SELL,30492.41
2021-10-14,10.45,10.7,10.2,10.3,9.54,9.54,64.00,0.13,BUY,30492.41
2021-10-21,10.05,10.1,9.73,9.73,9.63,9.63,50.01,0.14,SELL,28805.21
2021-10-29,9.6,10.15,9.555,10.09,9.77,9.75,57.25,0.06,BUY,28805.21
2021-11-02,10.53,11.37,10.3589,11.22,9.96,9.79,71.24,0.21,SELL,32030.23
2021-11-03,11.12,12.99,10.93,11.8,10.07,9.84,75.74,0.33,SELL,32030.23
2021-11-04,12.05,12.28,11.46,12.0,10.19,9.89,77.08,0.43,SELL,32030.23
2021-12-09,9.46,9.77,9.04,9.04,10.18,10.21,30.51,-0.33,SELL,32030.23
2022-01-04,8.64,8.65,7.97,8.15,8.82,9.87,28.00,-0.33,BUY,32030.23
2022-01-05,8.08,8.37,8.041,8.06,8.75,9.84,26.88,-0.36,BUY,31676.53
2022-01-06,8.13,8.27,7.8782,8.07,8.70,9.80,27.23,-0.38,BUY,31715.83
2022-01-25,7.82,7.82,7.5,7.58,8.30,9.04,25.94,-0.29,BUY,29790.13
2022-01-26,7.59,7.66,7.23,7.425,8.23,8.97,23.95,-0.33,BUY,29180.98
2022-01-27,7.43,7.43,6.79,6.9,8.14,8.89,18.71,-0.40,BUY,27117.73
2022-01-28,6.68,7.1,6.68,6.9,8.05,8.82,18.71,-0.45,BUY,27117.73
2022-06-09,7.41,7.75,7.41,7.62,6.75,6.74,62.41,0.31,BUY,29947.33
2022-08-02,6.7,7.0375,6.5637,6.77,6.97,6.99,45.93,-0.07,SELL,26606.83
2022-08-11,7.7,8.68,7.7,8.54,6.99,7.01,76.77,0.14,SELL,26606.83
2022-09-29,9.87,11.62,9.87,11.52,8.98,8.33,75.33,0.33,SELL,26606.83
2022-09-30,11.52,13.11,11.51,12.07,9.14,8.43,77.70,0.53,SELL,26606.83
2022-10-03,12.11,13.29,12.05,12.82,9.34,8.55,80.45,0.74,SELL,26606.83
2022-11-29,10.68,10.79,10.47,10.77,11.09,11.20,45.56,-0.20,SELL,26606.83
2022-12-20,12.07,12.69,11.86,12.3,11.71,11.62,55.30,0.31,BUY,26606.83
2023-02-03,15.99,17.84,15.99,17.5,14.70,13.62,75.15,0.66,SELL,37854.43
2023-02-06,17.72,19.19,17.39,19.13,14.96,13.79,80.66,0.92,SELL,37854.43
2023-02-07,19.13,19.39,18.15,19.24,15.21,13.96,80.96,1.11,SELL,37854.43
