Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2023-01-20,25.4931,25.4931,25.4931,25.4931,29.15,29.36,30.00,-1.11,SELL,10000.00
2023-03-17,25.47,25.47,24.7412,24.7412,25.80,25.65,42.50,0.12,BUY,10000.00
2023-04-06,24.09,24.09,24.09,24.09,24.88,24.93,44.16,-0.48,SELL,9736.92
2024-01-11,27.94,30.0,26.28,26.63,22.58,24.20,74.92,-0.26,SELL,9736.92
2024-02-02,24.39,24.825,24.38,24.5,23.65,23.57,55.96,0.30,BUY,9736.92
2024-02-12,27.53,28.86,27.515,28.66,24.48,23.70,74.49,0.91,SELL,11388.44
2024-03-04,37.42,38.89,37.4,38.65,29.93,25.82,87.10,2.97,SELL,11388.44
2024-05-02,33.45,33.965,33.16,33.8,36.88,37.18,41.22,-0.85,SELL,11388.44
2024-06-03,39.78,40.12,39.09,39.44,37.65,37.52,56.88,0.74,BUY,11388.44
2024-07-03,34.35,34.6,34.11,34.44,36.94,37.01,40.94,-0.90,SELL,9948.44
2024-10-03,34.4,34.75,34.06,34.72,34.61,34.53,49.27,0.38,BUY,9948.44
2024-11-11,46.66,49.89,46.53,49.57,40.23,36.87,78.10,2.24,SELL,14195.54
2024-11-12,49.02,51.26,48.515,51.05,40.87,37.24,79.82,2.78,SELL,14195.54
2024-11-13,51.24,53.255,50.86,51.04,41.50,37.60,79.78,3.18,SELL,14195.54
2024-12-17,61.37,61.75,60.15,60.73,55.87,47.11,70.57,3.30,SELL,14195.54
2025-02-21,56.39,56.55,53.79,53.92,56.16,56.16,44.35,-0.50,SELL,14195.54
2025-02-27,49.01,49.09,46.9,47.35,54.38,55.65,29.96,-1.73,BUY,14195.54
2025-04-30,53.75,53.765,52.76,53.51,49.38,49.25,61.08,1.45,BUY,16037.38
2025-07-11,66.88,67.235,66.2912,67.21,61.18,60.14,70.86,1.36,SELL,20133.68
2025-07-14,69.17,69.46,67.735,68.18,61.61,60.40,72.73,1.70,SELL,20133.68
