Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2021-12-27,4.5,4.8,4.25,4.3,6.50,12.50,29.42,-2.53,BUY,10000.00
2022-01-10,3.95,3.95,3.5401,3.59,4.39,10.57,29.00,-1.56,BUY,8349.25
2022-01-11,3.74,3.79,3.55,3.64,4.32,10.24,29.61,-1.50,BUY,8465.50
2022-01-13,3.89,3.89,3.2001,3.36,4.19,9.63,29.91,-1.38,BUY,7814.50
2022-01-14,3.22,3.45,3.066,3.17,4.13,9.35,28.89,-1.35,BUY,7372.75
2022-01-17,3.17,3.17,3.17,3.17,4.07,9.03,28.89,-1.31,BUY,7372.75
2022-01-18,3.21,3.4,3.18,3.19,4.01,8.70,29.18,-1.26,BUY,7419.25
2022-01-24,3.0,3.09,2.6301,2.82,3.74,7.49,27.20,-1.07,BUY,6559.00
2022-05-11,1.36,1.48,1.25,1.29,2.23,2.47,28.81,-0.26,BUY,3001.75
2022-08-16,3.1,3.26,2.55,3.25,1.60,1.53,82.31,0.29,SELL,7560.71
2022-10-07,2.19,2.23,2.13,2.19,2.23,2.25,48.83,-0.05,SELL,7560.71
2022-11-14,3.25,3.4199,2.88,2.925,2.26,2.25,65.97,0.16,BUY,7560.71
2022-12-26,2.32,2.32,2.32,2.32,2.41,2.41,46.13,-0.06,SELL,5997.39
2023-05-01,1.87,1.93,1.01,1.09,2.01,2.04,20.77,-0.10,BUY,5997.39
2023-05-02,1.12,1.13,0.851,0.89,1.96,2.02,18.36,-0.17,BUY,4896.99
2023-06-07,1.96,2.3299,1.92,2.22,1.87,1.86,62.84,0.05,BUY,12214.65
2023-06-16,2.45,2.9985,2.45,2.73,2.08,1.92,74.10,0.17,SELL,15020.67
2023-06-19,2.73,2.73,2.73,2.73,2.11,1.93,74.10,0.19,SELL,15020.67
2023-06-22,2.73,3.34,2.73,3.325,2.24,1.98,82.82,0.28,SELL,15020.67
2023-07-21,1.85,1.87,1.83,1.83,2.03,2.08,39.92,-0.10,SELL,15020.67
2023-10-02,1.2,1.2,0.99,1.02,1.29,1.53,27.78,-0.12,BUY,15020.67
2023-10-03,1.01,1.059,0.85,0.875,1.26,1.51,23.23,-0.13,BUY,12885.40
2023-10-25,0.92,1.04,0.8709,0.8917,1.09,1.29,29.48,-0.09,BUY,13131.32
2023-12-29,1.13,1.15,1.07,1.07,1.03,1.03,55.39,0.00,BUY,15756.97
2024-01-12,1.0,1.0,0.98,0.989,1.04,1.04,42.80,-0.01,SELL,14564.16
2024-03-11,0.957,0.9894,0.9017,0.9496,0.94,0.94,51.33,0.01,BUY,14564.16
2024-04-04,0.9748,1.35,0.9392,1.34,0.93,0.92,81.17,0.04,SELL,20551.73
2024-04-05,1.4,1.9,1.34,1.56,0.97,0.94,86.08,0.08,SELL,20551.73
2024-05-03,0.99,0.99,0.94,0.98,0.96,0.96,52.13,-0.01,SELL,20551.73
2024-05-22,1.01,1.0182,0.9409,1.0,0.97,0.97,52.26,0.02,BUY,20551.73
2024-06-03,0.9798,1.02,0.85,0.9949,0.98,0.98,52.63,0.00,SELL,20446.92
2024-06-05,1.0,1.0026,0.9625,1.0,0.98,0.98,53.30,0.01,BUY,20446.92
2024-06-12,0.99,1.01,0.9513,0.9642,0.99,0.99,48.25,0.00,SELL,19714.95
2024-06-17,0.91,0.948,0.9,0.91,0.97,0.97,40.82,-0.01,BUY,19714.95
2024-06-24,0.95,0.95,0.87,0.9,0.95,0.95,42.41,-0.02,SELL,19498.31
2024-07-15,1.12,1.2298,1.1,1.14,0.93,0.96,70.83,0.02,SELL,19498.31
2024-08-01,0.9,0.93,0.8707,0.898,0.95,0.95,45.56,-0.01,BUY,19498.31
2024-08-08,0.8016,0.849,0.8016,0.81,0.93,0.93,38.80,-0.03,SELL,17587.57
2024-10-08,0.72,0.72,0.57,0.678,0.75,0.79,28.12,-0.03,BUY,17587.57
2024-10-09,0.602,0.678,0.6012,0.677,0.74,0.79,27.96,-0.03,BUY,17561.63
2024-10-10,0.678,0.678,0.6501,0.67,0.74,0.78,26.85,-0.03,BUY,17380.05
2024-11-15,0.78,0.7998,0.69,0.754,0.73,0.73,54.43,0.01,BUY,19559.01
2024-12-11,0.639,0.6731,0.639,0.65,0.71,0.71,34.78,-0.02,SELL,16861.25
2024-12-13,0.63,0.672,0.6,0.616,0.69,0.71,29.10,-0.02,BUY,16861.25
2024-12-16,0.62,0.63,0.56,0.58,0.68,0.70,24.36,-0.03,BUY,15875.86
2024-12-17,0.5726,0.62,0.53,0.5387,0.67,0.70,20.28,-0.04,BUY,14745.39
2024-12-18,0.53,0.5823,0.4632,0.4632,0.66,0.69,15.26,-0.05,BUY,12678.81
2025-01-02,0.7,1.23,0.68,1.01,0.62,0.68,77.93,0.01,SELL,27645.82
2025-01-17,0.8784,0.8899,0.8211,0.88,0.72,0.71,59.65,0.06,BUY,27645.82
2025-01-28,8.6,8.6,4.5601,5.51,1.08,0.82,94.35,0.43,SELL,173097.27
2025-01-29,5.7,7.3099,5.5498,6.6,1.38,0.94,95.37,0.80,SELL,173097.27
2025-01-30,6.74,7.21,6.1,6.89,1.69,1.06,95.60,1.10,SELL,173097.27
2025-01-31,6.95,9.2,6.92,9.16,2.12,1.23,96.90,1.51,SELL,173097.27
2025-02-04,7.95,13.61,7.32,12.03,3.02,1.60,88.25,2.17,SELL,173097.27
2025-04-04,8.5,8.65,7.8,8.41,8.50,8.59,49.05,0.19,SELL,173097.27
2025-06-30,7.09,7.3876,6.9118,7.3876,7.37,7.36,50.32,-0.00,BUY,173097.27
2025-07-11,21.07,76.0,20.2,64.17,10.19,8.45,98.19,4.53,SELL,1503508.90
2025-08-25,14.82,15.66,14.57,14.57,14.55,14.80,48.40,-0.35,SELL,1503508.90
