Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2018-08-16,50.31,55.4,50.3,54.01,45.56,41.34,76.54,2.62,SELL,10000.00
2018-10-01,42.63,43.37,42.2,42.39,48.49,48.70,33.17,-2.28,SELL,10000.00
2018-11-19,45.31,45.31,39.0,40.5,44.05,43.95,42.12,0.60,BUY,10000.00
2018-12-13,40.3,41.79,39.41,41.56,42.77,43.01,47.08,-1.11,SELL,10260.76
2019-01-17,50.7,55.13,50.63,53.6,44.08,43.56,74.19,2.34,BUY,10260.76
2019-02-28,59.98,63.01,59.51,62.0,56.73,51.02,71.47,2.16,SELL,11865.16
2019-04-01,57.07,57.08,51.63,51.83,55.86,55.87,40.89,-0.56,SELL,11865.16
2019-05-29,52.79,55.09,52.47,54.29,52.65,52.48,55.11,0.52,BUY,11865.16
2019-07-03,62.24,65.2,62.24,64.11,58.52,55.07,70.77,2.07,SELL,14005.92
2019-09-12,63.01,63.23,60.791,62.68,66.55,66.56,39.52,-0.38,SELL,14005.92
2019-10-02,58.0,58.05,55.02,56.15,63.65,65.34,26.66,-1.74,BUY,14005.92
2019-11-15,63.67,64.1,63.13,63.99,60.34,60.14,59.62,1.29,BUY,15958.08
2019-11-26,68.23,70.76,68.02,70.75,63.51,60.50,72.32,2.27,SELL,17641.32
2019-11-27,70.88,72.31,70.07,71.5,64.13,60.64,73.48,2.58,SELL,17641.32
2020-01-08,76.06,77.5884,75.965,77.22,73.29,69.46,70.09,1.76,SELL,17641.32
2020-01-09,78.27,80.69,78.01,79.0,73.63,69.82,74.17,1.98,SELL,17641.32
2020-01-10,79.62,80.9,79.345,80.63,74.07,70.20,77.23,2.27,SELL,17641.32
2020-02-27,83.94,92.09,82.77,88.51,79.54,78.18,72.13,1.73,SELL,17641.32
2020-03-16,53.25,56.24,50.06,51.51,79.77,79.26,25.28,-3.69,BUY,17641.32
2020-04-30,73.74,75.99,71.58,71.66,67.84,67.55,55.03,2.91,BUY,24532.62
2020-05-22,81.83,86.29,81.7,86.18,73.87,65.18,70.69,3.91,SELL,29498.46
2020-09-01,120.28,124.65,118.98,123.92,111.73,101.60,74.22,5.34,SELL,29498.46
2020-09-14,128.68,132.155,127.89,129.57,118.51,107.67,72.75,5.18,SELL,29498.46
2020-11-03,145.0,160.9,142.0,160.5,126.88,125.36,73.84,2.22,SELL,29498.46
2020-11-04,162.0,167.61,162.0,166.01,128.50,126.30,75.73,5.00,SELL,29498.46
2020-11-05,163.1,168.22,161.71,167.64,130.44,127.35,76.28,7.25,SELL,29498.46
