Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2022-05-09,10.65,10.84,9.3401,9.68,12.90,14.84,27.28,-1.11,BUY,10000.00
2022-05-10,9.96,10.21,8.8502,9.54,12.71,14.69,26.82,-1.24,BUY,9855.38
2022-05-11,9.4,9.74,9.0331,9.2,12.45,14.54,25.69,-1.36,BUY,9504.16
2022-06-29,11.4,11.54,11.04,11.48,11.49,11.45,49.50,0.09,BUY,11859.40
2022-09-12,13.09,13.43,13.06,13.36,14.58,14.70,41.80,-0.61,SELL,13801.44
2022-11-07,9.68,9.78,9.115,9.25,11.37,12.20,27.87,-0.61,BUY,13801.44
2022-11-09,9.19,9.2,8.42,8.7,11.09,11.97,25.61,-0.80,BUY,12980.84
2022-12-15,13.0,13.18,12.03,12.82,11.10,11.05,61.67,0.75,BUY,19127.88
2023-03-03,19.26,20.73,17.82,19.48,16.00,13.89,81.01,1.03,SELL,29064.60
2023-03-06,20.01,20.43,19.63,19.86,16.26,14.04,82.09,1.21,SELL,29064.60
2023-03-07,19.82,21.26,19.72,20.91,16.56,14.22,84.68,1.42,SELL,29064.60
2023-03-08,20.9,21.24,20.5289,21.1,16.85,14.40,85.10,1.58,SELL,29064.60
2023-04-17,20.2,21.57,20.2,21.32,19.14,18.10,70.73,0.55,SELL,29064.60
2023-04-18,21.71,22.4,21.66,21.95,19.29,18.25,73.71,0.70,SELL,29064.60
2023-04-19,21.52,22.14,21.03,22.07,19.48,18.38,74.25,0.81,SELL,29064.60
2023-05-16,19.96,20.42,19.62,19.67,19.35,19.36,53.76,0.01,SELL,29064.60
2023-06-02,22.95,25.0599,22.2,24.31,19.72,19.54,72.38,0.38,BUY,29064.60
2023-06-05,24.7011,27.39,24.7011,27.21,20.13,19.72,78.44,0.92,SELL,32530.10
2023-06-06,27.24,29.0599,26.97,28.09,20.57,19.91,79.88,1.40,SELL,32530.10
2023-08-09,24.71,24.72,23.6,23.75,26.77,26.93,35.73,-0.46,SELL,32530.10
2023-09-01,27.0,31.1197,26.7,30.93,24.93,26.19,75.76,0.52,SELL,32530.10
2023-09-05,30.96,31.86,30.64,31.83,25.26,26.30,77.77,0.92,SELL,32530.10
2023-09-12,30.5,31.0,30.06,30.27,26.96,26.72,65.10,1.49,BUY,32530.10
2023-10-06,23.88,25.98,23.88,25.7,26.04,26.12,49.24,-0.63,SELL,27621.92
2023-11-24,26.48,27.47,26.2418,27.27,24.87,24.66,61.72,0.75,BUY,27621.92
2023-12-01,31.0,34.74,29.63,34.59,26.41,24.91,78.32,1.44,SELL,35029.76
2023-12-04,34.2,35.69,32.8,34.3,26.87,25.13,76.77,1.84,SELL,35029.76
2024-02-01,31.68,31.94,30.91,31.63,32.08,32.09,47.81,-0.12,SELL,35029.76
2024-02-02,31.25,32.98,31.16,32.51,32.20,32.20,52.64,-0.06,BUY,35029.76
2024-02-05,32.65,33.33,31.51,31.77,32.27,32.30,48.57,-0.08,SELL,34232.78
2024-02-26,33.6,34.5,33.3503,33.49,33.04,32.94,52.37,0.26,BUY,34232.78
2024-04-17,30.94,31.38,30.65,30.97,34.71,34.75,34.18,-1.25,SELL,31657.34
2024-05-14,39.6,40.63,39.5,39.55,35.86,35.65,66.69,1.50,BUY,31657.34
2024-06-14,28.46,29.21,28.02,28.07,35.03,35.19,24.90,-2.29,SELL,22473.34
2024-07-23,37.37,38.76,37.19,37.86,35.47,35.15,61.51,1.02,BUY,22473.34
2024-09-09,43.63,46.22,43.0914,46.14,40.72,38.18,71.19,1.32,SELL,27383.38
2024-09-10,46.59,47.68,45.72,47.29,41.18,38.45,73.32,1.69,SELL,27383.38
2024-12-23,44.88,45.78,44.32,45.63,49.72,49.91,41.13,-1.91,SELL,27383.38
2025-02-06,54.01,54.4,53.455,54.02,48.64,48.49,71.68,1.83,BUY,27383.38
2025-02-18,59.47,61.14,59.35,60.96,52.79,48.77,84.88,2.94,SELL,30895.02
2025-03-12,37.0,39.21,37.0,38.02,48.14,48.21,31.49,-3.98,SELL,30895.02
2025-04-04,33.08,33.88,31.66,33.46,38.42,46.08,29.17,-2.49,BUY,30895.02
2025-04-07,31.52,35.147,31.4,33.64,38.40,45.79,29.91,-2.65,BUY,31061.16
2025-05-09,43.55,43.9095,42.3592,43.3,39.43,39.20,64.02,0.94,BUY,39977.34
2025-06-25,40.63,41.04,38.65,38.65,42.24,42.49,35.82,-1.45,SELL,35685.39
2025-09-05,40.39,42.8716,38.39,42.09,34.53,36.74,70.88,0.31,SELL,35685.39
