Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2022-09-20,2.5,2.63,2.27,2.3,2.81,3.75,28.24,-0.33,BUY,10000.00
2022-09-21,2.3,2.33,2.08,2.1,2.76,3.70,25.32,-0.35,BUY,9130.60
2022-09-22,2.13,2.18,2.02,2.17,2.70,3.65,28.12,-0.36,BUY,9434.89
2022-12-16,1.49,1.52,1.38,1.41,1.73,1.97,28.71,-0.13,BUY,6131.17
2022-12-19,1.44,1.5016,1.27,1.34,1.71,1.94,26.60,-0.15,BUY,5826.81
2022-12-20,1.35,1.38,1.14,1.16,1.68,1.92,22.10,-0.17,BUY,5044.17
2023-05-29,0.927,0.927,0.927,0.927,0.87,0.87,54.55,0.02,BUY,4031.09
2023-07-19,0.93,0.95,0.92,0.95,0.96,0.96,47.95,-0.01,SELL,4131.09
2023-08-08,1.01,1.25,0.9707,1.2,0.98,0.98,73.09,0.03,SELL,4131.09
2023-10-06,0.48,0.4986,0.415,0.4301,0.60,0.75,28.03,-0.07,BUY,4131.09
2023-10-09,0.4172,0.43,0.4,0.425,0.59,0.74,27.72,-0.07,BUY,4082.11
2023-10-10,0.41,0.4259,0.35,0.37,0.58,0.73,24.61,-0.08,BUY,3553.89
2023-10-16,0.3675,0.3747,0.22,0.246,0.51,0.67,19.18,-0.10,BUY,2362.87
2023-10-17,4.25,5.49,4.2,4.84,0.72,0.75,92.59,0.26,SELL,46488.24
2023-12-26,3.91,4.09,3.8,3.9,4.02,4.03,49.25,-0.00,SELL,46488.24
2024-02-08,4.202,4.237,4.05,4.1924,4.02,3.99,58.43,0.09,BUY,46488.24
2024-02-27,4.49,4.55,4.41,4.55,4.24,4.02,71.58,0.11,SELL,50453.31
2024-02-28,4.55,4.7,4.55,4.7,4.27,4.03,75.88,0.13,SELL,50453.31
2024-02-29,4.7,5.65,4.7,5.15,4.32,4.06,83.81,0.18,SELL,50453.31
2024-03-01,5.01,5.25,5.01,5.25,4.38,4.08,84.99,0.23,SELL,50453.31
2024-03-28,3.94,3.95,3.86,3.95,4.19,4.19,43.80,-0.12,SELL,50453.31
2024-05-23,3.9,4.06,3.8,3.94,3.95,3.94,48.66,-0.00,BUY,50453.31
2024-06-17,3.91,3.92,3.75,3.8,3.93,3.93,42.68,-0.02,SELL,48660.61
2024-07-29,3.63,6.25,3.5,5.24,3.61,3.77,81.55,0.06,SELL,48660.61
2024-07-30,6.69,9.31,5.8701,7.72,3.82,3.84,90.83,0.37,SELL,48660.61
2024-08-01,7.53,8.29,6.81,7.72,4.20,3.98,83.39,0.76,SELL,48660.61
2024-08-30,4.03,4.45,4.03,4.2,3.95,4.04,50.68,-0.03,SELL,48660.61
2024-09-13,4.37,4.4,4.16,4.38,4.17,4.13,53.93,0.02,BUY,48660.61
2024-09-25,4.01,4.07,3.9,3.9,4.26,4.27,43.58,0.04,SELL,43328.29
2024-10-11,4.14,4.49,3.8801,4.38,4.17,4.12,56.79,-0.04,BUY,43328.29
2024-10-17,3.91,4.0,3.9,3.93,4.04,4.08,46.23,-0.04,SELL,38876.89
2025-01-07,4.0,4.7,4.0,4.57,3.52,3.59,71.92,0.09,SELL,38876.89
2025-01-08,4.5,5.13,4.405,5.11,3.61,3.61,77.51,0.20,SELL,38876.89
2025-01-13,5.6,5.8408,5.4858,5.78,3.84,3.69,82.26,0.43,SELL,38876.89
2025-02-28,3.97,4.09,3.95,4.06,4.58,4.60,38.26,-0.20,SELL,38876.89
2025-06-10,4.01,4.02,3.92,3.93,3.63,3.61,60.58,0.11,BUY,38876.89
2025-07-17,3.34,3.41,3.1601,3.21,3.64,3.65,35.93,-0.13,SELL,31754.65
2025-07-24,3.1,3.14,2.73,2.75,3.38,3.61,26.96,-0.21,BUY,31754.65
2025-07-29,2.75,2.75,2.36,2.4,3.25,3.56,23.05,-0.27,BUY,27713.20
