Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2012-03-27,280.3335,291.6,280.3115,291.6,254.55,222.30,70.88,16.43,SELL,10000.00
2012-03-29,295.4885,321.222,289.178,316.8665,262.75,225.10,75.46,20.04,SELL,10000.00
2012-03-30,317.422,335.1555,316.3115,328.978,267.82,226.89,77.61,22.93,SELL,10000.00
2012-05-17,241.6665,257.8,231.0,233.7335,306.37,309.10,33.22,-21.86,SELL,10000.00
2012-08-30,204.2665,213.3335,196.6665,198.0665,189.09,187.35,53.55,4.82,BUY,10000.00
2012-09-28,153.0665,153.8665,146.9335,147.6,178.74,179.57,32.70,-8.35,SELL,7476.68
2012-10-01,138.6665,139.4,133.1335,134.2,175.78,179.04,28.34,-10.51,BUY,7476.68
2012-12-04,153.2665,154.4,150.4665,153.9335,136.58,136.44,63.49,1.80,BUY,8562.02
2013-01-03,187.6665,188.6665,181.6,186.9335,166.48,149.37,70.51,7.78,SELL,10377.02
2013-02-06,157.2,160.0,155.6,157.4665,162.45,163.91,45.04,0.03,SELL,10377.02
2013-02-18,183.2,183.2,183.2,183.2,168.26,168.14,60.86,4.37,BUY,10377.02
2013-03-08,149.5335,149.6,145.0,145.2665,166.38,167.15,35.17,-4.67,SELL,8252.74
2013-04-12,109.3335,109.7335,106.4665,106.8,120.34,145.17,29.87,-8.94,BUY,8252.74
2013-04-18,109.2665,109.9335,98.0665,98.4665,116.78,140.61,28.01,-9.11,BUY,7611.06
2013-04-19,100.2665,100.6665,98.5335,98.8,115.50,139.11,28.46,-9.48,BUY,7636.74
2013-05-30,111.8,117.4,109.6665,116.6665,113.40,113.18,55.14,-1.70,BUY,9012.46
2013-09-11,148.7,150.2,143.3,147.6165,146.80,147.35,50.51,-1.43,SELL,11395.61
2013-10-22,147.9165,151.6665,146.4665,150.6335,145.08,145.05,58.14,-1.01,BUY,11395.61
2013-12-05,135.2835,135.3165,124.3165,124.7335,150.16,150.44,25.91,-6.18,SELL,9453.11
2014-01-24,87.85,88.8335,76.6665,78.1665,109.14,119.77,24.06,-6.93,BUY,9453.11
2014-01-29,76.05,77.0335,61.2165,62.4665,103.54,114.63,22.94,-10.89,BUY,7569.11
2014-04-02,74.1335,74.5335,72.3,73.1165,71.98,71.96,50.04,-0.25,BUY,8857.76
2014-04-16,66.3335,67.5,66.3335,67.2835,70.42,70.51,43.97,-1.87,SELL,8151.97
2014-05-28,67.1665,67.35,64.2335,64.9335,67.65,67.57,44.17,0.75,BUY,8151.97
2014-06-18,60.6,62.1165,60.4165,61.7835,64.78,64.96,43.62,-1.59,SELL,7758.22
