Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2022-11-15,31.8169,31.8169,31.8169,31.8169,29.77,29.75,63.29,0.42,BUY,10000.00
2023-01-03,30.69,30.69,30.0777,30.0777,30.78,30.79,41.42,-0.28,SELL,9453.89
2023-01-25,31.96,32.4333,31.96,32.4333,31.33,31.29,62.25,0.41,BUY,9453.89
2023-02-02,34.35,34.4595,34.28,34.4595,32.23,31.50,74.21,0.67,SELL,10043.52
2023-03-14,31.52,31.6477,31.52,31.6477,32.25,32.29,44.07,-0.26,SELL,10043.52
2023-04-17,32.9759,32.9759,32.9759,32.9759,32.42,32.41,58.73,0.18,BUY,10043.52
2023-06-30,36.4792,36.5,36.4754,36.4754,35.28,33.88,74.71,0.62,SELL,11107.36
2023-07-12,36.87,36.9158,36.86,36.9158,35.88,34.38,71.97,0.59,SELL,11107.36
2023-07-13,37.2276,37.2276,37.2276,37.2276,35.97,34.48,74.48,0.63,SELL,11107.36
2023-08-25,35.6356,35.6356,35.6356,35.6356,36.45,36.45,41.82,-0.29,SELL,11107.36
2023-09-21,34.7084,34.7084,34.5429,34.5429,36.04,36.53,29.91,-0.31,BUY,11107.36
2023-11-17,37.02,37.03,37.011,37.011,34.96,34.95,69.50,0.58,BUY,11899.62
2023-12-11,38.67,38.67,38.63,38.6544,37.49,35.73,73.83,0.72,SELL,12427.15
2023-12-12,38.8964,38.8964,38.8964,38.8964,37.65,35.82,75.58,0.76,SELL,12427.15
2023-12-13,39.0,39.6278,39.0,39.6278,37.80,35.93,79.93,0.83,SELL,12427.15
2023-12-14,40.01,40.0577,39.97,40.0577,37.96,36.04,81.96,0.92,SELL,12427.15
2023-12-15,40.07,40.122,40.04,40.122,38.12,36.16,82.25,0.98,SELL,12427.15
2023-12-18,40.3227,40.3227,40.3227,40.3227,38.29,36.27,83.16,1.03,SELL,12427.15
2024-03-01,44.8078,44.8078,44.8078,44.8078,42.91,41.29,75.31,0.91,SELL,12427.15
2024-03-21,46.2552,46.2552,46.2552,46.2552,44.60,42.66,72.88,0.82,SELL,12427.15
2024-04-25,43.26,43.3,43.2102,43.2102,44.36,44.39,41.32,-0.46,SELL,12427.15
2024-05-24,45.47,45.47,45.3999,45.3999,44.70,44.70,56.71,0.35,BUY,12427.15
2024-07-16,48.1324,48.1324,48.1324,48.1324,46.74,45.83,75.86,0.50,SELL,13173.13
2024-08-07,44.46,44.46,43.5029,43.5029,46.01,46.02,35.24,-0.57,SELL,13173.13
2024-09-03,46.86,46.86,46.099,46.099,46.42,46.38,46.44,0.34,BUY,13173.13
2024-11-07,52.01,52.5979,52.01,52.5979,49.63,48.42,74.31,0.61,SELL,15025.31
2024-11-08,52.9651,52.9651,52.9651,52.9651,49.80,48.54,75.67,0.80,SELL,15025.31
2024-11-11,53.1009,53.13,53.0751,53.0751,49.96,48.64,76.08,0.95,SELL,15025.31
2024-12-04,55.48,55.5335,55.48,55.5335,53.21,50.76,78.26,1.29,SELL,15025.31
2025-02-27,52.47,52.56,51.6574,51.6574,55.29,54.83,28.36,-0.59,BUY,15025.31
2025-03-05,50.94,51.44,50.41,51.3464,54.36,54.52,33.70,-1.08,SELL,14935.12
2025-04-04,42.6482,42.6482,42.6482,42.6482,48.24,51.98,25.64,-1.61,BUY,14935.12
2025-04-07,43.8,43.83,42.14,42.9021,47.96,51.71,27.04,-1.85,BUY,15023.99
2025-04-08,44.8766,44.8766,42.143,42.143,47.66,51.45,25.50,-2.08,BUY,14758.30
2025-05-13,53.93,53.94,53.7989,53.7989,48.30,48.04,72.00,1.23,BUY,18837.87
2025-07-25,58.0096,58.0096,58.0096,58.0096,56.69,54.91,70.56,0.86,SELL,20311.61
2025-07-28,58.19,58.19,58.1494,58.1494,56.82,54.99,71.43,0.88,SELL,20311.61
2025-08-12,59.7712,59.7712,59.7712,59.7712,57.72,56.09,70.41,0.80,SELL,20311.61
2025-08-13,59.57,59.8676,59.57,59.8676,57.89,56.21,70.88,0.87,SELL,20311.61
