Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2020-12-04,31.79,33.1799,31.42,32.39,28.51,28.51,71.74,0.88,BUY,10000.00
2021-01-19,31.0,33.23,31.0,32.4,29.29,29.32,65.82,0.31,SELL,10003.08
2021-04-01,29.29,29.45,28.06,28.55,26.78,26.71,58.11,0.60,BUY,10003.08
2021-05-18,31.15,35.72,31.15,35.3,29.99,28.46,70.85,0.98,SELL,12365.58
2021-05-19,35.0,37.99,35.0,35.94,30.42,28.70,72.17,1.33,SELL,12365.58
2021-05-20,36.64,37.98,35.0,37.93,30.90,28.95,75.84,1.74,SELL,12365.58
2021-05-21,39.9,40.24,37.54,39.85,31.44,29.25,78.75,2.20,SELL,12365.58
2021-07-20,44.16,45.91,43.71,45.83,40.81,38.96,73.34,1.08,SELL,12365.58
2021-07-21,45.81,47.66,44.55,47.6,41.15,39.30,76.81,1.49,SELL,12365.58
2021-07-22,47.92,49.49,46.71,49.05,41.58,39.66,79.19,1.91,SELL,12365.58
2021-08-23,37.2,38.665,35.575,37.68,41.10,41.20,40.60,-1.44,SELL,12365.58
2021-09-28,46.75,47.35,45.72,46.67,41.81,41.47,67.55,2.01,BUY,12365.58
2021-12-01,52.83,52.83,49.05,49.84,51.51,51.66,43.24,0.57,SELL,13202.46
2021-12-13,51.06,51.48,48.08,50.67,51.75,51.74,49.89,-0.37,BUY,13202.46
2021-12-14,50.32,50.56,48.18,48.54,51.54,51.67,44.43,-0.48,SELL,12648.66
2022-04-12,41.27,41.27,39.73,40.15,38.61,38.51,54.86,0.66,BUY,12648.66
2022-06-08,47.55,50.0,47.03,49.55,42.10,40.28,72.66,2.15,SELL,15609.66
2022-06-24,51.44,54.81,49.83,52.86,45.78,41.80,71.42,2.27,SELL,15609.66
2022-08-09,49.53,50.41,47.65,48.51,49.37,49.60,47.81,-0.53,SELL,15609.66
2022-09-21,41.03,41.53,39.84,39.94,44.23,46.52,29.11,-1.49,BUY,15609.66
2022-10-31,48.5,50.36,48.4,49.82,43.63,43.37,68.93,1.97,BUY,19462.86
2023-01-04,49.39,49.86,48.01,49.67,50.54,50.65,48.23,-0.33,SELL,19404.36
2023-01-19,54.05,55.43,53.42,54.56,51.10,51.09,57.78,1.30,BUY,19404.36
2023-02-17,48.87,50.28,48.46,50.01,50.92,51.04,47.42,-0.76,SELL,17789.11
2023-04-13,50.85,53.3,50.52,53.16,47.83,47.74,66.74,1.18,BUY,17789.11
2023-04-19,58.21,63.32,57.6324,62.5,49.93,48.11,75.69,2.40,SELL,20908.67
2023-04-20,62.85,63.875,60.04,63.75,50.93,48.40,76.91,3.09,SELL,20908.67
2023-04-21,64.0,70.0,63.8,69.7,52.11,48.80,81.64,4.08,SELL,20908.67
2023-05-16,72.78,72.885,69.3,72.75,68.24,56.04,73.50,4.41,SELL,20908.67
2023-08-23,69.7,70.52,68.46,69.06,70.93,71.19,46.38,-1.01,SELL,20908.67
2023-11-21,60.51,60.72,56.5,57.25,64.38,65.33,28.29,-1.30,BUY,20908.67
2024-02-26,66.1,69.41,66.1,67.0,59.07,59.15,70.21,1.36,SELL,24467.42
2024-04-04,56.66,57.12,54.825,55.14,60.53,60.54,35.08,-1.86,SELL,24467.42
2024-04-16,50.0,50.58,48.98,50.12,56.07,60.11,26.82,-2.44,BUY,24467.42
2024-04-17,51.39,51.545,48.03,48.83,55.37,59.92,24.68,-2.71,BUY,23837.90
2024-04-18,48.5,48.97,47.085,47.12,54.72,59.67,22.15,-3.02,BUY,23003.42
2024-04-19,47.12,47.3,45.68,46.19,54.12,59.42,20.90,-3.31,BUY,22549.58
2024-05-13,46.28,46.89,42.21,42.97,45.73,53.97,28.77,-2.67,BUY,20978.22
2024-05-23,42.6,42.6,39.13,39.5,44.52,50.65,27.66,-2.13,BUY,19284.86
2024-07-03,44.66,46.69,44.19,45.91,44.00,43.94,56.23,0.23,BUY,22412.94
2024-07-12,49.39,57.5,48.215,54.37,44.96,44.33,74.28,1.53,SELL,26541.42
2024-09-06,54.19,54.315,47.74,48.29,56.18,54.31,27.71,-0.16,BUY,26541.42
2024-09-13,51.34,51.34,50.095,50.31,54.74,54.82,37.70,-1.35,SELL,27650.40
2024-12-12,36.46,36.5,35.16,35.49,40.44,43.05,29.47,-1.31,BUY,27650.40
2024-12-16,35.27,35.3699,32.74,33.01,39.94,42.48,24.68,-1.94,BUY,25718.48
2025-02-13,35.95,37.11,35.35,36.39,36.10,35.77,52.21,0.16,BUY,28351.50
2025-03-26,34.75,35.03,34.0,34.67,36.11,36.20,41.75,-0.04,SELL,27011.62
2025-05-14,31.3,31.64,27.54,27.8,32.92,33.96,29.31,-0.93,BUY,27011.62
2025-05-15,28.1,28.83,27.43,27.69,32.63,33.82,29.04,-1.18,BUY,26904.81
2025-06-10,34.99,38.0,34.99,37.64,29.98,31.64,72.64,0.73,SELL,36566.26
2025-06-18,34.8,35.29,34.51,34.89,32.28,32.16,56.97,1.39,BUY,36566.26
2025-07-09,37.75,39.49,37.41,39.455,35.57,32.73,70.75,1.24,SELL,41350.38
2025-07-10,39.53,39.88,38.88,39.71,35.73,32.83,71.39,1.44,SELL,41350.38
2025-08-22,35.72,36.797,35.49,35.56,37.78,37.84,35.43,-0.77,SELL,41350.38
