Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-12-18,17.1205,17.1205,17.1205,17.1205,17.44,17.54,28.99,-0.08,BUY,10000.00
2024-12-19,16.9876,16.9876,16.9876,16.9876,17.42,17.52,24.76,-0.11,BUY,9922.39
2025-02-10,172.2211,172.2211,172.2211,172.2211,32.59,23.36,99.73,21.97,SELL,100578.75
2025-02-11,172.0476,172.0476,172.0476,172.0476,40.35,26.46,99.60,29.19,SELL,100578.75
2025-02-28,175.7434,175.7434,175.7434,175.7434,133.81,63.72,96.17,36.83,SELL,100578.75
2025-03-07,172.0687,172.0687,172.0687,172.0687,172.89,79.36,89.14,28.11,SELL,100578.75
2025-03-10,173.2531,173.2531,173.2531,173.2531,172.93,82.49,89.42,26.46,SELL,100578.75
2025-03-11,172.3614,172.3614,172.3614,172.3614,172.94,85.59,87.56,24.80,SELL,100578.75
2025-03-12,171.9175,171.9175,171.9175,171.9175,172.93,88.69,86.59,23.18,SELL,100578.75
2025-03-13,172.47,172.47,172.47,172.47,173.04,91.80,86.78,21.69,SELL,100578.75
2025-03-14,171.8084,171.8084,171.8084,171.8084,173.03,94.90,85.18,20.22,SELL,100578.75
2025-03-17,172.1229,172.1229,172.1229,172.1229,173.02,98.00,85.32,18.86,SELL,100578.75
2025-03-18,172.4522,172.4522,172.4522,172.4522,173.07,101.11,85.47,17.61,SELL,100578.75
2025-03-19,173.58,173.58,173.4301,173.4301,173.18,104.24,85.94,16.51,SELL,100578.75
2025-03-20,173.7247,173.7247,173.7247,173.7247,173.27,107.38,86.09,15.48,SELL,100578.75
2025-03-21,173.1003,173.1003,173.1003,173.1003,173.29,110.50,84.09,14.45,SELL,100578.75
2025-03-24,172.1855,172.1855,172.1855,172.1855,173.25,113.61,81.12,13.40,SELL,100578.75
2025-03-25,172.552,172.552,172.552,172.552,173.16,116.73,81.41,12.46,SELL,100578.75
2025-03-26,172.1343,172.1343,172.1343,172.1343,173.04,119.83,79.94,11.55,SELL,100578.75
2025-03-27,172.2331,172.2331,172.2331,172.2331,172.97,122.94,80.03,10.71,SELL,100578.75
2025-03-28,173.5603,173.5603,173.5603,173.5603,172.86,126.08,81.27,10.03,SELL,100578.75
2025-03-31,174.6794,174.6794,174.6794,174.6794,172.78,129.23,82.27,9.48,SELL,100578.75
2025-04-01,174.942,174.942,174.942,174.942,172.83,132.39,82.51,8.96,SELL,100578.75
2025-04-02,173.8852,173.8852,173.8852,173.8852,172.87,135.53,78.00,8.36,SELL,100578.75
2025-04-03,174.8247,174.8247,174.8247,174.8247,172.99,138.69,79.09,7.88,SELL,100578.75
2025-04-04,174.6907,174.6907,174.6907,174.6907,173.12,141.84,78.50,7.40,SELL,100578.75
2025-04-21,167.3814,167.3814,167.3814,167.3814,171.11,172.13,51.28,1.88,SELL,100578.75
2025-07-07,168.7818,168.7818,168.7818,168.7818,169.17,169.05,46.93,0.37,BUY,100578.75
