Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-12-18,18.1,18.1,17.898,17.898,18.24,18.34,29.07,-0.09,BUY,10000.00
2024-12-19,17.7525,17.7525,17.7525,17.7525,18.22,18.32,24.78,-0.11,BUY,9918.81
2025-02-11,179.8954,179.8954,179.8954,179.8954,34.08,24.42,99.69,22.95,SELL,100394.55
2025-02-12,178.0391,178.0391,178.0391,178.0391,42.11,27.61,98.39,30.35,SELL,100394.55
2025-03-03,183.3415,183.3415,183.3415,183.3415,139.71,66.54,95.73,38.46,SELL,100394.55
2025-03-10,180.3196,180.3196,180.3196,180.3196,180.19,82.75,89.45,29.16,SELL,100394.55
2025-03-11,179.3541,179.3541,179.3541,179.3541,180.15,85.98,87.64,27.37,SELL,100394.55
2025-03-12,178.8762,178.8762,178.8762,178.8762,180.10,89.20,86.70,25.62,SELL,100394.55
2025-03-13,179.4751,179.4751,179.4751,179.4751,180.18,92.44,86.89,24.01,SELL,100394.55
2025-03-14,178.7786,178.7786,178.7786,178.7786,180.12,95.66,85.37,22.41,SELL,100394.55
2025-03-17,179.8464,179.8464,179.8464,179.8464,180.10,98.90,85.78,20.99,SELL,100394.55
2025-03-18,179.4662,179.4662,179.4662,179.4662,180.11,102.13,84.87,19.61,SELL,100394.55
2025-03-19,179.47,180.4732,179.4275,180.4732,180.22,105.39,85.31,18.39,SELL,100394.55
2025-03-20,180.8141,180.8141,180.8141,180.8141,180.34,108.65,85.47,17.25,SELL,100394.55
2025-03-21,180.1258,180.1258,180.1258,180.1258,180.35,111.90,83.54,16.10,SELL,100394.55
2025-03-24,179.1563,179.1563,179.1563,179.1563,180.31,115.13,80.77,14.94,SELL,100394.55
2025-03-25,179.5317,179.5317,179.5317,179.5317,180.23,118.38,81.04,13.89,SELL,100394.55
2025-03-26,179.2177,179.2177,179.2177,179.2177,180.10,121.61,80.05,12.89,SELL,100394.55
2025-03-27,179.1764,179.1764,179.1764,179.1764,180.02,124.84,79.92,11.95,SELL,100394.55
2025-03-28,180.5744,180.5744,180.5744,180.5744,179.90,128.10,81.10,11.19,SELL,100394.55
2025-03-31,181.7733,181.7733,181.7733,181.7733,179.82,131.38,82.07,10.56,SELL,100394.55
2025-04-01,182.067,182.067,182.067,182.067,179.88,134.67,82.31,9.98,SELL,100394.55
2025-04-02,181.0051,181.0051,181.0051,181.0051,179.94,137.94,78.23,9.32,SELL,100394.55
2025-04-03,181.9183,181.9183,181.9183,181.9183,180.05,141.22,79.18,8.77,SELL,100394.55
2025-04-04,182.1044,182.1044,182.1044,182.1044,180.20,144.51,79.38,8.25,SELL,100394.55
2025-04-22,175.3411,175.3411,175.3411,175.3411,177.83,179.14,55.18,1.95,SELL,100394.55
2025-07-03,176.1791,176.1791,176.1791,176.1791,175.92,175.90,50.50,0.52,BUY,100394.55
