Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-12-18,18.6709,18.6709,18.6709,18.6709,19.04,19.14,29.62,-0.09,BUY,10000.00
2024-12-19,18.5145,18.5145,18.5145,18.5145,19.02,19.12,25.31,-0.12,BUY,9916.33
2025-02-11,187.6659,187.6659,187.6659,187.6659,35.55,25.47,99.67,23.95,SELL,100412.33
2025-02-12,185.6496,185.6496,185.6496,185.6496,43.92,28.80,98.32,31.66,SELL,100412.33
2025-03-03,191.52,191.52,189.67,190.4511,145.36,69.25,94.89,39.88,SELL,100412.33
2025-03-10,187.2634,187.2634,187.2634,187.2634,187.39,86.09,88.51,30.22,SELL,100412.33
2025-03-11,186.2602,186.2602,186.2602,186.2602,187.31,89.44,86.76,28.36,SELL,100412.33
2025-03-12,185.7408,185.7408,185.7408,185.7408,187.21,92.78,85.81,26.54,SELL,100412.33
2025-03-13,186.3732,186.3732,186.3732,186.3732,187.25,96.14,86.01,24.87,SELL,100412.33
2025-03-14,185.6386,185.6386,185.6386,185.6386,187.15,99.48,84.51,23.21,SELL,100412.33
2025-03-17,185.9889,185.9889,185.9889,185.9889,187.05,102.83,84.65,21.68,SELL,100412.33
2025-03-18,186.3622,186.3622,186.3622,186.3622,187.02,106.19,84.80,20.26,SELL,100412.33
2025-03-19,187.4638,187.4638,187.4638,187.4638,187.15,109.57,85.27,19.00,SELL,100412.33
2025-03-20,187.8002,187.8002,187.8002,187.8002,187.25,112.96,85.42,17.83,SELL,100412.33
2025-03-21,187.0752,187.0752,187.0752,187.0752,187.28,116.33,83.47,16.65,SELL,100412.33
2025-03-24,186.048,186.048,186.048,186.048,187.23,119.69,80.65,15.46,SELL,100412.33
2025-03-25,186.4376,186.4376,186.4376,186.4376,187.14,123.05,80.92,14.37,SELL,100412.33
2025-03-26,185.9631,185.9631,185.9631,185.9631,187.00,126.41,79.50,13.32,SELL,100412.33
2025-03-27,186.048,186.048,186.048,186.048,186.92,129.76,79.57,12.36,SELL,100412.33
2025-03-28,187.5322,187.5322,187.5322,187.5322,186.80,133.15,80.79,11.58,SELL,100412.33
2025-03-31,188.8086,188.8086,188.8086,188.8086,186.72,136.55,81.79,10.93,SELL,100412.33
2025-04-01,189.1405,189.1405,189.1405,189.1405,186.76,139.97,82.05,10.33,SELL,100412.33
2025-04-02,188.0661,188.0661,188.0661,188.0661,186.82,143.36,78.12,9.66,SELL,100412.33
2025-04-03,189.0039,189.0039,189.0039,189.0039,186.94,146.77,79.07,9.10,SELL,100412.33
2025-04-04,189.06,189.06,189.06,189.06,187.10,150.18,79.12,8.56,SELL,100412.33
2025-04-22,181.8168,181.8168,181.8168,181.8168,184.59,186.09,54.63,1.96,SELL,100412.33
2025-07-03,182.9529,182.9529,182.9529,182.9529,182.64,182.59,50.76,0.57,BUY,100412.33
