Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-12-18,20.26,20.26,20.1457,20.1457,20.56,20.67,29.73,-0.10,BUY,10000.00
2024-12-19,19.9676,19.9676,19.9676,19.9676,20.54,20.65,25.33,-0.13,BUY,9911.66
2025-02-12,200.0748,200.0748,200.0748,200.0748,38.24,27.41,98.43,25.63,SELL,99244.83
2025-02-13,202.2811,202.2811,202.2811,202.2811,47.36,31.04,98.45,34.15,SELL,99244.83
2025-03-04,202.0359,202.0359,202.0359,202.0359,156.22,74.46,91.49,42.71,SELL,99244.83
2025-03-11,199.8517,199.8517,199.8517,199.8517,201.20,92.48,86.81,32.27,SELL,99244.83
2025-03-12,199.2625,199.2625,199.2625,199.2625,201.04,96.07,85.87,30.25,SELL,99244.83
2025-03-13,199.14,199.9762,199.0405,199.9762,201.03,99.67,86.07,28.39,SELL,99244.83
2025-03-14,199.1625,199.1625,199.1625,199.1625,200.88,103.25,84.63,26.54,SELL,99244.83
2025-03-17,199.5595,199.5595,199.5595,199.5595,200.71,106.84,84.76,24.82,SELL,99244.83
2025-03-18,199.9117,199.9117,199.9117,199.9117,200.63,110.44,84.89,23.21,SELL,99244.83
2025-03-19,201.1456,201.1456,201.1456,201.1456,200.78,114.07,85.35,21.79,SELL,99244.83
2025-03-20,201.578,201.578,201.578,201.578,200.91,117.70,85.51,20.46,SELL,99244.83
2025-03-21,200.7371,200.7371,200.7371,200.7371,200.95,121.32,83.54,19.12,SELL,99244.83
2025-03-24,199.5938,199.5938,199.5938,199.5938,200.91,124.92,80.81,17.76,SELL,99244.83
2025-03-25,199.85,200.0121,199.85,200.0121,200.80,128.53,81.05,16.53,SELL,99244.83
2025-03-26,199.4635,199.4635,199.4635,199.4635,200.66,132.12,79.63,15.33,SELL,99244.83
2025-03-27,199.5598,199.5598,199.5598,199.5598,200.57,135.72,79.69,14.22,SELL,99244.83
2025-03-28,201.2114,201.2114,201.2114,201.2114,200.43,139.35,80.87,13.33,SELL,99244.83
2025-03-31,202.6528,202.6528,202.6528,202.6528,200.35,143.01,81.85,12.59,SELL,99244.83
2025-04-01,203.0389,203.0389,203.0389,203.0389,200.40,146.67,82.12,11.89,SELL,99244.83
2025-04-02,201.9394,201.9394,201.9394,201.9394,200.47,150.31,78.59,11.13,SELL,99244.83
2025-04-03,202.9015,202.9015,202.9015,202.9015,200.60,153.97,79.42,10.48,SELL,99244.83
2025-04-04,202.9188,202.9188,202.9188,202.9188,200.77,157.63,79.44,9.85,SELL,99244.83
2025-04-23,198.46,198.46,196.1596,196.1596,197.81,199.62,57.47,2.19,SELL,99244.83
2025-07-02,197.0767,197.0767,197.0767,197.0767,195.88,195.85,55.17,0.78,BUY,99244.83
