Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-12-19,20.7075,20.7075,20.7075,20.7075,21.32,21.44,25.59,-0.14,BUY,10000.00
2025-02-12,207.482,207.482,207.482,207.482,39.66,28.44,98.37,26.58,SELL,100025.31
2025-02-13,209.8514,209.8514,209.8514,209.8514,49.12,32.20,98.39,35.43,SELL,100025.31
2025-03-04,208.7813,208.7813,208.7813,208.7813,161.56,77.04,90.42,44.10,SELL,100025.31
2025-03-11,206.5021,206.5021,206.5021,206.5021,208.02,95.65,85.71,33.32,SELL,100025.31
2025-03-12,205.8724,205.8724,205.8724,205.8724,207.81,99.36,84.78,31.23,SELL,100025.31
2025-03-13,205.6011,205.6011,205.6011,205.6011,207.72,103.05,84.36,29.22,SELL,100025.31
2025-03-14,206.1136,206.1136,206.1136,206.1136,207.53,106.76,84.51,27.35,SELL,100025.31
2025-03-17,206.2051,206.2051,206.2051,206.2051,207.33,110.47,84.54,25.58,SELL,100025.31
2025-03-18,206.7175,206.7175,206.7175,206.7175,207.23,114.19,84.72,23.95,SELL,100025.31
2025-03-19,208.0324,208.0324,208.0324,208.0324,207.46,117.94,85.19,22.50,SELL,100025.31
2025-03-20,208.2141,208.2141,208.2141,208.2141,207.58,121.70,85.26,21.12,SELL,100025.31
2025-03-21,207.4125,207.4125,207.4125,207.4125,207.62,125.44,83.45,19.74,SELL,100025.31
2025-03-24,206.2238,206.2238,206.2238,206.2238,207.58,129.15,80.71,18.33,SELL,100025.31
2025-03-25,206.822,206.822,206.822,206.822,207.50,132.88,81.05,17.07,SELL,100025.31
2025-03-26,206.0957,206.0957,206.0957,206.0957,207.34,136.60,79.24,15.83,SELL,100025.31
2025-03-27,206.0233,206.0233,206.0233,206.0233,207.22,140.31,79.05,14.67,SELL,100025.31
2025-03-28,207.8995,207.8995,207.8995,207.8995,207.09,144.06,80.36,13.75,SELL,100025.31
2025-03-31,209.6877,209.6877,209.6877,209.6877,207.01,147.84,81.54,13.01,SELL,100025.31
2025-04-01,209.862,209.862,209.862,209.862,207.07,151.62,81.66,12.29,SELL,100025.31
2025-04-02,208.7736,208.7736,208.7736,208.7736,207.14,155.38,78.34,11.51,SELL,100025.31
2025-04-03,209.66,209.66,209.66,209.66,207.28,159.16,79.09,10.83,SELL,100025.31
2025-04-04,209.9688,209.9688,209.9688,209.9688,207.48,162.95,79.36,10.20,SELL,100025.31
2025-04-23,202.5594,202.5594,202.5594,202.5594,204.33,206.29,57.14,2.22,SELL,100025.31
2025-07-03,203.1256,203.1256,203.1256,203.1256,202.26,202.15,53.41,0.74,BUY,100025.31
