Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-12-19,21.4619,21.4619,21.4619,21.4619,22.10,22.21,26.06,-0.15,BUY,10000.00
2025-02-12,214.4243,214.4243,214.4243,214.4243,41.00,29.43,98.32,27.47,SELL,99727.52
2025-02-13,216.57,217.0375,216.29,217.0375,50.79,33.32,98.34,36.63,SELL,99727.52
2025-03-04,215.0444,215.0444,215.0444,215.0444,166.84,79.58,90.22,45.40,SELL,99727.52
2025-03-11,212.6752,212.6752,212.6752,212.6752,214.66,98.74,85.66,34.23,SELL,99727.52
2025-03-12,211.997,211.997,211.997,211.997,214.41,102.55,84.68,32.07,SELL,99727.52
2025-03-13,212.8617,212.8617,212.8617,212.8617,214.33,106.38,84.92,30.08,SELL,99727.52
2025-03-14,212.0243,212.0243,212.0243,212.0243,214.08,110.19,83.58,28.12,SELL,99727.52
2025-03-17,212.5717,212.5717,212.5717,212.5717,213.83,114.01,83.76,26.30,SELL,99727.52
2025-03-18,213.0248,213.0248,213.0248,213.0248,213.68,117.84,83.92,24.61,SELL,99727.52
2025-03-19,214.2438,214.2438,214.2438,214.2438,213.84,121.70,84.36,23.11,SELL,99727.52
2025-03-20,214.5889,214.5889,214.5889,214.5889,213.98,125.57,84.49,21.69,SELL,99727.52
2025-03-21,213.5169,213.5169,213.5169,213.5169,214.00,129.42,82.22,20.25,SELL,99727.52
2025-03-24,212.2426,212.2426,212.2426,212.2426,213.93,133.24,79.48,18.79,SELL,99727.52
2025-03-25,212.6095,212.6095,212.6095,212.6095,213.78,137.07,79.69,17.46,SELL,99727.52
2025-03-26,211.9946,211.9946,211.9946,211.9946,213.59,140.89,78.25,16.17,SELL,99727.52
2025-03-27,211.8752,211.8752,211.8752,211.8752,213.46,144.71,77.95,14.97,SELL,99727.52
2025-03-28,213.5951,213.5951,213.5951,213.5951,213.28,148.55,79.17,13.99,SELL,99727.52
2025-03-31,215.2298,215.2298,215.2298,215.2298,213.15,152.43,80.28,13.19,SELL,99727.52
2025-04-01,215.7367,215.7367,215.7367,215.7367,213.19,156.32,80.63,12.46,SELL,99727.52
2025-04-02,214.7089,214.7089,214.7089,214.7089,213.25,160.19,77.65,11.66,SELL,99727.52
2025-04-03,215.2652,215.2652,215.2652,215.2652,213.35,164.06,78.12,10.95,SELL,99727.52
2025-04-04,215.8205,215.8205,215.8205,215.8205,213.53,167.95,78.61,10.31,SELL,99727.52
2025-04-23,207.9166,207.9166,207.9166,207.9166,209.86,212.40,56.46,2.10,SELL,99727.52
2025-07-01,210.32,210.3675,210.32,210.3675,207.49,207.44,63.67,0.91,BUY,99727.52
