Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-12-19,22.76,22.8041,22.76,22.8041,23.52,23.65,25.66,-0.17,BUY,10000.00
2025-02-13,230.9756,230.9756,230.9756,230.9756,43.64,31.28,99.75,29.28,SELL,101179.12
2025-02-14,232.2405,232.2405,232.2405,232.2405,54.12,35.45,99.76,39.12,SELL,101179.12
2025-03-05,226.7263,226.7263,226.7263,226.7263,176.99,84.45,89.68,48.03,SELL,101179.12
2025-03-12,224.9241,224.9241,224.9241,224.9241,227.64,104.75,85.69,36.17,SELL,101179.12
2025-03-13,226.0793,226.0793,226.0793,226.0793,227.55,108.82,85.96,34.01,SELL,101179.12
2025-03-14,224.9596,224.9596,224.9596,224.9596,227.24,112.86,84.34,31.84,SELL,101179.12
2025-03-17,227.2605,227.2605,227.2605,227.2605,227.00,116.95,84.96,29.95,SELL,101179.12
2025-03-18,226.0447,226.0447,226.0447,226.0447,226.86,121.01,83.07,28.04,SELL,101179.12
2025-03-19,227.3056,227.3056,227.3056,227.3056,227.03,125.11,83.48,26.33,SELL,101179.12
2025-03-20,227.859,227.859,227.859,227.859,227.19,129.22,83.67,24.72,SELL,101179.12
2025-03-21,226.5831,226.5831,226.5831,226.5831,227.21,133.30,81.38,23.09,SELL,101179.12
2025-03-24,225.2057,225.2057,225.2057,225.2057,227.13,137.35,78.87,21.43,SELL,101179.12
2025-03-25,225.6257,225.6257,225.6257,225.6257,226.98,141.42,79.08,19.92,SELL,101179.12
2025-03-26,224.994,224.994,224.994,224.994,226.79,145.47,77.82,18.46,SELL,101179.12
2025-03-27,224.8702,224.8702,224.8702,224.8702,226.66,149.52,77.56,17.10,SELL,101179.12
2025-03-28,226.774,226.774,226.774,226.774,226.46,153.60,78.74,15.99,SELL,101179.12
2025-03-31,227.91,228.5835,227.86,228.5835,226.32,157.72,79.83,15.08,SELL,101179.12
2025-04-01,229.1755,229.1755,229.1755,229.1755,226.37,161.85,80.19,14.24,SELL,101179.12
2025-04-02,228.1128,228.1128,228.1128,228.1128,226.43,165.96,77.53,13.34,SELL,101179.12
2025-04-03,228.666,228.666,228.666,228.666,226.56,170.08,77.94,12.52,SELL,101179.12
2025-04-04,229.93,229.93,229.2657,229.2657,226.75,174.21,78.40,11.79,SELL,101179.12
2025-04-24,222.6532,222.6532,222.6532,222.6532,222.57,225.32,59.95,2.51,SELL,101179.12
2025-07-02,221.2865,221.2865,221.2865,221.2865,220.07,220.07,54.21,0.90,BUY,101179.12
