Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-12-19,24.8437,24.8437,24.8437,24.8437,25.68,25.82,26.24,-0.19,BUY,10000.00
2025-02-14,252.0408,252.0408,252.0408,252.0408,47.66,34.10,99.59,32.08,SELL,101333.23
2025-02-18,249.6979,249.6979,249.6979,249.6979,58.92,38.58,98.43,42.49,SELL,101333.23
2025-03-06,244.5738,244.5738,244.5738,244.5738,191.56,91.48,88.56,51.67,SELL,101333.23
2025-03-13,244.2243,244.2243,244.2243,244.2243,246.30,113.40,85.52,38.98,SELL,101333.23
2025-03-14,243.2013,243.2013,243.2013,243.2013,245.90,117.77,84.26,36.56,SELL,101333.23
2025-03-17,243.954,243.954,243.954,243.954,245.50,122.16,84.44,34.30,SELL,101333.23
2025-03-18,244.5214,244.5214,244.5214,244.5214,245.24,126.55,84.59,32.19,SELL,101333.23
2025-03-19,245.7522,245.7522,245.7522,245.7522,245.42,130.97,84.92,30.27,SELL,101333.23
2025-03-20,246.4055,246.4055,246.4055,246.4055,245.58,135.41,85.10,28.47,SELL,101333.23
2025-03-21,244.8719,244.8719,244.8719,244.8719,245.61,139.82,82.60,26.62,SELL,101333.23
2025-03-24,243.267,243.267,243.267,243.267,245.51,144.20,79.95,24.73,SELL,101333.23
2025-03-25,243.6611,243.6611,243.6611,243.6611,245.33,148.59,80.12,23.00,SELL,101333.23
2025-03-26,242.8236,242.8236,242.8236,242.8236,245.06,152.96,78.60,21.32,SELL,101333.23
2025-03-27,242.5793,242.5793,242.5793,242.5793,244.89,157.32,78.14,19.74,SELL,101333.23
2025-03-28,244.6537,244.6537,244.6537,244.6537,244.65,161.73,79.26,18.44,SELL,101333.23
2025-03-31,246.761,246.761,246.761,246.761,244.47,166.17,80.36,17.38,SELL,101333.23
2025-04-01,247.4984,247.4984,247.4984,247.4984,244.50,170.63,80.74,16.42,SELL,101333.23
2025-04-02,246.4751,246.4751,246.4751,246.4751,244.57,175.06,78.45,15.39,SELL,101333.23
2025-04-03,246.6475,246.6475,246.6475,246.6475,244.68,179.50,78.56,14.42,SELL,101333.23
2025-04-04,247.6629,247.6629,247.6629,247.6629,244.88,183.96,79.23,13.58,SELL,101333.23
2025-04-25,239.6728,239.6728,239.6728,239.6728,239.73,243.23,59.44,2.80,SELL,101333.23
2025-07-01,240.4989,240.4989,240.4989,240.4989,236.90,236.77,63.95,1.13,BUY,101333.23
