Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-12-19,25.5266,25.5266,25.5266,25.5266,26.41,26.54,26.28,-0.20,BUY,10000.00
2025-02-14,258.9231,258.9231,258.9231,258.9231,48.96,35.03,99.59,32.96,SELL,101258.03
2025-02-18,256.7364,256.7364,256.7364,256.7364,60.53,39.63,98.53,43.67,SELL,101258.03
2025-03-06,250.5603,250.5603,250.5603,250.5603,196.37,93.80,88.13,52.89,SELL,101258.03
2025-03-13,250.1572,250.1572,250.1572,250.1572,252.41,116.25,85.04,39.88,SELL,101258.03
2025-03-14,249.071,249.071,249.071,249.071,251.96,120.72,83.76,37.40,SELL,101258.03
2025-03-17,249.544,249.544,249.544,249.544,251.50,125.20,83.87,35.07,SELL,101258.03
2025-03-18,251.1889,251.1889,251.1889,251.1889,251.22,129.72,84.28,32.97,SELL,101258.03
2025-03-19,251.7311,251.7311,251.7311,251.7311,251.44,134.25,84.43,31.00,SELL,101258.03
2025-03-20,252.4256,252.4256,252.4256,252.4256,251.56,138.79,84.62,29.16,SELL,101258.03
2025-03-21,250.6476,250.6476,250.6476,250.6476,251.59,143.31,81.85,27.24,SELL,101258.03
2025-03-24,248.9923,248.9923,248.9923,248.9923,251.47,147.78,79.25,25.29,SELL,101258.03
2025-03-25,249.3847,249.3847,249.3847,249.3847,251.27,152.27,79.41,23.51,SELL,101258.03
2025-03-26,248.286,248.286,248.286,248.286,251.00,156.74,77.53,21.76,SELL,101258.03
2025-03-27,248.2101,248.2101,248.2101,248.2101,250.82,161.21,77.39,20.13,SELL,101258.03
2025-03-28,250.4161,250.4161,250.4161,250.4161,250.55,165.71,78.57,18.80,SELL,101258.03
2025-03-31,251.38,252.5248,251.37,252.5248,250.35,170.26,79.67,17.72,SELL,101258.03
2025-04-01,253.3548,253.3548,253.3548,253.3548,250.37,174.82,80.10,16.73,SELL,101258.03
2025-04-02,252.4389,252.4389,252.4389,252.4389,250.45,179.36,78.13,15.69,SELL,101258.03
2025-04-03,252.3642,252.3642,252.3642,252.3642,250.54,183.90,77.96,14.70,SELL,101258.03
2025-04-04,253.4973,253.4973,253.4973,253.4973,250.73,188.46,78.71,13.84,SELL,101258.03
2025-04-25,245.1709,245.1709,245.1709,245.1709,245.11,249.00,59.11,2.77,SELL,101258.03
2025-07-01,245.0682,245.0682,245.0682,245.0682,241.96,241.94,61.63,1.07,BUY,101258.03
2025-08-01,243.6865,243.6865,243.6865,243.6865,241.44,241.46,56.14,0.26,SELL,100687.39
2025-08-04,244.1214,244.1214,244.1214,244.1214,241.60,241.56,57.39,0.40,BUY,100687.39
2025-09-03,242.4087,242.4087,242.4087,242.4087,242.27,242.27,50.88,0.04,SELL,99981.76
2025-09-04,243.2738,243.2738,243.2738,243.2738,242.27,242.27,54.40,0.11,BUY,99981.76
