Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-10-16,45.0,46.12,44.88,45.87,40.50,37.88,75.79,2.02,SELL,10000.00
2024-11-11,47.08,48.64,46.7,48.19,44.68,40.67,71.73,1.65,SELL,10000.00
2024-11-12,47.78,48.9,47.74,48.1,44.90,40.88,71.10,1.73,SELL,10000.00
2024-12-02,49.3,52.44,49.28,52.0,45.18,43.36,70.01,1.38,SELL,10000.00
2024-12-31,42.27,42.27,41.075,41.27,44.23,44.54,39.97,-1.00,SELL,10000.00
2025-02-10,45.07,45.94,44.82,45.19,44.65,44.62,51.90,0.43,BUY,10000.00
2025-03-12,40.9,41.03,39.91,40.63,43.69,43.87,42.12,-0.91,SELL,8992.24
2025-04-04,33.82,34.0,31.0,31.78,39.47,42.70,28.95,-1.79,BUY,8992.24
2025-04-08,34.55,34.55,30.99,31.62,38.51,42.10,29.51,-2.41,BUY,8947.12
2025-05-08,45.0,45.91,44.465,45.19,39.93,39.72,66.35,1.74,BUY,12773.86
2025-05-13,50.0,62.635,49.36,59.62,42.43,40.27,84.73,3.32,SELL,16843.12
2025-05-14,58.74,59.99,57.26,58.27,43.49,40.61,80.21,4.02,SELL,16843.12
2025-06-02,60.54,62.4478,59.55,61.11,57.23,45.87,71.29,5.11,SELL,16843.12
2025-06-09,63.95,64.7592,62.85,64.58,61.79,48.30,73.27,4.44,SELL,16843.12
2025-07-16,68.55,70.46,68.33,70.44,64.16,61.58,73.01,2.05,SELL,16843.12
2025-07-17,71.61,71.67,70.4326,71.42,64.60,62.11,74.72,2.34,SELL,16843.12
2025-07-18,73.13,74.905,72.65,74.38,65.18,62.69,79.05,2.77,SELL,16843.12
2025-08-12,80.51,84.02,76.69,83.55,75.46,68.34,71.93,2.86,SELL,16843.12
2025-08-13,84.31,89.8,84.13,88.94,76.38,68.86,77.12,3.67,SELL,16843.12
