Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2015-10-21,14.21,14.69,14.17,14.5,15.47,17.67,29.29,-0.95,BUY,10000.00
2015-11-11,18.2,19.38,17.85,17.95,15.19,16.16,72.61,0.22,SELL,12377.05
2015-11-19,17.89,18.48,17.76,18.24,16.25,16.07,70.73,0.70,BUY,12377.05
2015-12-16,20.31,21.86,20.3,21.56,19.94,17.33,70.16,0.84,SELL,14628.01
2015-12-17,21.75,22.22,21.5,21.82,20.11,17.46,71.47,0.91,SELL,14628.01
2015-12-30,21.85,22.6,21.77,22.56,20.80,18.66,70.91,0.80,SELL,14628.01
2016-01-26,19.55,20.31,19.55,19.98,20.24,20.25,50.41,-0.30,SELL,14628.01
2016-02-05,23.75,24.4,23.14,23.79,20.05,20.53,76.41,0.50,SELL,14628.01
2016-02-11,23.89,24.26,22.72,23.03,20.82,20.81,62.76,0.88,BUY,14628.01
2016-03-02,24.75,25.65,24.54,25.29,23.84,21.78,71.26,0.90,SELL,16063.11
2016-05-06,24.59,24.73,23.8,24.47,25.61,25.74,40.63,-0.27,SELL,16063.11
2016-05-19,22.74,22.85,20.8,21.71,24.35,25.52,28.30,-0.83,BUY,16063.11
2016-06-21,24.94,24.98,24.06,24.88,24.69,24.57,52.61,0.21,BUY,18405.74
2016-07-25,28.43,30.65,28.4,30.48,25.28,24.60,76.48,1.03,SELL,22544.14
2016-07-26,30.6,31.41,30.54,30.72,25.64,24.76,77.08,1.27,SELL,22544.14
2016-08-18,32.22,34.56,32.04,34.31,31.24,27.36,74.64,1.69,SELL,22544.14
2016-08-19,34.45,34.79,34.27,34.6,31.60,27.56,75.50,1.77,SELL,22544.14
2016-09-06,35.45,36.85,35.39,36.25,33.89,29.97,73.95,1.49,SELL,22544.14
2016-09-07,36.83,37.45,36.57,37.35,34.17,30.24,77.61,1.60,SELL,22544.14
2016-09-08,37.33,37.82,36.94,37.6,34.46,30.51,78.35,1.68,SELL,22544.14
2016-09-14,37.25,38.92,37.25,38.3,35.41,31.61,73.24,1.70,SELL,22544.14
2016-09-15,38.3,39.57,38.3,39.15,35.65,31.92,75.82,1.79,SELL,22544.14
2016-09-19,39.98,41.18,39.8,40.55,36.21,32.53,79.57,1.98,SELL,22544.14
2016-09-30,41.59,41.97,41.18,41.77,39.28,35.22,71.25,2.07,SELL,22544.14
2016-10-31,37.75,37.95,32.9,33.6,40.86,39.07,25.44,-0.58,BUY,22544.14
2016-11-07,36.35,37.05,35.75,35.85,38.78,39.21,39.98,-1.33,SELL,24051.64
2016-12-08,40.45,44.0,40.11,43.5,40.14,39.76,62.77,0.47,BUY,24051.64
2017-01-10,36.6,37.55,36.3,37.5,38.94,39.10,43.18,-0.81,SELL,20739.64
2017-02-08,42.0,46.45,41.9,45.85,37.44,38.52,76.34,0.89,SELL,20739.64
2017-02-09,46.15,49.4,45.9,46.6,37.96,38.70,77.53,1.41,SELL,20739.64
2017-02-13,48.5,50.2,48.25,49.55,39.18,39.11,81.65,2.37,BUY,20739.64
2017-04-21,44.1,46.15,44.0,45.2,48.21,48.32,43.84,-1.26,SELL,18921.34
2017-05-18,51.4,53.25,50.55,53.05,48.53,48.43,58.96,1.97,BUY,18921.34
2017-06-06,57.25,64.55,57.25,62.85,56.21,50.62,71.44,2.85,SELL,22410.14
2017-06-07,62.95,63.55,61.9,63.5,56.75,50.82,72.40,3.09,SELL,22410.14
2017-06-08,63.25,65.32,62.45,65.1,57.42,51.05,74.64,3.37,SELL,22410.14
2017-08-11,52.65,53.85,51.85,51.95,61.04,61.14,30.92,-1.56,SELL,22410.14
2017-10-12,58.0,60.2,57.46,58.95,56.17,56.08,57.39,0.39,BUY,22410.14
2017-10-17,55.9,57.0,55.75,56.1,55.85,55.93,48.33,0.19,SELL,21327.14
2017-10-23,55.8,59.75,55.15,59.5,56.32,56.16,58.89,0.25,BUY,21327.14
2017-11-30,54.35,55.15,53.5,54.05,57.47,57.63,37.70,-0.54,SELL,19376.04
2017-12-04,52.9,53.3,46.975,47.15,56.60,57.48,25.52,-1.58,BUY,19376.04
2017-12-05,47.8,49.25,47.0,47.15,56.16,57.40,25.52,-2.09,BUY,19376.04
2018-01-23,45.65,45.79,43.15,44.1,50.28,52.34,28.31,-1.24,BUY,18125.54
2018-02-20,58.5,59.6,58.35,58.75,51.44,51.12,67.17,2.65,BUY,24146.69
2018-03-06,64.55,65.75,63.55,65.3,59.25,52.93,77.26,3.27,SELL,26838.74
2018-03-07,64.4,66.0,64.3,65.3,59.84,53.23,77.26,3.37,SELL,26838.74
2018-03-09,65.9,69.25,65.75,68.975,60.92,53.96,82.52,3.70,SELL,26838.74
2018-03-12,71.0,74.4,70.4,72.0,61.68,54.42,85.49,4.12,SELL,26838.74
2018-03-13,72.55,73.55,71.15,71.9,62.40,54.86,84.98,4.40,SELL,26838.74
2018-04-18,61.75,63.25,60.5,63.05,63.00,63.15,50.41,-0.56,SELL,26838.74
2018-05-28,63.35,63.35,63.35,63.35,61.94,61.41,56.42,0.94,BUY,26838.74
2018-06-21,58.6,59.49,57.825,58.05,59.70,59.72,44.76,-1.12,SELL,24596.84
2018-08-22,61.8,63.4,61.8,63.15,57.21,57.00,68.86,1.43,BUY,24596.84
2018-10-05,58.9,58.9,53.64,54.92,60.87,61.15,30.09,-1.05,SELL,21395.37
2018-11-12,44.02,44.44,37.0,37.5,55.92,58.90,25.35,-2.41,BUY,21395.37
2018-11-13,37.96,41.09,37.75,38.95,54.77,58.32,28.17,-3.36,BUY,22221.87
2019-01-18,46.0,47.32,45.61,47.03,42.80,42.45,62.58,0.89,BUY,26827.47
2019-05-03,62.6,63.87,62.0,63.74,60.84,55.72,71.51,1.90,SELL,36352.17
2019-05-16,53.98,54.03,50.14,50.2,59.83,57.23,27.87,-0.76,BUY,36352.17
2019-05-17,49.27,49.53,46.05,46.32,59.11,57.22,23.04,-1.61,BUY,33543.05
2019-05-20,44.49,46.25,44.0,44.42,58.32,57.12,21.11,-2.41,BUY,32167.45
2019-05-22,45.91,46.83,45.21,45.27,56.70,56.92,26.04,-3.26,SELL,32782.85
2019-07-09,52.5,52.68,49.83,52.6,50.72,50.31,56.98,1.29,BUY,32782.85
2019-07-24,56.86,58.53,56.6511,58.49,53.97,49.16,71.43,1.69,SELL,36452.32
2019-07-25,58.49,59.2,57.62,58.54,54.27,49.32,71.54,1.86,SELL,36452.32
2019-07-26,59.17,59.42,58.52,58.9,54.55,49.57,72.38,2.00,SELL,36452.32
2019-10-02,50.52,50.72,49.08,50.11,56.83,56.94,32.07,-1.31,SELL,36452.32
2019-10-31,61.0,62.91,59.6742,62.66,54.74,55.59,71.22,1.02,SELL,36452.32
2019-11-01,63.48,65.68,63.36,65.165,55.42,55.78,75.00,1.62,SELL,36452.32
2019-11-04,65.6,65.68,63.8,64.66,56.01,55.95,72.92,2.03,BUY,36452.32
2019-11-27,72.28,74.04,72.14,73.91,67.70,59.69,79.75,3.44,SELL,41660.07
2019-11-28,73.91,73.91,73.91,73.91,68.26,60.00,79.75,3.56,SELL,41660.07
2019-12-19,76.87,78.56,76.02,78.44,72.94,66.00,73.20,2.68,SELL,41660.07
2019-12-20,78.8,78.99,77.3,78.63,73.47,66.49,73.53,2.84,SELL,41660.07
2019-12-31,79.21,80.52,79.0405,79.3,75.64,69.95,71.46,2.86,SELL,41660.07
2020-02-06,87.4,89.57,87.3295,88.34,79.31,77.79,71.34,1.80,SELL,41660.07
2020-03-12,66.5,72.56,65.0,66.82,80.53,81.13,34.94,-2.40,SELL,41660.07
2020-04-27,79.24,81.7,79.18,81.11,75.93,75.72,57.66,1.08,BUY,41660.07
2020-05-29,72.26,73.62,70.58,73.32,75.34,75.57,46.57,-1.13,SELL,37663.80
2020-06-30,78.88,82.27,78.6,81.43,76.47,76.38,61.24,0.54,BUY,37663.80
2020-08-03,94.0,96.735,93.89,94.58,85.69,80.28,70.57,3.36,SELL,43739.10
2020-09-07,76.35,76.35,76.35,76.35,85.91,86.10,32.62,-2.22,SELL,43739.10
2020-10-22,84.78,86.28,84.01,85.29,80.62,79.90,64.69,1.78,BUY,43739.10
2021-01-08,105.52,106.87,103.54,106.55,96.62,89.89,75.31,3.92,SELL,54624.22
2021-01-11,105.92,108.64,105.42,107.89,97.61,90.42,76.73,4.30,SELL,54624.22
2021-02-10,87.53,89.5,86.09,88.72,95.29,95.67,38.69,-2.75,SELL,54624.22
2021-04-15,92.67,93.8,91.69,93.04,89.66,89.41,57.17,1.09,BUY,54624.22
2021-05-05,83.17,83.99,80.69,81.17,91.02,89.22,28.11,-1.44,BUY,47656.53
2021-07-01,82.48,84.3,82.15,83.98,81.61,81.57,57.48,0.49,BUY,49306.00
2021-08-11,79.97,80.0777,77.91,79.7,81.79,81.88,39.45,-0.46,SELL,46793.64
