Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-08-13,65.0,75.39,63.19,74.09,60.48,58.60,71.21,2.01,SELL,10000.00
2024-08-14,74.0,75.75,73.0,74.74,61.42,58.95,71.77,2.85,SELL,10000.00
2024-08-15,75.1,76.94,73.0,76.68,62.48,59.33,73.43,3.64,SELL,10000.00
2024-10-28,85.53,88.04,84.35,86.87,77.05,74.78,71.00,2.73,SELL,10000.00
2024-10-29,87.0,89.43,85.14,89.24,77.92,75.07,73.75,3.25,SELL,10000.00
2024-12-24,74.56,75.9,74.12,75.36,83.65,84.10,37.23,-3.27,SELL,10000.00
2025-02-14,69.98,70.27,65.6938,68.14,77.49,78.26,29.05,-1.73,BUY,10000.00
2025-04-11,85.49,88.991,84.2989,88.33,71.73,71.18,71.25,3.83,BUY,12947.74
2025-06-09,90.44,90.5,87.65,89.21,86.67,87.01,53.92,0.50,SELL,13076.22
2025-08-08,71.33,71.555,67.62,67.62,73.55,79.78,29.16,-2.85,BUY,13076.22
