Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-07-02,11.34,11.59,10.08,10.31,26.53,26.86,44.69,-7.88,SELL,10000.00
2024-10-31,7.54,7.7398,7.1,7.11,8.39,9.58,24.58,-0.66,BUY,10000.00
2024-11-14,7.35,7.5727,6.09,6.17,7.61,8.85,29.22,-0.58,BUY,8678.36
2024-11-15,6.25,6.4,6.128,6.2,7.50,8.77,29.71,-0.63,BUY,8720.54
2024-11-18,6.17,6.3065,6.0,6.01,7.40,8.68,28.36,-0.67,BUY,8453.40
2024-12-02,7.39,15.85,7.0401,13.1,7.23,8.16,81.38,0.18,SELL,18421.94
2024-12-12,10.09,10.25,9.87,9.87,8.22,8.17,56.76,0.68,BUY,18421.94
2025-02-10,9.75,9.9768,9.51,9.8717,9.90,9.95,50.21,-0.06,SELL,18425.11
2025-04-02,8.64,8.8686,7.97,8.02,9.19,9.51,25.86,-0.22,BUY,18425.11
2025-04-03,8.51,8.51,8.05,8.11,9.12,9.47,28.40,-0.28,BUY,18631.84
2025-04-04,7.91,8.07,7.7886,7.8951,9.03,9.44,26.10,-0.33,BUY,18138.22
2025-04-07,7.67,8.0,6.44,7.74,8.96,9.39,24.55,-0.39,BUY,17781.95
2025-04-28,6.75,6.79,6.36,6.52,7.28,8.59,25.56,-0.62,BUY,14979.61
2025-05-07,6.39,6.55,6.1,6.12,6.77,8.16,28.59,-0.45,BUY,14060.81
2025-06-05,8.04,8.1,7.85,7.85,7.27,7.25,55.85,0.31,BUY,18034.62
2025-07-03,7.0394,7.56,7.0317,7.51,7.05,7.05,56.65,-0.05,SELL,17253.64
