Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2022-09-07,157.76,160.955,156.81,160.39,166.90,167.00,44.23,-2.54,SELL,10000.00
2022-10-12,128.32,129.67,126.25,127.5,139.00,155.55,29.66,-6.87,BUY,10000.00
2022-10-27,97.97,102.5,96.38,97.94,131.48,145.37,23.77,-6.63,BUY,7694.32
2022-10-28,99.58,100.85,97.51,99.2,129.65,144.00,25.13,-8.38,BUY,7792.60
2022-10-31,98.22,99.32,92.6,93.16,127.38,142.60,23.01,-10.13,BUY,7321.48
2022-12-16,120.23,123.31,118.8214,119.43,115.56,115.20,54.32,1.14,BUY,9370.54
2023-01-27,148.24,153.19,147.39,151.74,135.31,123.90,78.10,6.76,SELL,11890.72
2023-02-02,183.38,197.16,180.16,188.77,142.24,127.75,86.68,10.20,SELL,11890.72
2023-02-03,183.46,196.77,182.89,186.53,145.07,129.25,83.83,12.26,SELL,11890.72
2023-03-14,187.58,194.32,186.56,194.02,177.79,161.18,70.97,6.55,SELL,11890.72
2023-03-15,192.95,197.78,190.8351,197.75,178.70,162.64,73.14,7.34,SELL,11890.72
2023-03-16,198.26,205.76,196.0886,204.93,180.09,164.19,76.74,8.45,SELL,11890.72
2023-04-27,239.89,241.685,236.77,238.56,215.73,198.78,74.51,5.56,SELL,11890.72
2023-04-28,239.01,240.43,235.75,240.32,217.15,200.13,75.27,7.04,SELL,11890.72
2023-05-01,238.62,244.0,236.46,243.18,218.65,201.54,76.51,8.34,SELL,11890.72
2023-05-24,245.28,249.5892,244.952,249.21,239.54,221.88,71.59,7.93,SELL,11890.72
2023-05-25,253.4,255.62,249.17,252.69,240.25,222.84,74.10,8.18,SELL,11890.72
2023-05-26,252.93,262.3107,252.71,262.04,241.34,224.17,79.38,9.03,SELL,11890.72
2023-05-29,262.04,262.04,262.04,262.04,242.28,225.45,79.38,9.59,SELL,11890.72
2023-07-12,301.74,309.45,300.1004,309.34,287.04,265.95,75.06,9.55,SELL,11890.72
2023-07-13,313.62,316.24,310.2901,313.41,289.04,267.48,76.79,10.53,SELL,11890.72
2023-08-30,297.17,298.29,293.43,295.1,298.19,298.76,48.94,-2.72,SELL,11890.72
2023-09-29,307.38,310.64,299.36,300.21,301.12,301.08,50.23,0.49,BUY,11890.72
2024-01-10,360.17,372.94,359.08,370.47,349.51,335.15,70.84,7.45,SELL,14630.86
2024-01-12,370.155,377.06,369.54,374.49,353.27,337.95,72.32,8.97,SELL,14630.86
2024-01-19,379.0,384.36,377.97,383.45,359.88,342.80,72.58,10.27,SELL,14630.86
2024-02-02,459.6,485.96,453.01,474.99,384.20,357.01,86.48,18.91,SELL,14630.86
2024-02-05,469.88,471.9,459.22,459.41,389.58,359.46,77.12,22.15,SELL,14630.86
2024-03-01,492.11,504.25,491.85,502.3,475.58,411.81,73.37,23.46,SELL,14630.86
2024-03-04,503.0,504.42,496.42,498.19,476.74,414.77,70.47,23.12,SELL,14630.86
2024-03-07,503.28,519.85,501.38,512.19,482.48,423.60,71.83,21.75,SELL,14630.86
2024-04-30,431.05,439.6199,429.72,430.17,491.59,492.55,29.10,-14.06,SELL,14630.86
2024-06-13,505.71,509.36,501.36,504.1,481.89,481.51,63.41,8.36,BUY,14630.86
2024-07-05,511.6,540.87,511.6,539.91,506.35,482.17,71.18,9.45,SELL,15669.35
2024-07-31,471.02,476.5,466.75,474.83,490.81,491.53,45.43,-9.65,SELL,15669.35
2024-08-22,537.0,544.23,528.59,531.93,505.03,502.55,60.46,11.72,BUY,15669.35
2024-09-19,550.0,562.07,546.52,559.1,521.82,506.16,70.86,8.07,SELL,16457.28
2024-09-20,560.0,564.5,556.3001,561.35,523.29,507.13,71.56,10.03,SELL,16457.28
2024-11-25,562.1,572.59,556.39,565.11,572.68,573.38,47.14,-2.85,SELL,16457.28
2024-12-05,617.08,619.9,607.05,608.93,578.74,578.49,65.24,7.91,BUY,16457.28
2025-01-28,666.0,682.58,659.4651,674.33,617.85,603.12,71.40,13.88,SELL,18223.08
2025-03-14,602.8,608.86,594.78,607.6,654.38,654.61,39.08,-18.96,SELL,18223.08
2025-04-03,546.22,552.5596,530.3,531.62,595.70,648.99,29.42,-21.02,BUY,18223.08
2025-04-04,506.62,518.0,494.2,504.73,589.66,646.36,25.71,-25.95,BUY,17308.82
2025-04-07,485.1,539.37,481.9,516.25,585.57,643.73,29.80,-28.60,BUY,17700.50
2025-05-16,637.96,640.44,626.15,640.34,581.05,575.98,63.62,23.17,BUY,21919.56
2025-06-04,669.32,689.0,668.57,687.95,641.87,587.22,73.00,21.92,SELL,23538.30
2025-06-05,691.66,694.38,682.25,684.62,646.20,588.69,71.17,22.93,SELL,23538.30
2025-06-06,696.17,702.8061,691.87,697.71,651.46,590.59,73.94,24.51,SELL,23538.30
2025-06-27,726.52,735.43,725.86,733.63,696.36,638.61,71.19,21.33,SELL,23538.30
2025-06-30,744.55,747.9,734.25,738.09,699.72,643.68,72.22,22.38,SELL,23538.30
