Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2019-10-17,8.48,8.7867,7.65,7.98,9.56,11.08,26.50,-0.64,BUY,10000.00
2019-11-04,7.3979,7.44,7.2617,7.33,8.11,9.54,29.33,-0.72,BUY,9185.55
2019-12-09,8.75,9.84,8.74,9.65,7.62,8.03,74.47,0.24,SELL,12092.51
2019-12-13,8.45,8.76,8.16,8.19,7.91,7.91,50.94,0.30,BUY,12092.51
2019-12-16,11.4,22.43,11.22,17.28,8.40,8.06,85.22,0.98,SELL,25509.35
2019-12-17,17.34,18.03,15.7,16.49,8.86,8.19,79.99,1.45,SELL,25509.35
2019-12-18,16.75,27.28,16.75,23.76,9.70,8.47,87.56,2.37,SELL,25509.35
2019-12-19,23.22,28.31,22.11,23.99,10.54,8.76,87.71,3.09,SELL,25509.35
2020-02-10,16.0,16.9,16.0,16.53,17.91,18.18,43.86,-0.75,SELL,25509.35
2020-03-11,12.58,13.4899,11.58,11.73,16.21,17.75,28.51,-1.08,BUY,25509.35
2020-03-12,10.9,11.3,9.67,10.91,15.90,17.49,26.38,-1.32,BUY,23726.67
2020-04-28,16.44,16.85,16.0,16.26,14.33,14.20,62.11,0.52,BUY,35357.57
2020-08-07,25.63,26.52,24.5,25.28,20.97,19.72,74.99,1.12,SELL,54967.05
2020-08-10,25.06,27.25,25.0,26.59,21.37,19.92,78.31,1.39,SELL,54967.05
2020-09-18,21.56,21.965,19.67,19.74,21.85,22.08,40.36,-0.67,SELL,54967.05
2020-11-27,21.86,22.58,21.83,22.25,19.21,18.97,67.51,0.86,BUY,54967.05
2021-01-04,17.6,18.48,17.37,18.15,19.74,19.76,42.74,-0.88,SELL,44840.05
2021-02-15,21.0,21.0,21.0,21.0,19.53,19.53,59.26,0.52,BUY,44840.05
2021-03-10,18.62,19.06,17.57,18.41,19.03,19.06,47.15,-0.49,SELL,39310.40
2021-04-05,20.6,20.93,20.12,20.32,19.37,19.30,57.47,0.27,BUY,39310.40
2021-04-12,18.41,18.6,17.93,18.18,19.34,19.34,41.70,-0.04,SELL,35171.64
2021-04-26,19.0,19.72,18.8,19.31,18.99,18.96,54.38,-0.13,BUY,35171.64
2021-04-30,18.95,19.65,18.75,19.54,18.87,18.90,54.74,0.06,SELL,35590.47
2021-07-06,16.69,17.11,16.06,16.31,17.48,17.47,37.81,-0.13,BUY,35590.47
2021-07-14,15.96,16.05,15.5,15.65,17.05,17.08,35.92,-0.38,SELL,34150.35
2021-07-27,16.0,16.06,14.0,14.1,16.08,16.71,26.47,-0.54,BUY,34150.35
2021-07-28,14.7,14.74,13.9,13.95,15.91,16.64,25.61,-0.63,BUY,33787.05
2021-09-03,17.37,18.44,17.08,18.0,15.12,15.51,76.47,0.50,SELL,43596.15
2021-09-08,18.25,18.55,17.6093,17.9,15.68,15.54,73.88,0.76,BUY,43596.15
2021-09-23,19.81,20.5,19.5,20.18,17.93,16.04,79.81,1.00,SELL,49147.95
2021-10-26,15.89,16.09,15.62,15.8,17.00,17.14,40.04,-0.54,SELL,49147.95
2021-11-22,15.8,15.8,13.9,14.04,15.81,16.93,29.17,-0.41,BUY,49147.95
2021-11-23,14.2,14.53,13.42,13.94,15.72,16.85,28.56,-0.51,BUY,48797.95
2022-01-03,15.93,16.51,15.58,16.36,15.15,15.13,66.06,0.35,BUY,57267.95
2022-01-13,17.54,18.35,17.3,17.96,15.97,15.18,71.79,0.51,SELL,62867.95
2022-01-14,18.0,18.78,17.84,18.74,16.16,15.23,75.62,0.66,SELL,62867.95
2022-01-17,18.74,18.74,18.74,18.74,16.30,15.28,75.62,0.78,SELL,62867.95
2022-02-07,19.26,20.58,19.201,20.38,18.18,16.28,71.79,0.85,SELL,62867.95
2022-02-08,20.21,21.58,19.99,21.47,18.46,16.42,76.11,1.01,SELL,62867.95
2022-02-09,21.56,23.3499,21.135,22.78,18.72,16.60,80.07,1.23,SELL,62867.95
2022-02-10,22.61,23.19,22.09,22.41,18.94,16.78,76.23,1.36,SELL,62867.95
2022-04-06,24.11,26.9967,23.44,26.85,22.77,21.93,71.61,0.77,SELL,62867.95
2022-04-08,26.54,27.63,26.0001,27.46,23.29,22.30,72.20,1.16,SELL,62867.95
2022-05-19,22.87,24.44,22.87,24.21,24.07,24.15,50.87,-0.32,SELL,62867.95
2022-07-26,24.31,25.57,23.24,25.0,22.84,22.56,61.40,0.80,BUY,62867.95
2022-08-05,25.95,30.0,25.95,29.44,24.37,22.57,70.20,0.96,SELL,74030.11
2022-09-16,22.92,23.63,22.32,23.48,24.67,24.70,44.79,-0.39,SELL,74030.11
2022-10-10,18.59,18.94,17.63,18.22,21.66,23.79,29.78,-1.27,BUY,74030.11
2022-11-15,19.69,20.33,18.76,20.03,21.63,21.57,43.87,-0.27,BUY,81384.14
2022-11-28,19.7,20.05,19.285,19.95,20.80,20.82,45.82,-0.50,SELL,81059.10
2023-01-16,22.0,22.0,22.0,22.0,19.47,19.29,67.91,0.70,BUY,81059.10
2023-03-31,22.95,24.1,22.79,24.02,23.28,23.28,55.87,0.05,SELL,88500.78
2023-04-06,24.74,25.4,24.323,25.0,23.51,23.50,60.54,0.40,BUY,88500.78
2023-05-03,27.3,28.712,27.3,28.59,26.00,24.49,70.26,0.93,SELL,101209.38
2023-06-13,29.06,30.39,29.06,30.09,27.19,26.52,71.38,0.77,SELL,101209.38
2023-07-12,26.65,26.81,26.12,26.3,26.76,26.90,47.10,-0.27,SELL,101209.38
2023-09-05,26.44,28.491,26.0,27.62,26.00,25.93,62.74,0.23,BUY,101209.38
2023-09-08,28.96,29.775,28.8,29.73,26.48,26.14,73.18,0.70,SELL,108940.42
2023-09-11,29.75,30.77,29.28,30.43,26.68,26.25,75.79,0.89,SELL,108940.42
2023-10-27,27.7,27.7,26.79,27.14,28.74,28.92,41.14,-0.49,SELL,108940.42
2023-11-24,32.12,33.01,32.12,32.35,29.85,29.79,65.11,0.88,BUY,108940.42
2024-01-10,27.53,27.55,25.31,26.26,30.52,30.65,30.67,-0.97,SELL,88435.39
2024-03-01,28.78,30.23,28.78,29.27,28.27,28.17,56.12,0.33,BUY,88435.39
2024-03-26,26.25,26.52,24.89,24.92,27.43,27.44,34.63,-0.64,SELL,75294.04
2024-05-24,25.47,25.47,24.26,24.55,25.30,25.24,45.13,-0.02,BUY,75294.04
2024-06-07,24.6,25.38,24.07,25.07,25.02,25.04,49.51,0.01,SELL,76888.36
2024-06-10,24.57,25.57,24.53,25.55,25.06,25.05,52.65,0.04,BUY,76888.36
2024-06-17,27.6,33.0,27.1,33.0,25.83,25.28,75.86,0.85,SELL,99305.41
2024-06-24,32.14,35.42,32.0,34.85,27.05,25.76,70.59,1.85,SELL,99305.41
2024-07-26,41.0,44.6995,39.7032,43.33,37.65,31.40,72.94,2.75,SELL,99305.41
2024-09-26,39.19,39.3,38.4,38.7,40.52,40.71,41.52,-0.56,SELL,99305.41
2024-11-12,44.0,45.8113,41.09,42.28,40.01,39.92,63.83,0.58,BUY,99305.41
2024-11-13,43.15,44.635,42.48,43.92,40.21,39.96,70.40,0.78,SELL,103156.13
2024-11-14,44.05,48.89,43.915,46.26,40.56,40.06,76.85,1.12,SELL,103156.13
2025-01-03,42.14,43.12,42.1,42.8,42.40,42.40,52.45,-0.33,SELL,103156.13
2025-01-23,46.9,49.27,46.18,48.65,43.66,43.63,67.32,1.30,BUY,103156.13
2025-03-17,45.76,46.0,43.67,45.15,47.26,47.29,43.65,-1.22,SELL,95736.13
2025-04-08,42.07,43.16,38.27,39.32,44.87,47.27,27.27,-1.42,BUY,95736.13
2025-05-20,44.89,45.35,44.0,45.34,43.35,43.25,58.02,0.78,BUY,110388.81
2025-06-10,47.15,50.05,47.15,48.98,45.01,43.02,70.46,0.94,SELL,119248.57
2025-08-07,55.25,61.0,54.745,59.82,52.57,50.44,79.18,1.13,SELL,119248.57
2025-08-08,59.46,60.195,57.79,59.97,52.93,50.76,79.41,1.58,SELL,119248.57
2025-08-11,60.23,66.4,58.48,65.87,53.56,51.19,86.02,2.39,SELL,119248.57
2025-08-12,66.39,67.45,63.95,64.72,54.20,51.56,80.59,2.90,SELL,119248.57
