Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2022-06-16,5.01,5.33,4.48,4.75,6.01,5.90,36.33,-0.26,BUY,10000.00
2022-06-29,5.105,5.105,5.0,5.0,5.68,5.71,40.74,-0.28,SELL,10526.25
2022-07-25,7.0,7.215,6.19,7.06,5.74,5.72,64.76,0.27,BUY,10526.25
2022-07-26,6.4,8.205,6.4,8.0,5.89,5.79,71.60,0.40,SELL,11926.85
2023-01-03,10.6,11.175,10.5,11.025,9.84,9.16,70.94,0.40,SELL,11926.85
2023-01-04,11.16,11.94,10.63,11.94,9.97,9.24,77.79,0.51,SELL,11926.85
2023-01-05,11.64,12.41,11.5101,12.09,10.08,9.32,78.67,0.60,SELL,11926.85
2023-01-06,12.095,12.76,12.095,12.52,10.23,9.41,81.01,0.70,SELL,11926.85
2023-02-07,12.61,14.55,12.45,14.0,11.99,10.93,76.13,0.51,SELL,11926.85
2023-02-08,14.0,16.0,13.15,14.7,12.12,11.02,79.48,0.67,SELL,11926.85
2023-02-10,13.71,14.99,13.625,14.78,12.38,11.20,73.93,0.83,SELL,11926.85
2023-02-13,15.0,16.5,14.51,16.3,12.60,11.32,79.86,1.01,SELL,11926.85
2023-02-14,16.69,18.17,16.01,17.63,12.87,11.49,83.42,1.26,SELL,11926.85
2023-04-27,20.8,21.59,20.2889,21.05,20.85,20.89,50.44,0.24,SELL,11926.85
2023-05-04,22.49,25.2,22.12,24.56,21.35,21.33,61.10,0.56,BUY,11926.85
2023-06-26,50.51,52.325,39.06,45.95,28.18,26.30,80.79,1.60,SELL,22301.00
2023-06-27,47.21,54.6872,44.0,51.79,29.37,26.90,84.01,3.23,SELL,22301.00
2023-06-28,52.62,55.55,49.01,50.84,30.55,27.48,81.62,4.41,SELL,22301.00
2023-07-26,56.25,59.99,56.25,59.015,53.21,38.56,70.59,5.60,SELL,22301.00
2023-07-27,59.62,63.14,58.63,60.22,53.68,39.21,71.95,5.62,SELL,22301.00
2023-09-11,51.42,52.92,50.8,52.62,54.87,54.90,46.56,-0.70,SELL,22301.00
2023-10-05,59.26,62.56,58.94,62.46,56.16,56.04,67.19,1.11,BUY,22301.00
2023-11-01,51.68,51.93,48.08,48.56,54.98,55.12,39.35,-1.72,SELL,17338.70
2023-11-06,36.55,41.02,35.11,36.35,52.68,54.46,29.63,-2.93,BUY,17338.70
2023-12-18,60.65,60.8216,59.27,59.58,50.14,49.37,69.59,3.47,BUY,28396.18
2024-02-27,52.28,55.0,51.76,54.76,57.78,57.91,44.17,-0.99,SELL,26101.86
2024-07-10,44.99,45.89,43.795,44.97,41.61,41.56,61.19,0.62,BUY,26101.86
2024-10-25,46.58,47.22,46.07,46.7,49.30,49.34,42.28,-0.80,SELL,27105.26
2024-11-26,54.21,54.33,52.15,52.84,50.36,50.23,56.89,1.01,BUY,27105.26
2025-01-15,47.46,49.06,43.5,43.97,51.33,51.64,32.04,-1.75,SELL,22563.82
2025-03-10,37.53,38.27,36.64,36.75,41.49,45.30,28.07,-1.95,BUY,22563.82
2025-04-08,35.59,37.73,32.38,32.83,38.47,40.95,29.55,-1.53,BUY,20160.86
2025-05-08,37.7,40.12,36.752,39.74,38.91,38.79,51.51,0.45,BUY,24403.60
2025-06-03,47.82,49.8246,47.0,48.55,39.28,38.73,74.41,0.87,SELL,29812.94
2025-06-04,49.02,52.88,48.54,51.05,39.95,38.96,77.51,1.63,SELL,29812.94
2025-07-17,53.07,54.58,52.535,54.18,47.90,44.15,72.64,2.15,SELL,29812.94
