Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2025-03-07,46.88,47.41,46.4591,47.32,48.98,49.03,35.86,-0.54,SELL,10000.00
2025-04-04,43.73,43.73,41.9294,41.9294,46.19,48.02,23.63,-0.89,BUY,10000.00
2025-04-07,40.51,42.89,39.981,41.76,45.97,47.86,23.19,-1.13,BUY,9959.68
2025-04-08,43.1,43.46,40.6669,41.26,45.74,47.69,21.89,-1.36,BUY,9840.68
2025-05-14,48.53,48.625,48.4,48.5,45.92,45.77,65.28,0.74,BUY,11563.80
2025-06-30,50.89,51.0414,50.87,51.04,49.68,48.27,71.54,0.64,SELL,12168.32
2025-07-03,51.38,51.76,51.38,51.68,50.02,48.66,76.04,0.75,SELL,12168.32
2025-07-23,51.99,52.2849,51.99,52.27,51.36,49.97,71.97,0.63,SELL,12168.32
2025-07-24,52.36,52.49,52.32,52.32,51.47,50.04,72.43,0.64,SELL,12168.32
2025-07-25,52.33,52.61,52.33,52.55,51.57,50.12,74.48,0.65,SELL,12168.32
2025-07-28,52.59,52.6162,52.43,52.51,51.66,50.19,73.45,0.66,SELL,12168.32
