Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-06-26,0.53,0.55,0.4578,0.477,0.74,0.83,29.26,-0.08,BUY,10000.00
2024-06-27,0.4627,0.4634,0.32,0.354,0.72,0.82,24.61,-0.10,BUY,7421.43
2024-10-15,0.278,0.3178,0.278,0.301,0.29,0.28,52.71,0.01,BUY,6310.34
2024-10-24,2.68,3.9623,2.0,2.53,0.41,0.32,94.75,0.18,SELL,53039.09
2024-10-25,2.42,2.97,2.41,2.6,0.52,0.37,94.91,0.32,SELL,53039.09
2024-10-28,2.59,2.74,2.3,2.67,0.64,0.42,95.06,0.44,SELL,53039.09
2024-12-17,2.23,17.66,1.84,11.88,2.12,1.79,93.01,0.75,SELL,53039.09
2024-12-18,18.29,67.77,16.9,50.79,4.57,2.80,98.45,4.50,SELL,53039.09
2024-12-19,72.47,78.32,36.2001,52.1,7.09,3.83,98.50,7.48,SELL,53039.09
2025-02-19,15.0,15.9944,13.44,13.58,22.49,22.50,34.49,-2.08,SELL,53039.09
2025-05-08,15.0,15.6,14.5,15.26,14.60,14.50,51.79,0.44,BUY,53039.09
2025-05-21,20.84,26.21,19.8,21.69,16.39,14.83,74.42,1.07,SELL,75383.34
2025-06-17,11.81,11.8426,10.6,10.64,14.68,14.80,36.41,-1.06,SELL,75383.34
2025-07-11,8.8,8.82,7.79,7.81,10.73,13.61,29.97,-1.24,BUY,75383.34
2025-07-14,7.9,8.3877,7.66,7.76,10.42,13.43,29.80,-1.33,BUY,74900.74
2025-07-31,6.95,6.95,5.93,5.99,8.39,11.21,25.25,-1.14,BUY,57816.70
2025-08-01,6.17,6.17,5.11,5.24,8.11,10.91,22.50,-1.26,BUY,50577.70
2025-08-04,5.25,5.49,5.03,5.45,7.86,10.66,24.96,-1.32,BUY,52604.62
2025-08-20,3.62,3.77,3.31,3.52,5.47,8.28,21.13,-1.41,BUY,33976.26
