Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2022-11-08,44.59,46.92,44.36,45.41,54.20,54.77,33.66,-2.35,SELL,10000.00
2023-03-22,17.1,17.2299,16.1208,17.07,19.36,23.56,28.78,-1.81,BUY,10000.00
2023-03-23,16.53,16.87,16.23,16.5,19.20,23.20,26.90,-1.84,BUY,9666.55
2023-03-24,16.6,17.1,16.5199,16.79,19.02,22.86,29.43,-1.82,BUY,9836.20
2023-05-18,14.22,14.28,13.38,13.48,15.61,16.53,27.90,-0.69,BUY,7899.85
2023-05-25,9.49,10.5899,8.95,9.83,14.72,15.89,18.62,-1.06,BUY,5760.95
2023-05-26,9.84,9.96,9.435,9.52,14.39,15.73,17.93,-1.32,BUY,5579.29
2023-06-09,9.4,9.54,9.1872,9.47,11.39,14.26,28.12,-1.60,BUY,5549.99
2023-06-21,8.18,8.51,8.15,8.29,9.11,12.98,25.70,-1.38,BUY,4858.51
2023-06-22,8.48,8.48,8.2,8.3,9.03,12.81,25.87,-1.33,BUY,4864.37
2023-07-13,7.92,7.93,7.56,7.59,8.41,10.61,26.68,-0.63,BUY,4448.31
2023-07-14,7.47,7.78,7.171,7.7,8.37,10.44,29.21,-0.64,BUY,4512.77
2023-07-17,7.53,7.74,7.48,7.49,8.33,10.28,27.27,-0.65,BUY,4389.71
2023-07-18,7.43,7.64,7.2,7.28,8.28,10.13,25.46,-0.67,BUY,4266.65
2023-08-16,38.97,40.2,38.81,40.16,11.05,9.49,95.43,4.45,SELL,23534.33
2023-08-17,39.58,40.69,39.5,40.33,12.68,10.10,95.46,5.98,SELL,23534.33
2023-09-12,38.29,38.49,37.3,38.16,36.81,19.47,76.03,5.12,SELL,23534.33
2023-09-13,38.4,38.5,37.04,37.46,36.71,20.05,72.74,4.90,SELL,23534.33
2023-09-14,37.03,37.86,37.03,37.42,36.57,20.63,72.55,4.66,SELL,23534.33
2023-09-15,37.68,39.23,37.4269,39.17,36.51,21.25,75.60,4.56,SELL,23534.33
2023-09-18,40.42,40.959,38.79,39.12,36.45,21.86,75.34,4.42,SELL,23534.33
2023-09-19,39.31,40.18,39.12,39.6,36.62,22.48,76.18,4.31,SELL,23534.33
2023-09-20,39.56,41.1,39.18,41.1,36.81,23.14,78.62,4.29,SELL,23534.33
2023-09-21,41.89,42.64,41.29,42.56,37.14,23.83,80.70,4.34,SELL,23534.33
2023-11-15,32.94,34.379,32.93,33.78,38.56,38.71,35.28,-1.27,SELL,23534.33
2023-12-26,29.5,29.5,29.0,29.21,34.58,36.30,29.87,-0.97,BUY,23534.33
2023-12-27,29.08,29.3788,28.95,29.11,34.30,36.14,29.64,-1.25,BUY,23453.83
2024-01-31,22.1,22.39,21.73,22.07,24.73,30.11,24.92,-2.57,BUY,17786.63
2024-02-05,19.28,19.67,18.815,18.87,23.23,29.34,17.02,-2.65,BUY,15210.63
2024-02-13,18.46,18.7106,17.53,17.93,20.99,27.38,19.00,-2.64,BUY,14452.99
2024-02-22,16.73,17.02,15.47,15.49,19.33,25.19,24.43,-2.18,BUY,12486.35
2024-03-08,12.12,13.57,11.7317,13.39,15.95,20.96,26.52,-2.28,BUY,10793.75
2024-04-03,65.74,65.76,64.01,65.27,15.46,17.21,95.00,3.15,SELL,52609.03
2024-04-05,67.28,68.11,65.591,66.11,20.88,18.99,91.74,9.21,SELL,52609.03
2024-06-04,44.39,45.16,43.94,44.0,54.87,55.90,31.71,-3.62,SELL,52609.03
2024-08-05,56.22,57.03,48.84,50.69,42.28,41.83,61.09,1.60,BUY,52609.03
2024-08-28,34.12,36.17,33.96,35.02,40.29,40.37,42.05,-2.53,SELL,36359.24
2024-12-18,29.22,31.12,28.25,30.88,28.01,27.93,62.46,0.51,BUY,36359.24
2024-12-31,24.4,25.515,24.4,25.42,27.24,27.30,42.83,-0.83,SELL,29932.82
2025-03-10,29.64,31.279,28.8501,30.67,24.84,24.72,64.02,1.22,BUY,29932.82
2025-04-04,33.43,36.56,32.84,35.55,28.00,26.23,72.85,1.53,SELL,34690.82
2025-05-05,24.4,24.5197,23.9,24.13,27.28,27.39,41.31,-0.86,SELL,34690.82
2025-06-25,15.76,15.76,14.95,14.96,16.84,20.52,26.66,-1.18,BUY,34690.82
2025-06-26,14.72,15.0052,14.625,14.86,16.70,20.26,26.22,-1.22,BUY,34459.02
2025-06-27,14.74,14.83,14.3465,14.48,16.51,19.97,24.55,-1.27,BUY,33578.18
2025-06-30,14.39,14.7285,14.36,14.46,16.34,19.64,24.47,-1.29,BUY,33531.82
2025-07-21,12.59,12.77,12.55,12.75,14.10,16.35,24.94,-1.21,BUY,29568.04
