Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-01-10,38.48,39.78,38.24,39.42,33.02,31.38,71.81,1.58,SELL,10000.00
2024-01-11,40.22,40.8785,38.28,40.11,33.48,31.70,73.03,1.92,SELL,10000.00
2024-01-16,40.39,42.88,40.15,42.43,34.44,32.39,76.16,2.51,SELL,10000.00
2024-02-05,61.26,63.26,59.4,63.06,46.95,37.61,84.93,5.92,SELL,10000.00
2024-03-01,81.46,85.77,80.1,85.59,70.07,52.12,73.87,8.28,SELL,10000.00
2024-03-04,89.89,96.88,88.8,91.78,71.78,53.29,77.31,9.02,SELL,10000.00
2024-03-05,91.75,93.64,87.83,93.49,73.30,54.53,78.17,9.63,SELL,10000.00
2024-03-06,98.0,101.48,95.94,99.49,75.23,55.87,80.89,10.47,SELL,10000.00
2024-03-07,102.65,108.3442,101.32,108.29,77.42,57.39,84.03,11.72,SELL,10000.00
2024-04-25,73.88,82.56,73.0,81.36,89.81,89.93,45.02,-3.89,SELL,10000.00
2024-05-22,106.25,107.22,101.33,104.94,95.47,95.01,59.39,4.01,BUY,10000.00
2024-05-23,120.09,129.83,119.52,124.09,97.61,95.43,70.95,5.63,SELL,11819.25
2024-05-24,126.01,130.5476,122.47,130.42,99.56,96.10,73.62,7.33,SELL,11819.25
2024-05-28,139.93,151.17,138.9,148.65,102.43,97.15,79.48,10.04,SELL,11819.25
2024-05-29,146.47,152.8189,140.8,151.12,105.56,98.23,80.13,12.25,SELL,11819.25
2024-07-16,18.0,18.16,16.94,17.37,172.05,147.34,21.82,-5.34,BUY,11819.25
2024-07-17,15.99,16.1699,14.7511,15.02,163.13,145.79,21.61,-16.12,BUY,10221.25
2024-07-18,16.13,16.2,14.72,15.99,153.59,144.11,21.93,-24.31,BUY,10880.85
2024-07-22,15.69,16.59,15.541,16.51,136.42,140.91,22.39,-34.93,SELL,11234.45
2024-08-06,11.17,11.94,10.4801,11.19,48.06,121.20,23.31,-35.37,BUY,11234.45
2024-08-12,11.61,12.59,11.58,12.2,13.37,110.69,25.02,-28.85,BUY,12247.48
2024-08-13,12.91,13.76,12.74,13.76,13.19,108.21,26.59,-27.04,BUY,13812.16
2024-08-14,14.31,14.3188,13.24,14.19,13.15,105.47,27.04,-25.29,BUY,14243.45
2024-08-15,14.36,15.425,14.0402,15.36,13.12,102.69,28.34,-23.54,BUY,15416.96
2024-08-16,15.11,15.865,14.893,15.75,13.16,99.60,28.80,-21.86,BUY,15808.13
2024-08-22,17.09,17.27,15.29,15.45,13.43,87.58,29.66,-16.12,BUY,15507.23
2024-08-29,14.72,15.51,13.59,13.83,14.11,69.89,29.72,-11.20,BUY,13882.37
2024-09-03,13.4,13.43,11.32,11.47,14.27,62.91,28.10,-10.07,BUY,11515.29
2024-09-04,10.92,11.9,10.65,11.06,14.27,60.03,27.76,-9.64,BUY,11104.06
2024-09-05,10.81,11.805,10.78,11.3,14.33,56.69,28.31,-9.18,BUY,11344.78
2024-09-06,11.42,11.48,9.985,10.4,14.28,53.35,27.47,-8.78,BUY,10442.08
2024-09-09,10.76,11.099,10.53,11.05,14.27,50.16,29.11,-8.32,BUY,11094.68
2024-10-07,14.89,16.21,14.87,15.52,13.66,13.53,48.74,-1.36,BUY,15582.56
2024-12-13,17.4,17.56,15.82,16.23,17.95,18.07,41.17,-0.37,SELL,16295.40
2025-04-04,6.38,6.53,5.47,5.76,8.51,10.26,27.92,-0.99,BUY,16295.40
2025-05-14,10.7,11.03,10.4428,11.02,7.71,8.03,72.74,0.51,SELL,31175.94
2025-05-16,11.13,11.1596,10.69,11.0,8.15,8.12,72.03,0.75,BUY,31175.94
2025-06-25,13.1,13.9699,13.0798,13.95,12.10,10.07,73.59,0.74,SELL,39536.24
2025-06-26,14.24,14.3799,13.8915,14.08,12.23,10.21,74.28,0.81,SELL,39536.24
2025-06-27,14.25,14.725,14.105,14.54,12.42,10.38,76.63,0.90,SELL,39536.24
2025-06-30,14.68,14.71,14.21,14.575,12.59,10.55,76.80,0.96,SELL,39536.24
