Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2023-05-12,35.9,40.375,35.8,39.39,32.96,32.73,72.52,0.56,SELL,10000.00
2023-05-15,39.25,40.5,38.405,40.32,33.26,32.88,74.23,1.04,SELL,10000.00
2023-07-17,37.82,39.88,37.8,39.08,38.68,38.91,51.70,-0.18,SELL,10000.00
2023-08-02,42.18,42.8,40.12,41.73,39.75,39.73,55.98,0.95,BUY,10000.00
2023-11-28,38.37,39.84,37.74,39.8,37.25,37.15,59.38,0.77,BUY,9538.73
2023-12-14,44.45,47.59,43.69,46.7,40.59,37.57,72.53,1.57,SELL,11187.83
2023-12-15,47.22,48.27,46.36,47.87,41.08,37.86,74.57,1.94,SELL,11187.83
2024-02-01,51.93,56.66,51.64,56.5,43.87,43.65,78.20,1.34,SELL,11187.83
2024-02-02,55.82,58.29,54.17,57.99,44.66,44.01,79.66,2.18,SELL,11187.83
2024-04-09,50.86,51.45,50.02,51.19,56.18,56.59,34.61,-1.64,SELL,11187.83
2024-04-30,43.37,43.98,42.61,42.79,46.46,53.47,27.76,-3.02,BUY,11187.83
2024-06-03,55.97,57.47,54.02,54.28,48.64,48.63,60.80,2.46,BUY,14186.72
2024-07-15,49.19,49.99,47.25,47.77,50.56,50.66,43.62,-1.06,SELL,12487.61
2024-08-05,39.06,41.28,38.13,39.81,47.23,51.07,29.79,-1.73,BUY,12487.61
2024-09-06,35.86,36.27,34.18,34.6,39.28,43.59,28.24,-1.93,BUY,10856.88
2024-09-09,35.05,35.15,33.715,33.79,38.98,43.28,26.65,-2.16,BUY,10603.35
2024-09-10,33.8,33.89,32.65,33.08,38.69,43.00,25.31,-2.37,BUY,10381.12
2024-11-04,40.6,43.6,40.53,41.96,34.43,36.12,70.61,0.39,SELL,13160.56
2024-11-05,41.1,44.24,40.9,44.09,34.88,36.16,74.12,1.02,SELL,13160.56
2024-11-12,38.6,39.11,37.49,38.18,36.21,36.18,52.67,1.33,BUY,13160.56
2024-12-26,36.3,37.07,36.16,36.97,36.79,36.82,51.12,-0.47,SELL,12744.32
2025-01-07,40.75,44.56,40.735,43.92,37.12,37.72,71.51,0.92,SELL,12744.32
2025-01-16,43.56,45.33,43.34,45.27,38.96,38.66,69.05,1.69,BUY,12744.32
2025-01-30,50.03,52.27,48.6501,50.63,42.25,39.17,70.94,1.95,SELL,14250.48
2025-01-31,51.13,52.14,50.3951,50.42,42.94,39.45,70.26,2.35,SELL,14250.48
2025-03-19,44.32,45.285,43.45,45.17,44.61,44.75,52.12,-0.05,SELL,14250.48
2025-04-08,38.87,39.57,36.4,37.0,43.08,44.80,29.74,-1.51,BUY,14250.48
2025-05-12,50.08,51.12,48.63,50.63,42.38,42.48,71.86,1.25,SELL,19498.03
2025-05-14,52.71,55.765,52.33,55.04,43.77,42.95,77.58,2.54,SELL,19498.03
2025-05-15,54.31,63.19,53.52,61.59,44.86,43.33,83.33,3.50,SELL,19498.03
2025-08-12,54.15,55.14,53.7106,54.5,59.43,59.66,37.85,-1.56,SELL,19498.03
2025-08-29,68.56,69.34,64.73,67.26,61.47,61.14,59.73,2.39,BUY,19498.03
