Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2025-01-28,26.8199,27.91,26.8199,27.8776,27.54,27.56,51.17,0.14,SELL,10000.00
2025-02-10,28.444,28.65,28.444,28.5799,27.86,27.86,55.09,0.19,BUY,10000.00
2025-03-06,24.57,24.72,24.0968,24.0968,27.50,27.63,32.01,-0.85,SELL,8435.40
2025-04-04,18.95,19.19,17.63,17.63,22.57,25.54,24.75,-1.38,BUY,8435.40
2025-04-07,16.59,18.19,16.5,17.69,22.33,25.32,25.15,-1.61,BUY,8464.08
2025-04-08,19.18,19.36,16.62,17.06,22.07,25.12,23.72,-1.82,BUY,8162.94
2025-05-14,26.27,26.45,26.27,26.45,22.53,22.30,70.13,1.00,BUY,12651.36
2025-06-03,135.58,135.58,135.58,135.58,31.31,25.31,98.38,9.64,SELL,64815.50
2025-06-04,136.16,137.109,136.15,136.35,36.97,27.55,98.39,16.37,SELL,64815.50
2025-06-05,136.69,136.71,133.79,134.6,42.52,29.77,96.69,21.33,SELL,64815.50
2025-06-20,135.15,135.5255,134.6332,134.97,103.63,55.40,85.98,27.18,SELL,64815.50
2025-06-30,145.73,147.0725,145.73,147.0725,138.56,70.12,88.98,21.96,SELL,64815.50
2025-07-01,145.71,145.71,144.3664,144.3664,139.00,72.62,83.69,20.91,SELL,64815.50
2025-07-02,144.0,146.11,144.0,146.11,139.49,75.13,84.34,19.99,SELL,64815.50
2025-07-03,147.95,149.19,147.95,149.1228,140.21,77.68,85.41,19.28,SELL,64815.50
2025-07-07,147.22,147.5,146.6997,146.6997,140.68,80.17,80.62,18.31,SELL,64815.50
2025-07-08,146.57,147.11,146.57,147.11,141.18,82.67,80.82,17.38,SELL,64815.50
2025-07-09,148.03,148.8353,148.03,148.8353,141.67,85.19,81.66,16.59,SELL,64815.50
2025-07-10,147.79,148.65,147.79,148.65,142.20,87.72,81.25,15.76,SELL,64815.50
2025-07-11,147.42,148.1889,147.42,147.48,142.62,90.21,78.55,14.84,SELL,64815.50
2025-07-14,147.19,148.7001,147.19,148.6902,143.29,92.71,79.32,14.05,SELL,64815.50
2025-07-17,149.83,151.56,149.7,151.5576,145.25,100.32,81.24,12.06,SELL,64815.50
2025-07-18,151.83,151.83,151.2166,151.2166,146.01,102.87,80.26,11.48,SELL,64815.50
2025-07-21,152.24,153.465,152.24,152.6973,146.89,105.45,81.32,11.01,SELL,64815.50
2025-07-22,153.27,153.27,151.27,151.4579,147.59,107.97,77.57,10.42,SELL,64815.50
2025-07-23,151.82,152.365,151.82,152.2308,148.14,110.49,78.24,9.90,SELL,64815.50
2025-07-24,153.8,153.8,153.24,153.24,148.71,113.03,79.12,9.46,SELL,64815.50
2025-07-25,153.32,153.78,153.1,153.7447,149.19,115.57,79.57,9.05,SELL,64815.50
2025-07-28,154.7143,154.7143,154.7143,154.7143,149.68,118.13,80.43,8.70,SELL,64815.50
2025-07-29,154.5999,154.5999,153.9963,153.9963,150.02,120.68,77.81,8.27,SELL,64815.50
2025-07-30,154.67,154.67,154.3663,154.3663,150.52,123.23,78.21,7.87,SELL,64815.50
2025-08-12,157.5234,160.5128,157.5234,160.5128,153.18,146.22,70.13,5.19,SELL,64815.50
2025-08-13,160.43,160.6319,160.43,160.6319,153.74,146.72,70.25,5.29,SELL,64815.50
