Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-05-17,28.1409,28.3114,28.05,28.2326,26.42,26.27,62.17,0.65,BUY,10000.00
2024-06-05,30.34,31.19,30.34,31.1861,28.78,27.08,70.70,1.00,SELL,11045.54
2024-06-12,32.57,33.5799,32.57,33.29,29.90,27.61,78.94,1.32,SELL,11045.54
2024-06-13,33.94,34.29,33.3,33.61,30.16,27.75,79.92,1.44,SELL,11045.54
2024-07-02,35.67,37.42,35.67,37.42,33.38,29.78,74.93,1.72,SELL,11045.54
2024-07-03,37.27,38.64,37.27,38.64,33.81,30.08,77.79,1.93,SELL,11045.54
2024-07-05,38.9,40.22,38.815,40.17,34.26,30.40,80.75,2.18,SELL,11045.54
2024-08-07,29.47,29.54,27.59,27.62,33.66,33.82,33.04,-1.76,SELL,11045.54
2024-09-25,35.93,36.495,35.93,36.43,32.75,32.52,65.31,0.95,BUY,11045.54
2024-11-07,41.14,42.67,41.1392,42.58,37.35,35.32,70.08,1.19,SELL,12908.99
2024-11-08,42.62,43.4099,42.62,43.17,37.72,35.55,71.34,1.48,SELL,12908.99
2024-11-11,44.3,44.3,43.0,43.97,38.11,35.78,73.00,1.75,SELL,12908.99
2024-12-05,46.59,47.35,46.59,46.92,43.08,39.24,71.15,1.76,SELL,12908.99
2024-12-06,47.25,48.44,47.09,48.44,43.38,39.48,74.44,2.00,SELL,12908.99
2024-12-09,48.64,48.7384,47.29,48.17,43.63,39.72,72.85,2.14,SELL,12908.99
2024-12-11,49.99,52.1894,49.94,52.03,44.31,40.30,79.86,2.64,SELL,12908.99
2025-02-06,46.65,47.36,46.541,47.35,47.51,47.62,49.22,-0.02,SELL,12908.99
2025-02-27,42.1,42.14,38.47,38.51,45.51,47.34,27.42,-1.64,BUY,12908.99
2025-04-04,26.67,27.68,25.5,25.73,33.00,39.77,28.21,-2.65,BUY,8627.69
2025-04-07,23.02,28.11,22.55,25.31,32.63,39.29,27.65,-2.99,BUY,8486.99
2025-04-08,27.96,28.4055,23.7,24.68,32.22,38.86,26.79,-3.26,BUY,8275.94
2025-05-15,39.33,39.88,38.699,39.21,32.09,31.97,67.44,1.88,BUY,13143.49
2025-07-21,46.59,47.25,46.59,46.98,43.97,41.40,72.61,1.55,SELL,15746.44
2025-08-12,51.12,51.759,50.34,51.64,47.62,44.28,71.37,1.76,SELL,15746.44
