Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-07-02,65.99,73.52,65.65,73.51,61.71,56.02,70.96,2.85,SELL,10000.00
2024-07-03,71.93,73.9722,70.18,73.62,62.66,56.65,71.06,3.43,SELL,10000.00
2024-08-08,51.95,57.7422,51.76,54.94,62.47,62.75,39.15,-2.91,SELL,10000.00
2024-09-23,66.0,66.96,64.78,65.0,59.78,59.57,63.08,1.65,BUY,10000.00
2024-10-14,73.75,75.67,72.82,74.87,67.97,61.16,71.09,3.21,SELL,11510.11
2024-10-16,75.16,77.87,73.59,77.26,69.32,61.98,74.47,3.64,SELL,11510.11
2024-10-18,76.61,81.36,76.42,80.9,70.64,63.01,76.67,4.11,SELL,11510.11
2024-10-30,104.9,118.2494,104.11,116.05,77.53,67.74,88.13,6.84,SELL,11510.11
2024-10-31,117.4,123.6,114.8,119.3,80.12,68.99,88.83,9.17,SELL,11510.11
2024-12-06,152.06,163.72,149.33,162.76,140.39,106.83,71.88,13.29,SELL,11510.11
2024-12-09,171.5,180.74,157.05,167.17,142.01,108.83,73.54,13.96,SELL,11510.11
2025-01-29,201.0,205.57,195.671,202.0,176.40,163.51,70.74,8.42,SELL,11510.11
2025-02-04,208.865,218.25,207.143,215.31,183.57,169.36,74.90,11.14,SELL,11510.11
2025-03-07,147.02,148.3,131.26,133.98,179.52,181.37,29.31,-10.90,SELL,11510.11
2025-03-10,127.75,127.75,105.51,107.29,173.62,180.14,22.96,-14.51,BUY,11510.11
2025-04-04,92.18,92.91,82.8,86.91,113.86,157.63,28.80,-15.45,BUY,9329.45
2025-05-15,122.08,122.08,112.85,113.59,111.66,111.62,50.54,0.51,BUY,12184.21
2025-06-18,132.32,143.89,132.25,141.16,114.56,111.02,71.37,5.49,SELL,15134.20
2025-08-01,182.0,196.6799,177.77,188.64,149.54,135.73,79.43,7.09,SELL,15134.20
2025-08-04,191.7,203.73,188.98,201.76,151.96,137.76,82.71,10.26,SELL,15134.20
2025-08-05,198.67,208.68,197.51,199.09,154.62,139.72,79.92,12.42,SELL,15134.20
2025-08-06,199.01,212.98,198.75,212.81,157.97,141.89,83.08,15.06,SELL,15134.20
