Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2017-03-24,3.31,3.5,3.31,3.37,3.30,3.28,51.60,0.02,BUY,10000.00
2017-05-17,3.47,3.56,3.41,3.42,3.70,3.72,37.46,-0.06,SELL,10148.35
2017-06-15,3.96,4.12,3.95,4.03,3.82,3.81,61.09,0.08,BUY,10148.35
2017-07-28,3.5,3.8,3.5,3.77,3.86,3.87,46.00,-0.04,SELL,9493.67
2017-09-15,4.0,4.25,3.95,4.25,3.80,3.80,65.17,0.10,BUY,9493.67
2017-09-19,4.29,4.67,4.29,4.6,3.90,3.82,73.04,0.16,SELL,10275.22
2017-09-28,4.57,5.0,4.57,4.98,4.17,3.89,71.61,0.20,SELL,10275.22
2017-09-29,4.88,5.31,4.88,5.16,4.24,3.92,74.02,0.25,SELL,10275.22
2017-10-02,5.39,7.235,5.06,6.445,4.37,3.97,84.28,0.39,SELL,10275.22
2017-10-03,6.8,8.25,6.51,8.09,4.58,4.05,89.82,0.63,SELL,10275.22
2017-10-04,9.45,9.5,8.0,8.18,4.79,4.14,90.03,0.81,SELL,10275.22
2017-11-20,8.46,10.5,8.06,10.35,7.55,6.82,71.61,0.45,SELL,10275.22
2017-11-21,10.35,12.89,10.2,11.26,7.72,6.96,75.13,0.67,SELL,10275.22
2017-11-22,12.3,16.14,11.4,15.99,8.16,7.20,85.32,1.22,SELL,10275.22
2017-11-23,15.99,15.99,15.99,15.99,8.59,7.44,85.32,1.63,SELL,10275.22
2017-11-24,18.45,24.0,18.39,23.6,9.43,7.83,91.68,2.54,SELL,10275.22
2017-12-11,19.06,23.67,17.75,23.08,13.87,10.18,71.93,2.33,SELL,10275.22
2017-12-12,26.25,33.27,25.0,28.2,14.93,10.58,77.12,3.16,SELL,10275.22
2017-12-18,32.2,45.99,31.54,36.47,18.85,12.21,76.49,5.04,SELL,10275.22
2017-12-19,36.15,46.2,36.0,38.6,20.22,12.81,77.84,5.89,SELL,10275.22
2018-01-26,17.56,17.98,17.06,17.13,21.67,21.78,38.53,-1.41,SELL,10275.22
2018-03-15,8.12,8.29,7.33,7.51,9.96,14.64,28.31,-1.80,BUY,10275.22
2018-06-19,7.33,7.48,7.16,7.32,7.48,7.51,45.40,-0.08,SELL,10015.30
2018-07-06,6.01,6.08,5.04,5.15,6.80,7.33,20.66,-0.45,BUY,10015.30
2018-07-09,5.29,5.29,4.8,4.865,6.68,7.29,18.77,-0.54,BUY,9461.26
2018-08-10,6.87,7.3,6.8,6.96,6.77,6.67,53.40,0.13,BUY,13533.94
2018-08-24,5.43,5.73,5.4,5.5,6.25,6.29,40.22,-0.32,SELL,10695.70
2018-09-07,5.65,5.82,4.28,4.3,5.78,6.09,29.04,-0.24,BUY,10695.70
2018-09-12,4.23,4.3,3.61,3.74,5.47,5.96,26.87,-0.49,BUY,9302.98
2018-10-03,3.46,3.47,3.3,3.43,3.99,5.38,28.47,-0.53,BUY,8532.01
2018-10-04,3.44,3.49,3.3,3.36,3.87,5.29,27.58,-0.53,BUY,8357.92
2018-10-05,3.34,3.46,2.91,3.02,3.81,5.20,23.71,-0.55,BUY,7512.34
2018-10-08,3.02,3.12,2.83,2.85,3.72,5.11,22.05,-0.57,BUY,7089.55
2018-10-09,2.85,2.88,2.67,2.71,3.64,5.03,20.75,-0.59,BUY,6741.37
2018-10-10,2.72,2.73,2.15,2.17,3.57,4.95,16.69,-0.64,BUY,5398.39
2018-10-11,2.15,2.32,2.15,2.16,3.48,4.85,16.62,-0.68,BUY,5373.52
