Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2021-01-13,19.21,25.63,19.0,23.15,17.32,17.55,71.52,0.73,SELL,10000.00
2021-01-14,22.3,22.4499,20.81,21.0,17.67,17.49,60.92,0.88,BUY,10000.00
2021-02-26,14.79,15.0,12.85,13.49,19.48,18.97,24.52,-1.12,BUY,6425.24
2021-03-02,13.9,14.35,13.36,13.55,18.72,18.82,26.12,-1.50,SELL,6453.80
2021-05-12,9.14,9.25,8.95,9.06,10.40,11.43,27.36,-0.65,BUY,6453.80
2021-05-13,9.02,9.13,8.66,8.99,10.30,11.34,26.87,-0.69,BUY,6403.96
2021-06-09,13.02,14.7,12.58,13.47,9.52,10.34,77.49,0.24,SELL,9593.72
2021-06-18,10.92,11.02,10.6,10.71,10.26,10.23,51.47,0.35,BUY,9593.72
2021-07-15,8.22,8.71,8.04,8.31,9.86,9.89,30.86,-0.54,SELL,7445.72
2021-08-12,6.8,6.8,5.3,5.54,7.47,9.19,21.40,-0.69,BUY,7445.72
2021-08-13,5.46,5.5,5.19,5.23,7.33,9.10,19.85,-0.79,BUY,7029.39
2021-12-29,3.05,3.095,2.84,2.88,3.29,4.17,29.41,-0.32,BUY,3870.99
2022-01-18,2.65,2.68,2.46,2.48,2.95,3.57,28.99,-0.26,BUY,3333.39
2022-01-19,2.5,2.53,2.35,2.38,2.91,3.52,27.05,-0.27,BUY,3198.99
2022-01-20,2.43,2.495,2.27,2.28,2.86,3.45,25.24,-0.29,BUY,3064.59
2022-01-21,2.14,2.15,1.82,1.9,2.79,3.38,19.81,-0.33,BUY,2553.87
2022-01-24,1.75,1.89,1.65,1.89,2.73,3.31,19.69,-0.35,BUY,2540.43
2022-02-23,1.62,1.62,1.43,1.45,1.77,2.38,28.19,-0.24,BUY,1949.07
2022-03-30,2.24,2.3411,2.1,2.11,1.82,1.80,57.23,0.10,BUY,2836.11
2022-04-29,1.89,2.05,1.86,1.93,1.78,1.78,56.73,-0.03,SELL,2594.19
2022-05-11,1.32,1.33,1.18,1.21,1.67,1.78,29.88,-0.10,BUY,2594.19
2022-08-15,14.46,19.26,14.46,19.22,2.01,1.53,97.41,1.42,BUY,41189.62
2022-08-16,18.91,19.68,17.78,19.66,2.94,1.90,97.47,2.57,SELL,42132.54
2022-08-17,19.72,21.38,19.68,20.27,3.90,2.27,97.56,3.50,SELL,42132.54
2022-10-06,9.04,9.3899,8.54,8.64,9.26,9.29,45.21,-0.40,SELL,42132.54
2023-02-02,6.43,7.6292,6.4,7.34,5.30,5.40,77.58,0.30,SELL,42132.54
2023-03-10,3.95,4.0,3.65,3.69,5.34,5.36,26.33,-0.45,SELL,42132.54
2023-05-08,5.28,5.78,5.04,5.54,4.23,4.24,72.28,0.18,SELL,42132.54
2023-05-09,5.5,5.5,5.145,5.21,4.28,4.25,64.13,0.22,BUY,42132.54
2023-06-07,5.27,6.16,5.22,6.02,4.81,4.52,71.68,0.19,SELL,48682.20
2023-06-21,5.92,12.62,5.7,9.62,5.63,4.93,82.43,0.69,SELL,48682.20
2023-06-22,14.4,14.8,12.1,12.9,6.06,5.11,88.63,1.16,SELL,48682.20
2023-08-22,8.99,9.1309,8.75,9.02,9.68,9.74,45.06,-0.23,SELL,48682.20
2023-09-11,11.39,11.685,11.23,11.52,10.44,10.35,60.03,0.50,BUY,48682.20
2023-10-05,8.9,9.16,8.72,8.96,10.10,10.16,36.55,-0.45,SELL,37866.20
2023-11-27,9.66,9.74,9.2,9.2,9.67,9.65,45.28,-0.06,BUY,37866.20
2023-12-04,10.6,12.41,10.58,12.385,9.92,9.64,70.71,0.25,SELL,50972.48
2024-01-23,9.29,9.29,8.84,9.0,10.14,10.16,36.90,-0.36,SELL,50972.48
2024-02-22,11.64,14.0,11.51,13.29,8.54,9.52,77.07,0.22,SELL,50972.48
2024-02-23,13.64,17.39,13.53,16.96,8.95,9.65,84.40,0.81,SELL,50972.48
2024-02-26,17.19,23.71,17.1,22.76,9.65,9.91,89.90,1.74,SELL,50972.48
2024-02-28,23.82,28.4,23.04,27.97,11.46,10.56,92.54,3.53,SELL,50972.48
2024-02-29,27.95,34.41,27.24,32.11,12.66,10.99,93.95,4.52,SELL,50972.48
2024-03-01,34.36,41.96,31.9,39.11,14.20,11.57,95.49,5.80,SELL,50972.48
2024-03-28,56.61,61.5,55.6,61.08,49.09,26.45,71.82,9.19,SELL,50972.48
2024-04-03,61.4,68.97,61.21,68.11,52.62,29.72,75.86,9.44,SELL,50972.48
2024-04-04,69.37,73.76,68.2148,70.93,53.96,30.96,77.44,9.83,SELL,50972.48
2024-04-05,70.72,83.81,70.2,82.9,55.88,32.44,82.62,10.98,SELL,50972.48
2024-05-28,55.5,56.225,54.14,55.5,61.77,61.85,42.58,-0.69,SELL,50972.48
2024-07-09,60.86,68.0,59.57,66.45,49.30,55.14,74.20,1.82,SELL,50972.48
2024-07-17,78.82,83.08,76.01,79.41,57.19,56.09,75.93,6.65,BUY,50972.48
2024-08-19,48.8,51.35,47.55,48.94,55.87,56.31,40.05,-4.30,SELL,31441.20
2024-09-09,38.11,39.0,37.26,37.59,44.23,55.51,29.30,-4.41,BUY,31441.20
2024-09-10,37.85,37.85,35.66,35.83,43.69,55.20,27.12,-4.58,BUY,29969.84
2024-11-01,72.13,77.15,63.2,71.01,43.20,41.27,83.08,3.94,SELL,59380.33
2024-11-04,70.4,77.34,67.27,70.96,44.86,41.75,82.98,5.45,SELL,59380.33
2024-11-29,100.14,102.758,97.12,99.81,88.81,59.90,70.51,13.51,SELL,59380.33
2025-01-03,73.62,77.34,73.0,75.32,78.07,78.50,45.75,-2.61,SELL,59380.33
2025-02-03,94.0,108.6,93.61,106.2,84.78,85.96,73.81,4.71,SELL,59380.33
2025-02-04,105.97,107.28,100.96,104.2,86.22,86.02,70.58,5.47,BUY,59380.33
2025-02-13,120.0,141.2265,120.0,138.38,98.94,87.70,84.55,11.21,SELL,78828.75
2025-04-22,122.87,135.67,121.37,134.95,128.88,130.21,53.44,-1.87,SELL,78828.75
2025-05-09,143.9,155.0,141.3174,147.42,138.15,137.91,56.83,3.15,BUY,78828.75
2025-07-01,126.75,129.3,123.5,125.28,138.66,138.99,40.24,-3.34,SELL,67005.99
2025-08-08,91.66,92.7834,86.55,88.26,118.79,128.16,29.33,-6.45,BUY,67005.99
2025-08-11,86.62,89.2,84.48,88.39,116.99,127.31,29.45,-7.86,BUY,67104.65
