Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2022-04-08,49.04,50.24,48.55,50.03,48.30,48.57,54.19,-0.62,SELL,10000.00
2022-04-26,55.56,58.78,55.17,58.71,50.41,50.37,65.32,2.09,BUY,10000.00
2022-05-09,65.94,70.62,64.7,70.03,56.94,52.56,71.36,3.80,SELL,11924.40
2022-05-11,73.24,77.8,70.26,77.4,59.34,53.61,77.08,5.22,SELL,11924.40
2022-06-29,61.53,63.2,60.9809,62.1,63.57,63.58,48.58,-0.74,SELL,11924.40
2022-06-30,63.21,65.63,62.75,64.41,63.82,63.75,51.86,-0.52,BUY,11924.40
2022-07-01,63.72,64.23,61.3361,62.41,63.82,63.86,48.95,-0.50,SELL,11554.40
2022-09-08,58.58,58.92,55.83,55.9,54.44,54.31,51.92,1.33,BUY,11554.40
2022-11-21,60.19,62.4,59.91,61.67,60.20,60.44,52.64,-0.60,SELL,12743.02
2022-12-21,66.05,66.86,64.37,65.48,61.61,61.41,59.88,1.39,BUY,12743.02
2023-01-09,52.36,53.06,50.62,51.57,60.19,60.29,33.96,-2.30,SELL,10044.48
2023-02-02,38.46,38.71,36.4501,37.46,45.87,54.77,24.42,-4.28,BUY,10044.48
2023-03-24,43.3,43.72,42.66,42.88,42.37,42.35,51.29,-0.14,BUY,11497.04
2023-04-25,43.6,44.76,43.51,44.74,41.93,41.93,62.51,0.28,SELL,11995.52
2023-04-26,44.07,45.79,44.05,45.66,42.12,42.03,65.75,0.51,BUY,11995.52
2023-05-26,41.49,41.58,40.201,40.81,42.24,42.32,44.73,-0.63,SELL,10724.82
2023-07-13,33.18,33.39,31.91,32.0,35.97,38.44,25.87,-1.30,BUY,10724.82
2023-08-21,38.72,39.04,38.22,38.32,35.32,35.25,64.72,1.10,BUY,12842.02
2023-09-21,39.32,39.77,39.152,39.77,36.83,35.57,70.05,0.53,SELL,13327.77
2023-09-22,39.32,40.5,39.22,40.49,36.90,35.74,72.72,0.74,SELL,13327.77
2023-10-27,44.31,45.89,44.19,45.85,41.74,39.34,71.35,1.57,SELL,13327.77
2023-11-21,34.81,35.33,34.73,35.13,39.77,40.00,35.10,-1.60,SELL,13327.77
2023-12-14,29.98,30.03,29.2403,29.52,32.91,37.79,25.00,-2.04,BUY,13327.77
2023-12-18,30.3,30.39,29.77,30.08,32.33,37.37,29.40,-2.00,BUY,13580.33
2023-12-26,25.56,25.63,25.175,25.3,30.82,36.20,21.89,-2.20,BUY,11424.55
2023-12-27,25.04,25.29,24.95,25.08,30.42,35.88,21.49,-2.39,BUY,11325.33
2024-04-11,28.15,28.635,27.9,27.94,27.54,27.47,53.50,0.24,BUY,12615.19
2024-04-16,30.57,31.08,30.44,30.75,27.90,27.50,70.76,0.62,SELL,13882.50
2024-04-17,30.54,31.35,30.42,31.2,28.07,27.52,72.66,0.77,SELL,13882.50
2024-07-11,28.89,29.49,28.29,29.45,30.17,30.20,40.99,-0.28,SELL,13882.50
2024-07-16,27.75,28.22,26.125,26.21,29.80,30.03,19.56,-0.65,BUY,13882.50
2024-08-02,35.23,37.07,34.9,36.46,29.75,30.19,71.34,0.86,SELL,19304.75
2024-08-05,43.97,44.18,37.76,39.38,30.26,30.38,76.22,1.44,SELL,19304.75
2024-08-06,38.02,39.97,36.82,38.17,30.70,30.53,70.84,1.79,BUY,19304.75
2024-09-10,31.97,33.18,31.48,31.49,31.03,31.19,49.81,0.05,SELL,15931.35
2024-11-07,20.6,20.6489,20.02,20.29,25.45,27.28,29.95,-1.21,BUY,15931.35
2024-11-08,20.63,20.71,19.18,19.23,25.06,27.07,27.76,-1.54,BUY,15099.25
2024-11-11,17.84,18.03,16.18,16.52,24.59,26.80,23.10,-1.99,BUY,12971.90
2024-11-27,50.76,51.96,49.86,50.22,21.43,24.44,83.37,0.49,SELL,39426.40
2024-11-29,49.41,49.679,48.2001,48.77,22.50,24.89,80.52,2.48,SELL,39426.40
2024-12-05,43.41,44.9713,43.25,44.91,26.71,26.41,71.12,5.86,BUY,39426.40
2025-01-31,32.39,33.805,31.48,33.42,36.96,37.12,41.76,-1.27,SELL,29349.67
2025-03-07,46.57,50.42,44.9279,45.66,37.37,37.07,65.14,2.74,BUY,29349.67
2025-04-04,60.97,68.56,60.0,64.36,49.73,41.61,70.27,3.57,SELL,41355.07
2025-05-15,44.85,45.67,44.65,44.87,50.74,51.39,37.34,-1.74,SELL,41355.07
2025-07-16,34.33,34.33,33.17,33.31,35.58,40.69,29.47,-1.97,BUY,41355.07
2025-07-17,33.22,33.27,32.675,32.81,35.33,40.31,27.94,-1.99,BUY,40734.57
2025-07-18,32.3,32.55,31.69,32.27,35.07,39.96,26.35,-2.03,BUY,40064.43
2025-07-21,32.0,32.64,31.62,32.61,34.84,39.61,29.09,-2.01,BUY,40486.37
