Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2023-12-07,10.88,11.24,10.7227,11.2,10.62,10.57,39.80,-0.24,BUY,10000.00
2023-12-19,14.84,19.4499,14.83,19.0,11.80,10.88,77.03,1.24,SELL,16957.60
2023-12-22,18.82,27.4799,17.25,24.41,13.19,11.41,79.05,2.24,SELL,16957.60
2024-01-18,25.15,34.99,25.05,31.63,20.13,14.74,77.06,2.51,SELL,16957.60
2024-01-19,32.23,39.0,31.0101,36.86,21.02,15.29,81.24,3.57,SELL,16957.60
2024-01-22,39.09,42.0,35.439,36.81,22.01,15.83,81.09,4.35,SELL,16957.60
2024-02-14,46.85,52.06,46.25,48.95,39.36,25.87,72.68,6.05,SELL,16957.60
2024-03-22,67.19,77.365,66.295,75.01,57.71,45.97,70.50,6.32,SELL,16957.60
2024-03-25,73.75,80.8449,72.75,79.25,59.26,47.21,72.90,7.22,SELL,16957.60
2024-03-26,78.0,89.54,78.0,87.0,60.71,48.59,76.65,8.46,SELL,16957.60
2024-03-27,90.0,100.0,84.0883,92.5,62.71,50.02,78.88,9.77,SELL,16957.60
2024-05-01,49.84,51.475,43.91,49.65,60.49,60.86,40.79,-3.39,SELL,16957.60
2024-05-30,77.01,83.56,77.01,81.17,67.27,66.24,61.52,4.05,BUY,16957.60
2024-08-09,104.0,117.0,97.66,116.41,85.84,84.54,71.32,3.10,SELL,24287.52
2024-08-12,108.81,126.04,107.9,118.36,87.47,85.28,72.08,5.18,SELL,24287.52
2024-08-13,118.5,127.0,116.55,126.47,89.23,86.21,75.07,7.40,SELL,24287.52
2024-09-19,153.38,166.18,150.0,160.15,137.61,112.81,71.26,11.03,SELL,24287.52
2024-09-20,160.15,165.32,157.3001,163.4,139.42,114.43,72.65,11.71,SELL,24287.52
2024-09-24,167.89,179.99,165.05,176.97,144.03,117.79,77.82,13.40,SELL,24287.52
2024-10-15,191.39,202.15,183.05,200.71,167.34,143.46,72.61,10.88,SELL,24287.52
2024-10-16,199.9,203.81,194.7197,203.18,170.12,145.96,73.35,12.55,SELL,24287.52
2024-10-17,205.14,220.0,204.26,218.79,173.05,148.76,77.50,14.96,SELL,24287.52
2024-10-18,219.11,232.02,212.0,225.42,176.15,151.14,78.99,17.20,SELL,24287.52
2024-11-08,350.0,454.16,307.7,431.48,222.83,181.76,86.51,32.02,SELL,24287.52
2024-11-11,414.32,444.066,392.76,427.21,234.80,187.58,85.27,43.70,SELL,24287.52
2024-12-30,256.58,263.0,242.1423,255.0,309.30,312.48,38.48,-22.83,SELL,24287.52
2025-02-13,306.02,336.16,305.29,335.0,249.35,274.04,70.30,7.84,SELL,24287.52
2025-02-14,338.25,358.5499,325.0001,340.16,253.23,273.19,71.13,12.85,SELL,24287.52
2025-02-21,311.95,321.18,279.335,286.65,270.77,268.90,51.67,16.23,BUY,24287.52
2025-03-19,217.77,238.37,217.77,230.11,255.58,256.79,44.37,-14.36,SELL,19538.16
2025-03-31,35.19,36.69,32.5,34.89,222.82,250.69,19.42,-25.45,BUY,19538.16
2025-04-01,33.92,37.61,33.5,36.34,211.54,246.92,19.78,-36.86,BUY,20348.71
2025-04-02,34.17,37.84,33.33,37.19,200.34,243.06,20.01,-45.32,BUY,20823.86
2025-04-16,41.58,42.84,40.68,42.74,105.64,203.35,25.28,-52.79,BUY,23926.31
2025-05-29,114.24,115.84,107.6,109.15,88.69,87.10,67.13,7.95,BUY,61049.50
2025-06-05,121.35,125.3995,120.89,123.73,102.80,74.47,74.16,9.78,SELL,69199.72
2025-06-06,124.03,132.8,123.3825,132.09,105.05,72.60,77.85,10.86,SELL,69199.72
2025-06-12,131.53,141.83,131.45,140.1,113.46,76.74,74.10,12.39,SELL,69199.72
2025-06-16,136.11,147.5,135.5,146.43,117.83,81.12,72.59,13.23,SELL,69199.72
2025-06-30,168.81,181.5323,168.81,179.25,142.08,104.39,78.36,16.53,SELL,69199.72
2025-08-06,152.59,152.59,131.002,142.41,143.40,143.66,47.86,1.27,SELL,69199.72
2025-08-08,103.51,106.0,90.99,91.51,140.77,143.87,29.21,-3.88,BUY,69199.72
2025-08-11,92.01,93.85,86.2548,87.31,138.35,143.48,28.22,-7.63,BUY,66024.52
2025-08-12,88.21,91.5841,83.51,89.14,136.14,143.01,29.34,-10.33,BUY,67408.00
