Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2017-09-12,95.4,100.4,95.2,99.4,81.54,84.95,71.69,2.38,SELL,10000.00
2017-09-19,93.6,94.0,91.0,91.0,85.24,84.58,55.07,3.21,BUY,10000.00
2017-10-04,108.0,118.0,107.6,112.0,94.33,85.62,70.25,3.49,SELL,12289.00
2017-10-05,112.0,124.2,110.0,112.0,95.58,86.25,70.25,4.56,SELL,12289.00
2017-11-29,101.2,101.2,96.6,97.4,106.92,107.19,35.57,-2.18,SELL,12289.00
2017-12-29,111.2,119.8,111.2,119.6,110.11,109.69,59.76,3.06,BUY,12289.00
2018-01-29,97.2,97.5,90.18,93.8,108.02,108.18,33.36,-4.55,SELL,9657.40
2018-04-11,94.2,94.2,91.0,91.2,90.96,90.78,50.20,0.59,BUY,9657.40
2018-05-16,86.0,88.8,86.0,87.6,90.93,90.96,42.14,-1.28,SELL,9279.40
2018-05-25,94.4,99.6,94.4,98.6,91.87,91.82,59.45,1.49,BUY,9279.40
2018-07-18,105.8,118.0,102.8,113.6,104.05,99.60,70.01,2.35,SELL,10689.40
2018-10-15,79.4,80.2,79.4,80.0,79.40,79.14,50.96,0.05,BUY,10689.40
2018-11-19,73.8,73.8,69.2,70.8,78.98,79.35,33.57,-2.05,SELL,9465.80
2018-12-21,65.6,65.6,50.0,50.0,68.21,74.16,21.16,-2.91,BUY,9465.80
2019-03-14,49.6,52.0,46.4,46.4,53.35,57.20,26.70,-2.30,BUY,8785.40
2019-03-20,46.0,46.0,41.6,41.6,51.70,56.17,22.86,-3.20,BUY,7878.20
2019-04-03,34.4,35.0,25.2,25.2,43.20,51.53,17.58,-5.63,BUY,4778.60
2019-04-18,25.4,26.0,24.002,25.0,32.37,44.60,26.73,-5.58,BUY,4740.80
2019-05-20,19.8,20.2,17.8,17.8,23.07,30.58,28.96,-3.10,BUY,3380.00
2019-05-21,18.6,19.0,16.402,17.0,22.64,29.92,27.64,-3.23,BUY,3228.80
2019-05-22,17.4,17.66,15.0,15.0,22.04,29.24,24.61,-3.45,BUY,2850.80
2019-05-23,15.0,15.5,14.0,14.46,21.64,28.60,23.85,-3.63,BUY,2748.20
2019-08-01,17.6,18.4,17.6,18.004,16.36,16.36,54.73,0.41,BUY,3421.56
2019-08-19,12.2,12.2,10.8,11.2,15.79,15.90,32.44,-1.14,SELL,2128.80
2019-12-11,3.0,3.3,2.822,3.0,5.35,7.23,29.26,-0.94,BUY,2128.80
2019-12-13,3.2,3.25,2.38,3.0,4.93,7.03,29.81,-1.07,BUY,2128.80
2019-12-16,3.14,3.14,2.7,2.844,4.75,6.92,29.08,-1.11,BUY,2018.20
2019-12-24,2.75,2.83,2.626,2.77,3.98,6.24,29.54,-1.06,BUY,1965.73
2020-03-31,3.8,9.74,3.26,9.3,2.22,2.61,89.36,0.46,SELL,6595.50
2020-04-06,4.29,4.6782,3.9,4.03,2.74,2.70,54.38,0.66,BUY,6595.50
2020-05-19,2.52,2.69,2.33,2.61,3.16,3.18,43.03,-0.30,SELL,4272.38
2020-07-10,2.74,2.76,2.67,2.73,2.74,2.72,49.81,-0.00,BUY,4272.38
2020-08-21,2.2,2.22,2.125,2.18,2.71,2.73,27.34,-0.14,SELL,3412.18
2020-09-24,1.78,1.7803,1.51,1.52,1.85,2.34,24.98,-0.16,BUY,3412.18
2020-10-20,2.84,2.84,2.41,2.42,2.06,2.06,58.25,0.10,BUY,5431.78
2020-11-23,2.72,3.44,2.66,3.38,2.53,2.25,76.99,0.17,SELL,7586.02
2020-12-15,3.4,3.94,3.29,3.86,3.13,2.67,71.75,0.26,SELL,7586.02
2020-12-16,3.88,4.36,3.75,3.96,3.19,2.70,73.15,0.29,SELL,7586.02
2020-12-17,3.91,4.16,3.65,4.02,3.25,2.74,73.99,0.32,SELL,7586.02
2020-12-18,4.0,4.89,3.94,4.55,3.34,2.79,79.93,0.38,SELL,7586.02
2020-12-21,4.81,5.38,4.75,5.1,3.43,2.85,84.01,0.47,SELL,7586.02
2021-01-13,6.99,7.37,6.91,7.2,5.62,4.01,76.76,0.79,SELL,7586.02
2021-01-15,6.95,7.7799,6.87,7.65,5.91,4.21,75.54,0.85,SELL,7586.02
2021-01-19,7.84,8.42,7.81,8.42,6.21,4.43,79.64,0.96,SELL,7586.02
2021-02-25,5.7,5.77,5.0,5.01,6.33,6.41,36.14,-0.30,SELL,7586.02
