Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-05-22,45.89,45.91,45.37,45.8,43.47,43.42,63.89,0.78,BUY,10000.00
2024-07-10,53.63,54.5,53.51,54.49,51.68,48.01,71.94,1.32,SELL,11894.42
2024-08-01,47.04,47.43,43.84,44.53,49.46,49.66,38.21,-1.37,SELL,11894.42
2024-10-04,47.29,47.34,46.57,47.1377,45.37,45.15,56.36,0.42,BUY,11894.42
2024-11-21,46.25,46.3,44.98,46.14,46.54,46.56,48.22,-0.25,SELL,11643.00
2024-12-27,47.32,47.32,46.56,47.12,46.51,46.46,53.20,0.22,BUY,11643.00
2025-02-20,49.17,49.17,48.3873,48.87,46.98,47.00,60.06,0.41,SELL,12075.25
2025-04-03,38.0,38.13,36.55,36.665,41.52,44.23,28.32,-1.45,BUY,12075.25
2025-04-04,34.97,34.97,33.32,33.95,41.08,43.91,23.26,-1.87,BUY,11182.01
2025-05-14,47.18,47.3985,46.7,47.2143,40.61,40.45,73.89,1.60,BUY,15545.97
2025-06-09,48.71,49.25,48.665,48.8717,46.87,42.14,71.00,1.55,SELL,16091.25
2025-06-10,49.03,49.76,48.86,49.6041,47.01,42.34,73.51,1.63,SELL,16091.25
2025-06-11,49.79,50.04,49.32,49.62,47.13,42.53,73.56,1.66,SELL,16091.25
2025-06-25,51.97,52.2707,51.891,52.2707,49.04,45.12,74.86,1.59,SELL,16091.25
2025-06-26,52.6,52.8999,52.43,52.7913,49.34,45.44,76.40,1.69,SELL,16091.25
2025-07-14,54.12,54.4,53.95,54.2667,52.27,48.69,70.19,1.77,SELL,16091.25
2025-07-16,54.75,55.01,53.9103,54.9743,52.81,49.25,70.68,1.76,SELL,16091.25
2025-07-30,56.56,57.0381,56.56,56.92,54.77,51.26,72.68,1.36,SELL,16091.25
