Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2020-02-06,29.5,30.6,27.5067,30.27,25.13,22.65,72.93,1.47,SELL,10000.00
2020-02-07,30.25,31.53,29.3,31.0,25.54,22.92,74.50,1.74,SELL,10000.00
2020-03-12,18.36,20.11,15.4199,16.98,25.50,25.59,26.37,-1.94,SELL,10000.00
2020-05-11,24.39,25.73,23.78,25.64,21.34,21.23,64.68,0.98,BUY,10000.00
2020-05-19,34.43,35.0,30.5,30.93,23.50,21.60,75.61,1.80,SELL,12063.10
2020-05-20,32.18,35.18,31.94,32.52,24.16,21.87,78.10,2.22,SELL,12063.10
2020-06-09,34.98,39.73,34.98,38.6,31.42,25.40,77.88,2.94,SELL,12063.10
2020-06-16,40.59,42.8399,40.41,41.5,34.07,27.02,70.23,3.22,SELL,12063.10
2020-06-17,42.5,49.94,42.1475,46.66,34.78,27.52,75.84,3.84,SELL,12063.10
2020-06-18,46.16,47.3999,44.1101,46.84,35.50,28.04,76.01,4.30,SELL,12063.10
2020-07-17,48.93,53.78,48.9,53.31,47.23,39.02,73.05,2.91,SELL,12063.10
2020-07-20,54.85,59.23,54.41,58.29,47.80,39.67,78.79,3.52,SELL,12063.10
2020-08-06,61.41,63.86,59.28,61.58,52.85,46.11,71.56,3.42,SELL,12063.10
2020-09-01,68.03,81.6,67.25,75.2,65.60,56.16,70.14,4.27,SELL,12063.10
2020-09-02,76.6,78.81,76.03,77.47,66.57,56.75,72.24,4.74,SELL,12063.10
2020-09-29,82.35,86.6699,82.3121,85.62,72.17,65.79,73.40,4.28,SELL,12063.10
2020-12-04,92.5,104.01,92.5,103.79,89.08,89.08,67.11,1.56,SELL,12063.10
2020-12-07,104.34,107.87,101.92,107.0,89.67,89.58,69.43,2.73,BUY,12063.10
2021-01-11,122.09,135.75,118.78,126.55,111.66,100.58,70.30,5.36,SELL,14252.70
2021-01-12,128.05,132.75,126.28,132.35,112.79,101.39,73.80,6.38,SELL,14252.70
2021-01-14,128.66,135.72,128.66,135.37,114.80,102.89,72.59,7.63,SELL,14252.70
2021-03-04,91.0,94.63,88.0,90.54,121.56,123.19,29.55,-9.36,SELL,14252.70
2021-06-10,109.65,111.99,108.53,110.56,96.59,96.09,67.04,4.13,BUY,14252.70
2021-06-14,112.44,122.49,112.435,122.01,99.95,96.56,75.35,5.71,SELL,15718.30
2021-08-05,156.24,195.0,156.2,185.0,128.50,120.96,84.07,9.03,SELL,15718.30
2021-08-06,184.07,190.0,182.0138,187.59,131.99,122.75,84.57,12.21,SELL,15718.30
2021-08-09,186.71,195.0,184.0,191.72,135.65,124.61,85.35,14.90,SELL,15718.30
2021-08-10,192.98,205.03,189.1001,204.82,140.07,126.74,87.51,17.88,SELL,15718.30
2021-08-24,202.36,207.76,198.4082,203.93,179.94,145.58,74.87,19.53,SELL,15718.30
2021-09-01,214.38,215.74,209.28,212.97,201.69,155.69,73.58,16.30,SELL,15718.30
2021-09-02,215.67,228.28,211.7006,215.65,203.22,157.34,74.77,16.06,SELL,15718.30
2021-09-03,214.57,226.24,214.39,224.62,205.07,159.32,78.28,16.41,SELL,15718.30
2021-09-06,224.62,224.62,224.62,224.62,206.72,161.23,78.28,16.50,SELL,15718.30
2021-09-07,226.07,232.27,218.79,224.93,207.72,163.15,78.40,16.40,SELL,15718.30
2021-09-23,230.0,239.34,228.72,238.27,220.47,188.02,71.37,10.37,SELL,15718.30
2021-10-22,227.88,230.23,222.26,228.54,214.24,214.72,59.85,4.14,SELL,15718.30
2021-10-26,243.02,243.91,237.36,242.95,217.05,216.43,67.68,6.44,BUY,15718.30
2021-10-28,244.4,259.25,241.62,256.63,222.15,218.39,72.36,8.74,SELL,16593.82
2021-10-29,254.49,265.02,253.19,264.89,224.97,219.56,75.17,10.61,SELL,16593.82
2022-01-05,266.02,269.73,248.4825,249.85,279.07,279.61,38.80,-0.77,SELL,16593.82
2022-03-25,249.64,252.4999,240.04,251.72,208.43,206.53,65.70,12.57,BUY,16593.82
2022-04-25,163.17,173.01,163.02,171.84,202.87,204.88,35.86,-13.16,SELL,11401.62
2022-06-06,230.0,234.89,218.63,219.16,198.11,195.66,59.34,8.70,BUY,11401.62
2022-06-30,160.0,168.79,158.452,163.03,185.16,186.48,39.46,-8.00,SELL,8482.86
2022-09-01,104.44,104.51,96.11,99.76,124.15,149.49,28.65,-14.16,BUY,8482.86
2022-11-11,104.35,109.14,103.13,107.47,87.32,87.01,65.37,3.26,BUY,9138.21
2023-01-12,105.14,106.395,97.895,102.58,101.60,101.68,50.60,1.02,SELL,8722.56
2023-01-20,107.82,111.7,106.81,111.44,103.66,103.21,59.23,2.17,BUY,8722.56
2023-04-24,117.05,117.6,113.5,115.3,127.95,128.26,38.02,-3.79,SELL,9023.64
2023-05-04,90.69,96.16,83.765,84.5,116.09,125.59,20.74,-7.85,BUY,9023.64
2023-06-16,121.06,121.06,116.32,117.89,105.78,105.35,66.64,4.58,BUY,12562.98
2023-09-11,115.02,115.02,110.0945,110.38,125.95,126.63,30.82,-2.56,SELL,11766.92
2023-11-28,113.1,113.3099,109.9824,111.5,110.62,110.44,49.75,1.38,BUY,11766.92
2024-01-31,108.68,110.66,105.64,106.57,116.98,117.10,36.01,-1.02,SELL,11249.27
2024-03-15,86.0,87.375,84.05,84.13,94.75,107.32,27.67,-5.56,BUY,11249.27
2024-03-18,85.39,86.86,83.7,85.12,93.83,106.79,29.86,-5.73,BUY,11380.94
2024-05-09,111.23,128.81,109.33,124.34,86.22,88.68,81.52,4.78,SELL,16597.20
2024-05-13,123.39,127.095,122.76,124.01,90.57,89.89,80.08,8.07,BUY,16597.20
2024-07-08,134.87,143.21,134.87,142.42,124.50,117.98,71.37,4.07,SELL,19045.73
2024-07-09,142.54,147.7,138.44,147.6,125.93,119.27,74.40,5.33,SELL,19045.73
2024-07-10,148.24,155.39,148.23,152.99,127.52,120.55,77.12,6.68,SELL,19045.73
2024-07-11,156.63,160.14,149.9211,155.15,129.08,121.85,78.12,7.84,SELL,19045.73
2024-08-19,139.77,142.93,136.4,142.18,132.60,133.52,57.17,-0.36,SELL,19045.73
2024-09-12,142.45,144.54,139.0,141.51,139.39,139.14,54.16,0.59,BUY,19045.73
2024-09-19,165.35,170.71,163.855,167.91,142.86,140.49,71.28,5.31,SELL,22583.33
2024-11-07,200.0,227.625,190.245,225.51,181.50,167.59,76.61,6.53,SELL,22583.33
2024-11-08,220.18,228.12,217.015,225.45,183.52,169.16,76.56,9.20,SELL,22583.33
2024-12-09,239.5,253.51,239.19,252.24,213.29,194.21,74.87,11.57,SELL,22583.33
2024-12-11,245.0,264.5,242.56,261.03,217.43,197.51,73.44,14.41,SELL,22583.33
2025-02-05,214.64,225.3599,214.45,222.99,226.70,226.98,50.33,-5.14,SELL,22583.33
2025-04-04,120.0,122.63,105.4,119.23,163.38,174.36,29.58,-10.27,BUY,22583.33
2025-05-14,204.76,206.578,198.82,203.0,160.29,158.67,73.11,13.47,BUY,38415.86
2025-06-18,221.67,230.5,220.13,228.17,207.02,181.24,73.21,9.87,SELL,43172.99
2025-07-23,197.6,197.84,189.27,197.84,207.58,209.11,41.76,-1.43,SELL,43172.99
2025-08-25,240.0,240.0,231.2888,231.63,211.78,211.27,59.37,7.04,BUY,43172.99
