Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2018-05-04,16.55,19.07,16.12,18.87,12.55,15.49,77.12,0.89,SELL,10000.00
2018-05-10,19.6,24.49,19.6,22.43,14.43,14.66,77.85,1.88,SELL,10000.00
2018-05-11,22.36,23.175,20.35,22.46,15.05,14.44,77.90,2.17,BUY,10000.00
2018-06-18,29.65,30.0,25.12,29.38,22.62,18.54,78.84,2.09,SELL,13079.40
2018-06-19,29.29,54.84,26.54,43.0,23.74,19.20,90.01,3.40,SELL,13079.40
2018-06-21,35.99,42.9,35.0,42.34,25.70,20.36,74.73,4.62,SELL,13079.40
2018-08-22,38.5,39.0,38.17,38.48,38.79,38.92,49.32,0.06,SELL,13079.40
2018-09-04,42.59,45.8,42.32,44.82,39.34,39.64,70.37,0.97,SELL,13079.40
2018-10-18,35.17,36.125,34.5,35.5,40.88,41.55,38.38,-2.70,SELL,13079.40
2018-12-11,25.71,25.995,23.61,23.71,30.47,32.67,28.89,-2.13,BUY,13079.40
2019-01-21,25.71,25.71,25.71,25.71,28.37,28.29,41.02,-0.06,BUY,14181.40
2019-02-05,23.61,24.54,22.32,23.04,26.35,26.53,38.59,-1.13,SELL,12710.23
2019-02-07,6.0,8.4,5.97,7.19,24.68,25.82,16.34,-2.51,BUY,12710.23
2019-02-08,7.29,7.69,7.13,7.42,23.43,25.35,17.09,-3.47,BUY,13116.64
2019-02-11,7.42,7.8,7.32,7.47,22.26,24.89,17.27,-4.17,BUY,13204.99
2019-04-17,8.95,8.95,8.5,8.8,9.49,9.47,34.35,-0.60,BUY,15555.10
2019-04-18,8.8,9.32,8.8,9.21,9.42,9.51,41.50,-0.56,SELL,16279.57
2019-05-14,5.35,6.85,5.23,6.32,9.24,9.56,22.60,-0.34,BUY,16279.57
2019-05-15,6.31,6.31,5.65,5.91,9.09,9.48,21.03,-0.56,BUY,15223.82
2019-06-04,5.39,5.55,5.32,5.47,6.47,8.19,29.73,-0.96,BUY,14090.82
2019-06-11,5.27,5.3,4.91,4.95,5.53,7.76,29.34,-0.83,BUY,12751.30
2019-06-26,4.76,4.86,4.46,4.6,5.11,6.84,29.29,-0.50,BUY,11849.70
2019-08-02,5.44,6.1032,5.36,5.98,5.22,5.20,58.53,0.09,BUY,15404.58
2019-08-16,6.84,8.99,6.74,8.81,5.76,5.39,71.71,0.42,SELL,22694.66
2019-08-19,9.48,10.5,9.0301,9.3,5.99,5.47,73.61,0.63,SELL,22694.66
2019-08-20,9.21,9.64,8.91,9.32,6.23,5.55,73.69,0.79,SELL,22694.66
2019-11-12,3.2,3.6,2.75,2.82,11.19,10.66,17.45,-0.58,BUY,22694.66
2019-11-13,2.91,3.14,2.76,3.06,10.75,10.54,19.10,-1.08,BUY,24625.94
2019-11-14,3.11,3.41,3.06,3.16,10.29,10.42,19.82,-1.46,SELL,25430.64
2019-11-29,4.09,4.1176,3.9,3.93,5.92,8.99,27.71,-1.68,BUY,25430.64
2020-01-20,3.86,3.86,3.86,3.86,4.14,4.09,40.67,-0.27,BUY,24977.74
2020-01-21,3.84,3.88,3.68,3.75,4.10,4.11,38.61,-0.26,SELL,24266.04
2020-05-19,2.92,3.03,2.75,2.755,2.56,2.55,54.76,0.07,BUY,24266.04
2020-07-21,2.97,3.08,2.91,2.97,3.01,3.02,49.20,-0.03,SELL,26159.76
2020-10-01,5.21,6.1,3.43,3.46,2.31,2.44,74.52,0.00,SELL,26159.76
2020-10-02,3.35,4.25,3.25,4.18,2.41,2.47,80.76,0.15,SELL,26159.76
2020-11-24,3.15,3.25,3.06,3.08,3.24,3.24,41.88,-0.04,SELL,26159.76
2020-12-11,4.23,5.92,3.86,5.61,3.49,3.54,83.17,0.26,SELL,26159.76
2020-12-14,5.19,5.45,4.7,4.79,3.57,3.54,65.69,0.32,BUY,26159.76
2020-12-15,5.1,6.85,5.09,5.91,3.70,3.58,73.79,0.45,SELL,32276.08
2020-12-17,5.9,7.52,5.86,7.32,4.03,3.68,80.41,0.73,SELL,32276.08
2021-01-07,7.1,8.555,7.099,8.48,6.95,4.77,71.14,0.90,SELL,32276.08
2021-02-23,6.74,9.95,6.65,9.74,7.43,7.11,72.59,0.32,SELL,32276.08
2021-03-31,5.52,5.72,5.45,5.53,7.31,7.51,37.61,-0.76,SELL,32276.08
2021-04-13,4.85,5.08,4.77,4.95,5.53,7.28,35.02,-0.67,BUY,32276.08
2021-05-14,4.33,4.4,3.37,3.49,4.82,5.75,21.53,-0.39,BUY,22756.88
2021-05-17,3.54,3.67,3.41,3.55,4.75,5.63,23.29,-0.44,BUY,23148.08
2021-08-02,2.79,2.88,2.72,2.77,3.04,3.53,28.92,-0.25,BUY,18062.48
2021-08-19,2.59,2.62,2.4,2.42,2.71,3.22,29.76,-0.19,BUY,15780.48
2021-09-22,3.22,3.25,2.86,3.0,2.76,2.76,57.77,0.03,BUY,19562.08
