Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2014-05-05,10.91,11.02,10.51,10.62,11.81,12.80,29.46,-0.48,BUY,10000.00
2014-05-06,10.57,10.62,10.29,10.39,11.73,12.73,27.54,-0.53,BUY,9783.57
2014-07-04,11.68,11.68,11.68,11.68,10.96,10.94,64.93,0.16,BUY,10997.46
2014-08-01,11.29,11.81,11.15,11.33,11.06,11.06,58.24,-0.00,SELL,10668.11
2014-08-07,11.72,11.84,11.48,11.58,11.08,11.08,61.17,0.11,BUY,10668.11
2014-09-23,10.25,10.42,10.11,10.12,11.14,11.17,33.53,-0.24,SELL,9323.45
2014-11-12,10.28,10.62,10.28,10.38,10.20,10.18,54.53,0.12,BUY,9323.45
2015-01-14,10.62,10.75,9.94,10.14,11.51,11.02,26.59,-0.06,BUY,9107.93
2015-01-26,10.28,10.57,10.25,10.41,10.96,10.99,40.85,-0.29,SELL,9350.39
2015-02-24,9.54,9.77,9.34,9.43,9.99,10.66,29.73,-0.23,BUY,9350.39
2015-03-06,9.07,9.13,8.9,8.97,9.65,10.32,21.91,-0.30,BUY,8894.53
2015-03-17,9.0,9.1,8.94,8.98,9.34,9.91,25.70,-0.29,BUY,8904.44
2015-03-23,8.66,8.66,8.3,8.32,9.09,9.70,14.26,-0.33,BUY,8250.38
2015-03-24,8.35,8.53,8.25,8.3,9.03,9.65,14.04,-0.36,BUY,8230.56
2015-04-24,9.94,10.06,9.86,10.01,9.19,9.17,74.25,0.21,BUY,9925.17
2015-05-25,11.41,11.41,11.41,11.41,10.89,9.78,76.56,0.46,SELL,11312.57
2015-05-27,11.49,12.12,11.45,12.07,11.04,9.90,84.43,0.49,SELL,11312.57
2015-05-28,12.06,12.4,12.01,12.33,11.16,9.97,86.40,0.53,SELL,11312.57
2015-05-29,12.35,12.74,12.21,12.56,11.27,10.04,87.86,0.58,SELL,11312.57
2015-07-15,11.58,11.61,11.03,11.19,11.76,11.82,37.74,-0.15,SELL,11312.57
2015-07-29,10.57,10.74,10.26,10.29,11.17,11.76,25.95,-0.32,BUY,11312.57
2015-07-31,10.23,10.3,9.8,9.97,11.00,11.71,22.13,-0.39,BUY,10960.89
2015-08-03,9.95,9.99,9.46,9.51,10.90,11.67,17.97,-0.45,BUY,10455.35
2015-09-04,8.61,8.72,8.53,8.64,9.02,10.15,29.87,-0.37,BUY,9499.22
2015-09-07,8.64,8.64,8.64,8.64,8.98,10.09,29.87,-0.37,BUY,9499.22
2015-11-10,9.51,9.56,9.15,9.23,9.05,9.04,51.01,0.18,BUY,10147.63
2015-12-04,9.11,9.13,8.86,9.03,8.93,8.94,50.21,0.05,SELL,9927.83
2016-01-07,7.38,7.38,7.16,7.23,8.04,8.64,19.88,-0.33,BUY,9927.83
2016-01-08,7.23,7.26,7.02,7.09,7.97,8.60,18.20,-0.36,BUY,9735.61
2016-02-05,8.29,8.5,8.22,8.46,8.36,8.32,53.93,0.04,BUY,11616.62
2016-03-18,8.3,8.49,8.22,8.37,8.32,8.35,51.63,-0.03,SELL,11493.05
2016-04-13,8.66,8.82,8.51,8.8,8.35,8.35,65.22,0.10,BUY,11493.05
2016-05-12,9.31,9.8,9.22,9.79,8.81,8.53,71.51,0.19,SELL,12785.99
2016-05-13,9.72,9.84,9.66,9.78,8.85,8.56,71.20,0.24,SELL,12785.99
2016-05-16,9.88,10.37,9.82,10.03,8.90,8.59,74.16,0.29,SELL,12785.99
2016-06-15,11.49,11.64,11.34,11.38,10.81,9.68,70.50,0.55,SELL,12785.99
2016-06-30,12.43,13.06,12.37,12.98,11.80,10.43,76.54,0.60,SELL,12785.99
2016-07-01,13.02,13.85,13.02,13.57,11.93,10.53,80.65,0.67,SELL,12785.99
2016-07-04,13.57,13.57,13.57,13.57,12.04,10.63,80.65,0.71,SELL,12785.99
2016-07-19,14.51,14.51,14.28,14.32,13.45,11.82,75.17,0.81,SELL,12785.99
2016-07-25,15.02,15.37,14.8,14.92,14.01,12.24,77.75,0.80,SELL,12785.99
2016-09-08,14.2,17.07,13.7,16.84,15.29,14.71,70.29,0.26,SELL,12785.99
2016-11-07,15.39,15.73,15.03,15.39,16.29,16.30,40.37,-0.29,SELL,12785.99
2016-11-30,17.22,17.69,17.22,17.54,16.65,16.59,60.23,0.34,BUY,12785.99
2017-01-18,20.39,21.28,20.24,20.9,18.24,17.94,73.56,0.38,SELL,15232.07
2017-05-05,23.6,23.6,23.52,23.56,23.61,23.69,46.39,-0.07,SELL,15232.07
2017-05-18,23.52,23.56,23.51,23.53,23.56,23.76,45.95,-0.06,BUY,15232.07
2017-06-16,23.57,23.63,23.56,23.58,23.61,23.59,48.24,-0.01,BUY,15264.42
2020-09-16,245.0,319.0,231.11,253.93,35.23,28.28,99.96,18.38,SELL,164300.87
2020-09-17,230.76,241.5,215.24,227.54,45.42,32.35,88.99,30.45,SELL,164300.87
2020-09-18,235.0,249.0,218.59,240.0,56.23,36.68,89.57,40.56,SELL,164300.87
2020-10-06,244.18,247.99,239.0001,245.1,184.67,88.08,72.55,51.23,SELL,164300.87
2020-10-13,247.0,250.5,245.27,249.61,239.63,110.08,71.52,40.26,SELL,164300.87
2020-10-20,247.0,252.5,243.3,251.77,241.62,132.22,70.03,30.30,SELL,164300.87
2020-10-21,251.65,271.29,250.35,270.61,244.28,137.15,74.46,30.42,SELL,164300.87
2020-10-22,269.01,301.0,263.0,297.09,247.80,142.62,79.13,32.27,SELL,164300.87
2020-11-25,277.78,309.7699,277.3,303.02,257.43,250.72,71.49,11.90,SELL,164300.87
2020-11-27,310.0,334.62,309.73,328.79,263.22,254.00,77.09,17.34,SELL,164300.87
2020-12-04,335.4,395.8,334.0,387.7,280.49,264.29,76.25,26.37,SELL,164300.87
2021-01-15,306.82,308.67,290.65,291.3,302.59,303.73,45.50,-5.52,SELL,164300.87
2021-03-08,235.0,241.16,212.29,213.99,275.28,283.98,23.46,-15.11,BUY,164300.87
2021-05-06,210.0,211.83,192.41,199.84,228.94,231.61,29.52,-5.52,BUY,153447.82
2021-06-08,252.99,255.99,246.65,250.32,230.24,228.48,63.24,6.68,BUY,192165.98
2021-07-09,250.0,272.0,249.82,269.49,245.92,234.33,71.69,3.60,SELL,206869.37
2021-08-03,272.0,285.84,271.24,284.58,262.12,251.02,70.08,7.12,SELL,206869.37
2021-11-09,371.06,377.13,363.68,376.7,347.97,326.24,76.72,13.67,SELL,206869.37
2021-11-12,377.39,386.99,374.62,386.5,354.13,330.21,71.83,14.09,SELL,206869.37
2021-11-15,385.5,394.7183,383.67,393.7,356.92,331.89,74.00,15.44,SELL,206869.37
2021-11-16,395.0,403.65,392.85,401.89,360.02,333.68,76.24,16.97,SELL,206869.37
2021-12-17,322.79,337.72,318.48,332.33,351.20,354.12,43.83,-3.78,SELL,206869.37
2022-03-04,219.27,224.42,208.05,209.65,275.80,286.49,28.00,-14.35,BUY,206869.37
2022-03-07,215.26,219.835,192.405,193.0,270.79,283.31,25.02,-18.30,BUY,190452.47
2022-05-11,139.53,147.36,132.15,132.88,175.07,197.75,28.58,-17.49,BUY,131174.15
2022-07-12,157.0,159.8,144.1806,145.43,140.59,138.84,51.29,4.71,BUY,143561.00
2022-08-26,196.0,205.66,194.83,197.71,165.41,153.26,70.23,7.14,SELL,195161.36
2022-10-13,148.7,158.12,145.62,156.25,172.99,174.03,39.73,-3.93,SELL,195161.36
2022-11-07,133.46,134.083,126.3,129.1,160.89,171.67,29.48,-8.37,BUY,195161.36
2023-02-01,158.59,166.83,155.44,165.22,143.72,142.76,64.69,4.73,BUY,249738.68
2023-02-02,173.84,178.7,170.26,178.05,146.54,143.39,70.57,6.52,SELL,269124.81
2023-03-15,136.28,140.17,135.3,139.58,147.51,148.55,43.93,-4.49,SELL,269124.81
2023-04-26,142.78,149.2799,142.6,147.06,144.92,144.40,53.49,-0.27,BUY,269124.81
2023-05-10,165.81,173.27,165.2,172.04,148.56,143.97,71.69,4.97,SELL,314838.21
2023-08-08,157.23,160.72,154.17,156.33,174.19,174.80,37.25,-3.33,SELL,314838.21
2023-11-22,168.9,171.22,167.3,168.92,155.12,154.80,63.38,3.90,BUY,314838.21
2023-11-30,188.0,192.66,180.27,187.68,163.03,156.22,76.03,6.54,SELL,349788.09
2024-03-05,175.03,175.33,166.3201,167.75,217.67,205.71,28.50,-5.55,BUY,349788.09
2024-03-13,161.27,166.84,160.7,162.31,199.50,201.60,27.65,-14.10,SELL,338445.69
2024-04-03,155.15,155.3,152.53,153.02,160.11,192.39,29.67,-9.93,BUY,338445.69
2024-04-04,153.11,156.0,150.62,151.34,159.33,191.30,28.55,-9.87,BUY,334731.21
2024-05-17,163.72,164.42,161.13,161.86,157.77,157.08,54.09,1.03,BUY,357990.93
2024-05-31,140.27,142.1,133.59,136.18,157.13,155.79,27.56,-3.62,BUY,301212.45
2024-06-04,137.2,139.06,135.6,137.0,154.67,154.92,28.93,-5.17,SELL,303025.47
2024-08-05,107.93,115.71,107.93,112.63,130.35,133.52,26.54,-4.20,BUY,303025.47
2024-10-22,116.9,117.58,114.1301,115.5,116.61,116.61,46.49,1.15,BUY,310745.77
2024-11-21,161.26,174.6484,161.16,171.35,124.51,119.00,84.52,6.67,SELL,460982.27
2024-11-22,175.0,178.7,166.81,167.44,127.08,120.07,79.79,8.95,SELL,460982.27
2024-11-25,174.96,177.99,171.15,171.42,129.78,121.25,80.96,10.95,SELL,460982.27
2025-01-28,179.03,188.4299,177.05,188.02,166.34,164.35,73.79,5.01,SELL,460982.27
2025-03-13,149.95,151.3,146.14,149.83,170.70,172.27,35.30,-7.09,SELL,460982.27
2025-04-04,133.31,134.71,125.49,130.53,152.57,168.70,29.55,-6.82,BUY,460982.27
2025-05-09,175.0,176.3577,172.0,174.14,156.70,155.25,68.53,5.72,BUY,614969.18
2025-05-22,192.0,204.0,191.99,203.18,174.07,159.04,79.99,9.15,SELL,717509.42
2025-06-09,211.31,212.09,208.5,210.85,197.76,171.00,75.82,11.33,SELL,717509.42
2025-06-18,210.36,212.6999,209.47,212.08,207.48,180.65,70.59,8.05,SELL,717509.42
2025-06-19,212.08,212.08,212.08,212.08,207.93,181.87,70.59,7.76,SELL,717509.42
2025-06-20,213.35,215.99,210.85,211.99,208.53,183.22,70.37,7.43,SELL,717509.42
2025-06-23,209.63,214.88,207.36,213.71,209.21,184.59,72.19,7.23,SELL,717509.42
2025-06-24,219.49,224.61,219.25,223.14,210.05,186.17,79.62,7.74,SELL,717509.42
2025-06-25,223.19,225.6834,219.99,221.52,210.90,187.66,75.87,7.93,SELL,717509.42
2025-06-26,222.05,222.79,215.53,221.92,211.88,189.18,76.17,8.01,SELL,717509.42
2025-06-27,222.43,224.43,219.8202,222.61,212.73,190.77,76.70,8.04,SELL,717509.42
2025-06-30,224.4,225.51,222.61,223.77,213.41,192.50,77.61,8.07,SELL,717509.42
2025-08-07,215.0,215.39,200.8001,206.4,213.50,213.94,42.94,-1.06,SELL,717509.42
2025-08-28,222.0,249.99,218.09,241.0,200.56,210.72,73.91,-0.26,SELL,717509.42
2025-08-29,236.93,241.5,233.29,238.66,202.24,211.25,71.71,2.51,SELL,717509.42
