Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2012-04-19,9.4525,9.925,9.075,9.255,10.11,10.14,41.60,-0.24,SELL,10000.00
2012-05-17,7.12,7.1475,6.565,6.565,8.23,9.43,24.87,-0.65,BUY,10000.00
2012-05-18,6.695,6.7175,6.1625,6.2025,8.11,9.36,22.63,-0.72,BUY,9447.91
2012-06-01,6.06,6.0775,5.625,5.6325,6.96,8.54,28.41,-0.66,BUY,8579.80
2012-08-09,7.885,8.1175,7.875,8.0725,6.58,6.51,69.64,0.38,BUY,12295.92
2012-10-01,6.855,6.9775,6.635,6.6825,7.43,7.46,38.68,-0.22,SELL,10178.95
2012-12-13,6.9025,7.11,6.6675,6.75,6.21,6.15,60.91,0.19,BUY,10178.95
2013-02-14,9.065,9.4775,9.05,9.465,8.61,7.69,72.63,0.45,SELL,14270.46
2013-04-12,9.3725,9.5475,9.1375,9.46,9.20,9.21,53.78,0.03,SELL,14270.46
2013-05-03,10.6125,10.75,10.5125,10.55,9.35,9.31,63.10,0.29,BUY,14270.46
2013-08-20,11.0475,11.355,11.04,11.2425,12.09,12.12,39.87,-0.28,SELL,15206.72
2013-09-20,13.7875,14.05,13.53,13.59,12.35,12.30,63.30,0.54,BUY,15206.72
2014-05-01,20.8775,21.53,20.6375,20.745,21.09,21.14,47.47,-0.06,SELL,23206.01
2014-05-28,23.6225,23.6975,23.145,23.49,21.56,21.55,64.78,0.47,BUY,23206.01
2014-07-01,28.475,29.8225,28.475,29.435,27.23,23.99,75.49,1.26,SELL,29073.72
2014-07-02,29.6825,29.7875,29.3775,29.6575,27.46,24.13,76.37,1.32,SELL,29073.72
2014-07-03,29.725,30.37,29.725,30.255,27.70,24.28,78.59,1.40,SELL,29073.72
2014-07-04,30.255,30.255,30.255,30.255,27.92,24.48,78.59,1.45,SELL,29073.72
2014-08-06,23.955,25.0225,23.905,24.54,27.31,27.32,37.31,-0.93,SELL,29073.72
2014-09-05,29.4975,30.28,29.465,30.28,28.00,27.81,69.45,0.84,BUY,29073.72
2014-10-13,18.9025,19.54,17.6125,17.6125,26.80,27.38,23.27,-2.03,BUY,16912.92
2014-11-17,27.875,28.0575,27.14,27.8525,26.38,26.15,57.84,0.88,BUY,26743.32
