Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2025-02-20,51.14,51.4951,51.0774,51.4951,50.43,50.50,55.55,0.26,SELL,10000.00
2025-04-03,40.93,41.1699,39.4178,39.4178,44.24,47.28,25.95,-1.47,BUY,10000.00
2025-04-04,38.24,38.24,36.6151,36.6151,43.81,46.95,20.85,-1.90,BUY,9290.92
2025-04-07,35.02,37.3734,35.02,37.3014,43.52,46.64,24.75,-2.16,BUY,9464.55
2025-05-15,47.485,47.6164,47.28,47.3979,43.26,42.98,69.03,1.25,BUY,12018.97
2025-06-10,48.92,49.565,48.92,49.5587,47.44,43.98,72.30,1.16,SELL,12565.65
2025-06-11,49.66,49.66,49.48,49.6333,47.55,44.11,72.61,1.21,SELL,12565.65
2025-06-12,49.633,49.8781,49.633,49.8781,47.67,44.26,73.68,1.26,SELL,12565.65
2025-06-24,51.48,51.4906,51.48,51.4906,48.91,45.98,73.07,1.20,SELL,12565.65
2025-09-02,51.12,51.4854,50.91,51.4854,52.51,52.53,42.87,0.02,SELL,12565.65
