Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2025-01-10,25.06,25.18,25.0,25.17,26.39,26.41,38.03,-0.25,SELL,10000.00
2025-02-10,27.144,27.144,27.07,27.09,26.77,26.71,53.82,0.16,BUY,10000.00
2025-03-06,24.29,24.7888,23.99,24.146,26.42,26.45,33.30,-0.56,SELL,8913.66
2025-04-04,19.9,20.18,18.54,18.54,22.97,25.10,23.33,-1.02,BUY,8913.66
2025-04-07,17.22,19.47,16.63,18.37,22.73,24.92,22.91,-1.26,BUY,8832.06
2025-04-08,19.701,20.1,17.505,17.79,22.49,24.74,21.49,-1.49,BUY,8553.66
2025-05-15,24.88,25.23,24.88,25.23,22.67,22.45,67.14,0.77,BUY,12124.86
2025-06-03,128.5154,128.5154,128.5154,128.5154,29.94,24.95,98.32,8.86,SELL,61701.86
2025-06-04,128.73,128.77,128.5161,128.5161,35.21,27.03,98.32,15.20,SELL,61701.86
2025-06-05,128.54,128.54,126.62,127.02,40.40,29.10,96.76,19.87,SELL,61701.86
2025-06-20,128.22,128.241,127.58,127.84,97.96,52.93,88.12,25.54,SELL,61701.86
2025-06-30,136.59,137.63,136.54,137.63,130.68,66.57,90.23,20.37,SELL,61701.86
2025-07-01,137.05,137.65,137.05,137.2078,131.11,68.91,89.24,19.52,SELL,61701.86
2025-07-02,137.27,138.3725,137.27,138.3725,131.61,71.26,89.58,18.72,SELL,61701.86
2025-07-03,139.6,140.89,139.6,140.84,132.30,73.64,90.28,18.08,SELL,61701.86
2025-07-07,139.56,139.56,137.96,138.3259,132.73,75.96,84.05,17.17,SELL,61701.86
2025-07-08,138.31,138.59,138.22,138.26,133.15,78.28,83.89,16.26,SELL,61701.86
2025-07-09,139.6,139.7497,139.6,139.7497,133.59,80.63,84.62,15.48,SELL,61701.86
2025-07-10,139.28,140.845,139.28,140.26,134.07,82.98,84.87,14.73,SELL,61701.86
2025-07-11,139.649,140.0199,139.35,139.35,134.47,85.31,82.28,13.91,SELL,61701.86
2025-07-14,139.02,139.936,139.02,139.936,135.05,87.64,82.64,13.15,SELL,61701.86
2025-07-17,140.16,141.2795,140.16,141.2795,136.66,94.66,81.62,11.02,SELL,61701.86
2025-07-18,141.49,141.49,141.0222,141.0222,137.28,97.02,80.75,10.43,SELL,61701.86
2025-07-21,142.715,142.715,141.434,141.434,137.96,99.38,81.09,9.87,SELL,61701.86
2025-07-22,141.98,141.98,140.53,141.7749,138.54,101.72,81.39,9.35,SELL,61701.86
2025-07-23,142.23,143.6699,142.23,143.5827,139.07,104.10,82.94,8.98,SELL,61701.86
2025-07-24,144.4492,144.4492,143.95,144.0611,139.63,106.48,83.34,8.63,SELL,61701.86
2025-07-25,145.0019,145.0019,145.0019,145.0019,140.14,108.87,84.12,8.33,SELL,61701.86
2025-07-28,144.87,144.9072,144.78,144.9072,140.58,111.26,83.69,7.99,SELL,61701.86
2025-07-29,144.2962,144.33,144.02,144.0286,140.90,113.62,79.68,7.57,SELL,61701.86
2025-07-30,143.6809,143.6809,143.32,143.6809,141.23,115.99,78.08,7.12,SELL,61701.86
2025-08-13,147.87,147.9567,147.87,147.9567,143.14,137.58,70.39,4.13,SELL,61701.86
2025-08-14,147.36,148.2,147.36,148.2,143.48,137.97,70.73,4.16,SELL,61701.86
