Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2012-04-09,5.6,5.6,5.05,5.35,6.27,8.15,27.93,-0.70,BUY,10000.00
2012-04-10,5.5,5.65,5.0,5.4,6.18,8.06,29.02,-0.70,BUY,10093.45
2012-04-11,5.7,5.7,5.05,5.05,6.09,7.96,26.05,-0.72,BUY,9439.30
2012-04-12,5.05,5.15,4.6,4.65,5.97,7.85,23.14,-0.76,BUY,8691.70
2012-04-13,4.8,4.9,4.6,4.6,5.88,7.74,22.80,-0.79,BUY,8598.25
2012-04-16,4.5,4.8,4.5,4.5,5.79,7.63,22.09,-0.81,BUY,8411.35
2012-05-02,4.2,4.25,3.95,3.95,4.82,6.24,24.33,-0.61,BUY,7383.40
2012-05-03,3.8,4.2,3.75,3.85,4.73,6.11,23.37,-0.62,BUY,7196.50
2012-05-04,3.95,4.15,3.7,3.7,4.63,5.99,21.99,-0.64,BUY,6916.15
2012-05-07,3.9,4.05,3.2,3.5,4.54,5.88,20.26,-0.66,BUY,6542.35
2012-05-08,3.45,3.6,3.3,3.35,4.44,5.77,19.05,-0.68,BUY,6262.00
2012-06-15,3.45,3.5,2.65,2.65,3.34,3.87,28.04,-0.21,BUY,4953.70
2012-07-17,4.35,4.8,4.25,4.75,3.32,3.32,75.40,0.28,BUY,8878.60
2012-07-20,5.15,5.95,5.15,5.9,3.68,3.42,79.49,0.49,SELL,11027.95
2012-09-06,3.65,3.8,3.65,3.7,4.08,4.12,42.83,-0.12,SELL,11027.95
2012-11-26,2.65,2.7,2.5,2.65,2.94,3.25,29.50,-0.15,BUY,11027.95
2012-11-27,2.5,2.6,2.5,2.55,2.91,3.22,26.42,-0.16,BUY,10611.85
2012-11-28,2.55,2.65,2.5,2.5,2.88,3.20,25.01,-0.17,BUY,10403.80
2012-12-25,3.05,3.05,3.05,3.05,3.02,3.01,49.33,0.06,BUY,12692.35
2013-02-13,2.95,3.05,2.9,2.9,3.23,3.24,38.84,-0.08,SELL,12068.20
2013-03-15,2.85,2.85,2.25,2.25,2.75,3.06,28.66,-0.14,BUY,12068.20
2013-03-27,3.5,4.0,3.45,3.85,2.71,2.96,74.32,0.05,SELL,20649.00
2013-03-28,3.95,4.9,3.85,4.2,2.79,2.97,77.98,0.16,SELL,20649.00
