Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2012-03-13,7.0075,7.1888,6.9825,7.1863,6.86,6.56,70.76,0.12,SELL,10000.00
2012-03-15,7.195,7.2563,7.1513,7.2438,6.91,6.60,71.77,0.15,SELL,10000.00
2012-03-16,7.2788,7.2875,7.2413,7.2725,6.93,6.63,72.58,0.16,SELL,10000.00
2012-04-30,7.2088,7.22,7.145,7.1775,7.06,7.06,54.43,0.02,SELL,10000.00
2012-06-01,6.13,6.17,6.0088,6.0088,6.49,6.87,29.05,-0.18,BUY,10000.00
2012-07-05,6.9,6.9488,6.835,6.8863,6.61,6.60,59.39,0.10,BUY,11460.16
2012-09-07,7.5963,7.6363,7.5825,7.6338,7.35,7.08,70.89,0.10,SELL,12704.00
2012-09-13,7.6363,7.9175,7.6113,7.875,7.42,7.14,74.79,0.15,SELL,12704.00
2012-09-14,7.8988,8.0338,7.8875,7.9338,7.45,7.16,76.17,0.17,SELL,12704.00
2012-10-31,7.415,7.4325,7.2925,7.335,7.59,7.59,37.31,-0.08,SELL,12704.00
2012-12-17,7.455,7.5975,7.4513,7.5875,7.37,7.36,61.29,0.07,BUY,12704.00
2013-02-19,8.5988,8.7013,8.5975,8.6925,8.45,8.05,73.60,0.16,SELL,14553.77
2013-06-27,9.685,9.7675,9.6625,9.675,9.78,9.80,48.09,-0.10,SELL,14553.77
2013-07-22,10.6988,10.7375,10.6463,10.7088,10.08,10.03,70.07,0.23,BUY,14553.77
2013-09-03,10.1413,10.185,9.9575,10.035,10.28,10.31,41.58,-0.13,SELL,13638.08
2013-09-25,10.7775,10.8125,10.6838,10.71,10.53,10.52,55.00,0.15,BUY,13638.08
2014-02-05,11.4363,11.5375,11.295,11.4875,12.27,12.31,34.41,-0.24,SELL,14627.83
2014-03-04,13.0375,13.215,13.0375,13.1625,12.54,12.48,66.65,0.19,BUY,14627.83
2014-05-01,13.3063,13.3875,13.2325,13.3125,13.01,13.02,57.45,0.09,SELL,14794.48
