Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2012-09-12,11.82,11.95,11.53,11.76,12.14,12.16,45.57,0.01,SELL,10000.00
2012-09-20,10.7,10.9,9.64,9.77,11.74,12.11,25.09,-0.37,BUY,10000.00
2012-10-18,13.25,13.25,12.02,12.83,12.23,12.08,57.67,0.35,BUY,13130.38
2012-11-16,12.48,12.5,11.82,12.23,11.90,11.94,51.41,0.07,SELL,12516.58
2012-11-26,11.7,12.18,11.25,11.39,12.00,11.98,44.16,-0.05,BUY,12516.58
2012-11-28,11.0,11.18,10.72,10.96,11.97,11.98,40.95,-0.19,SELL,12044.44
2012-11-30,8.25,8.38,7.8,7.99,11.70,11.91,25.45,-0.57,BUY,12044.44
2012-12-03,8.1,8.23,7.75,8.0,11.50,11.85,25.55,-0.76,BUY,12059.51
2012-12-21,7.3,7.3,6.9,7.11,8.22,10.55,29.69,-1.07,BUY,10718.28
2013-02-07,7.84,7.88,7.62,7.62,7.51,7.45,49.34,0.04,BUY,11486.85
2013-03-18,5.7,5.7,4.97,5.0,7.29,7.41,14.39,-0.37,BUY,7538.51
2013-03-19,5.05,5.24,4.9,4.99,7.16,7.37,14.35,-0.49,BUY,7523.44
2013-04-25,4.5,4.87,4.45,4.51,5.26,6.21,24.30,-0.31,BUY,6800.08
2013-05-23,6.5,6.66,6.2,6.65,5.51,5.41,71.33,0.27,BUY,10025.06
2013-07-19,6.6,6.72,6.46,6.51,6.52,6.52,49.54,0.02,SELL,9814.08
2013-08-05,6.66,6.7,6.59,6.69,6.66,6.66,51.58,0.06,BUY,9814.08
2013-09-20,6.85,7.03,6.6,6.85,6.67,6.67,56.78,0.01,SELL,10048.64
2013-09-24,7.02,7.22,6.8,7.13,6.70,6.69,64.64,0.07,BUY,10048.64
2013-09-25,7.15,7.7,7.13,7.41,6.73,6.71,70.63,0.11,SELL,10443.16
2013-09-26,7.45,7.6,7.32,7.46,6.77,6.73,71.56,0.15,SELL,10443.16
2013-10-28,6.43,6.64,6.31,6.6,6.79,6.80,46.81,-0.15,SELL,10443.16
2013-11-21,7.0,7.08,6.89,7.07,6.90,6.89,54.12,0.06,BUY,10443.16
2013-12-24,8.82,9.05,8.12,8.38,7.07,6.91,73.50,0.11,SELL,12378.03
2013-12-25,8.38,8.38,8.38,8.38,7.13,6.95,73.50,0.20,SELL,12378.03
2014-01-21,8.48,9.4,8.42,9.24,8.16,7.51,74.17,0.36,SELL,12378.03
2014-01-22,9.22,9.75,9.16,9.64,8.22,7.55,77.66,0.43,SELL,12378.03
2014-01-23,9.58,9.61,9.25,9.56,8.30,7.60,75.47,0.48,SELL,12378.03
2014-02-27,9.91,10.35,9.89,10.26,9.47,8.85,70.58,0.31,SELL,12378.03
2014-03-28,8.56,8.76,8.41,8.55,9.37,9.44,37.04,-0.23,SELL,12378.03
2014-06-04,8.56,9.09,8.56,8.99,8.40,8.38,60.78,0.17,BUY,12378.03
2014-06-10,9.52,9.74,9.48,9.73,8.77,8.43,71.11,0.31,SELL,13396.27
2014-06-13,9.89,10.4,9.73,10.23,9.05,8.45,76.60,0.42,SELL,13396.27
2014-06-16,10.31,10.68,9.98,10.46,9.15,8.48,78.68,0.47,SELL,13396.27
2014-07-04,11.11,11.11,11.11,11.11,10.55,9.21,76.93,0.53,SELL,13396.27
2014-07-31,8.94,9.0,8.6,8.66,9.71,9.83,31.11,-0.36,SELL,13396.27
2014-11-24,8.89,9.08,8.8,8.93,8.27,8.22,60.98,0.22,BUY,13396.27
2015-01-07,8.23,8.54,8.13,8.41,8.52,8.55,47.52,-0.11,SELL,12616.27
2015-02-03,8.41,8.62,8.28,8.57,8.69,8.68,48.51,-0.01,BUY,12616.27
2015-02-16,8.8,8.8,8.8,8.8,8.61,8.62,54.64,0.01,SELL,12954.83
2015-02-20,8.61,8.74,8.5,8.67,8.62,8.61,50.77,0.02,BUY,12954.83
2015-03-11,10.54,11.4,10.4,11.0,9.22,8.85,78.33,0.41,SELL,16435.85
2015-03-12,11.22,11.45,10.99,11.41,9.36,8.91,80.88,0.52,SELL,16435.85
2015-03-13,11.41,11.83,11.23,11.77,9.51,8.98,82.80,0.63,SELL,16435.85
2015-04-01,12.1,13.04,11.84,12.76,11.17,9.72,72.85,0.70,SELL,16435.85
2015-04-24,13.97,14.07,13.66,13.76,12.96,11.25,71.02,0.73,SELL,16435.85
2015-06-05,15.23,15.6,15.16,15.43,13.68,13.24,76.77,0.49,SELL,16435.85
2015-06-08,15.49,15.93,15.39,15.7,13.80,13.32,78.52,0.58,SELL,16435.85
2015-06-09,15.82,16.17,15.43,16.02,13.94,13.40,80.41,0.66,SELL,16435.85
2015-06-12,16.58,18.33,16.38,18.1,14.46,13.65,87.01,0.96,SELL,16435.85
2015-06-15,18.03,18.55,17.57,18.37,14.73,13.78,87.70,1.11,SELL,16435.85
2015-07-15,19.16,19.83,19.08,19.2,17.29,15.57,70.05,0.84,SELL,16435.85
2015-07-16,19.33,20.62,19.3,20.0,17.43,15.71,73.86,0.94,SELL,16435.85
2015-08-26,16.12,16.57,15.68,16.48,18.16,18.21,41.87,-0.69,SELL,16435.85
2015-09-21,21.38,21.38,19.32,19.45,19.20,19.09,51.12,0.59,BUY,16435.85
2015-09-28,16.56,16.74,14.14,14.51,19.30,18.89,27.46,-0.35,BUY,12261.55
2015-09-29,14.59,15.18,13.32,13.62,19.04,18.76,25.06,-0.70,BUY,11509.50
2015-10-01,14.2,14.36,13.53,14.15,18.48,18.52,29.11,-1.10,SELL,11957.35
2015-11-18,16.7,16.8,16.15,16.51,16.91,16.84,47.91,0.08,BUY,11957.35
2015-12-09,14.8,14.9,14.3,14.59,15.86,16.00,38.71,-0.48,SELL,10567.27
2015-12-14,13.07,13.32,12.54,12.78,15.44,15.91,29.26,-0.79,BUY,10567.27
2016-01-08,12.91,12.91,11.61,11.69,13.52,15.18,27.65,-0.67,BUY,9666.93
2016-01-11,11.82,11.83,10.75,11.25,13.44,15.06,25.35,-0.77,BUY,9303.49
2016-02-26,13.31,13.57,13.0,13.25,12.51,12.50,56.08,0.35,BUY,10955.49
2016-10-24,21.05,21.2,20.63,20.65,22.90,22.96,35.12,-0.87,SELL,17067.89
2016-11-03,19.8,20.05,18.0,18.1,21.03,22.63,27.08,-1.05,BUY,17067.89
2016-12-05,21.65,22.3,21.5,22.2,22.06,21.93,52.21,0.11,BUY,20930.09
2017-03-06,29.05,30.37,28.45,29.75,26.24,25.82,70.61,0.66,SELL,28042.19
2017-05-31,36.55,38.6,35.85,37.6,33.80,32.47,73.27,1.10,SELL,28042.19
2017-06-01,38.4,39.2,37.85,38.75,34.13,32.68,76.54,1.33,SELL,28042.19
2017-06-02,39.2,40.2,38.7,40.05,34.53,32.88,79.58,1.59,SELL,28042.19
2017-06-22,42.6,43.65,42.6,43.65,39.21,35.43,75.48,1.94,SELL,28042.19
2017-06-23,43.85,44.95,43.4,44.15,39.63,35.69,76.59,2.10,SELL,28042.19
2017-08-11,40.7,41.75,40.0,41.4,41.73,41.82,48.87,-0.22,SELL,28042.19
2017-08-28,44.25,44.85,43.65,44.75,42.94,42.92,56.42,0.80,BUY,28042.19
2017-09-20,38.7,38.96,36.5,36.75,45.93,43.92,28.54,-0.18,BUY,23034.19
2017-10-03,41.0,41.2,39.9,41.1,43.28,43.28,45.62,-1.41,SELL,25757.29
2018-01-03,40.75,41.95,40.5,41.7,39.08,38.87,64.49,0.52,BUY,25757.29
2018-02-15,39.6,39.7,38.65,39.15,40.36,40.51,46.92,-0.89,SELL,24183.94
2018-03-19,44.55,44.7,43.225,44.6,41.41,41.28,63.29,1.32,BUY,24183.94
2018-05-11,50.7,57.95,50.7,57.05,47.57,45.79,79.40,1.31,SELL,30931.84
2018-05-14,57.45,57.69,54.9,57.15,48.16,46.11,79.52,1.90,SELL,30931.84
2018-05-15,56.4,58.5,56.05,58.1,48.75,46.44,80.69,2.42,SELL,30931.84
2018-07-17,52.85,53.75,52.2,53.55,55.01,55.21,47.82,-0.67,SELL,30931.84
2018-08-10,48.0,49.05,45.6,46.15,52.84,54.15,26.83,-1.40,BUY,30931.84
2018-08-13,46.0,46.34,43.3,43.5,52.38,53.86,22.52,-1.90,BUY,29156.34
2018-08-14,43.4,44.0,41.8,42.7,51.83,53.61,21.41,-2.34,BUY,28620.34
2018-10-01,50.78,51.38,48.94,49.09,48.16,48.05,54.03,0.69,BUY,32901.64
2018-11-02,47.6,48.4,46.17,46.51,47.37,47.44,44.63,-0.25,SELL,31173.04
2018-11-05,46.49,47.16,41.31,41.7,47.10,47.38,29.77,-0.68,BUY,31173.04
2018-11-06,41.77,42.09,39.67,41.65,46.83,47.31,29.66,-1.01,BUY,31135.69
2019-02-05,36.89,39.16,36.63,38.19,37.15,36.91,57.30,0.32,BUY,28551.07
2019-03-28,34.0,34.39,32.9,34.31,37.44,37.65,34.08,-0.92,SELL,25652.71
2019-07-19,32.27,32.61,31.855,32.02,32.13,32.00,49.00,-0.02,BUY,25652.71
2019-08-13,28.12,29.47,28.12,28.79,31.51,31.60,35.57,-0.89,SELL,23065.48
2019-11-06,21.95,22.0,19.35,19.93,26.66,27.20,26.17,-0.25,BUY,23065.48
2020-01-07,23.68,23.72,23.24,23.36,23.34,23.25,49.26,0.12,BUY,27033.99
2020-02-20,24.23,24.23,23.82,23.93,23.69,23.73,51.64,0.06,SELL,27693.48
2020-02-26,20.42,20.46,17.79,19.52,23.48,23.72,22.00,-0.35,BUY,27693.48
2020-02-27,19.36,19.37,17.98,18.0,23.21,23.61,18.09,-0.73,BUY,25538.12
2020-02-28,17.75,18.19,17.37,17.99,22.97,23.51,18.07,-1.02,BUY,25523.94
2020-04-27,19.07,19.78,19.07,19.58,18.46,18.32,57.56,0.27,BUY,27778.56
2020-04-29,20.22,23.71,20.01,23.57,18.84,18.22,72.48,0.67,SELL,33436.38
2020-04-30,23.37,23.94,22.94,23.4,19.16,18.21,71.32,0.93,SELL,33436.38
2020-07-07,23.42,23.61,22.95,23.06,23.55,23.64,45.51,0.02,SELL,33436.38
2020-07-10,23.85,24.44,23.27,24.25,23.69,23.66,56.45,0.08,BUY,33436.38
2020-07-14,23.81,24.06,23.34,23.9,23.69,23.73,52.81,0.09,SELL,32954.08
2020-10-27,19.73,19.73,18.76,18.84,20.51,21.19,29.78,-0.51,BUY,32954.08
2020-10-28,18.51,18.61,17.68,17.7,20.36,21.08,23.52,-0.65,BUY,30960.22
2020-11-09,24.79,25.2,23.48,24.95,20.28,20.87,73.82,0.48,SELL,43640.47
2020-11-20,20.92,21.2,20.665,20.78,20.94,20.93,47.69,0.30,BUY,43640.47
2020-12-23,26.31,27.5535,25.19,25.81,21.99,21.25,76.35,0.50,SELL,54203.47
2020-12-24,25.99,26.184,25.03,25.66,22.21,21.36,74.80,0.72,SELL,54203.47
2020-12-25,25.66,25.66,25.66,25.66,22.40,21.46,74.80,0.88,SELL,54203.47
2021-03-09,25.81,26.56,25.51,25.55,28.22,28.44,38.47,-1.08,SELL,54203.47
2021-04-16,31.99,32.0,31.09,31.7,28.04,27.95,67.06,1.16,BUY,54203.47
2021-06-11,31.83,31.92,30.67,31.2,30.29,30.32,58.88,0.20,SELL,53348.97
2021-07-15,26.62,26.86,26.03,26.41,30.31,30.39,24.22,-1.05,SELL,53348.97
2021-08-10,25.6,25.64,24.58,24.65,26.83,29.24,28.34,-0.93,BUY,53348.97
2021-08-11,24.772,24.772,24.225,24.53,26.72,29.14,27.83,-1.02,BUY,53089.29
2021-09-16,27.03,27.36,26.6,27.19,26.60,26.48,55.45,0.22,BUY,58845.53
2021-10-14,30.45,31.33,30.16,31.07,27.59,26.63,73.34,0.72,SELL,67241.85
2021-10-15,31.44,32.32,31.04,31.66,27.80,26.73,75.33,0.93,SELL,67241.85
2021-11-08,32.22,33.61,32.22,33.56,30.45,28.47,74.19,1.01,SELL,67241.85
2021-11-09,33.52,34.25,32.989,33.88,30.64,28.60,75.22,1.18,SELL,67241.85
2021-12-15,28.13,28.7699,27.77,28.64,30.69,30.76,38.73,-0.70,SELL,67241.85
2022-02-03,31.14,31.315,30.01,30.09,29.93,29.88,50.25,0.22,BUY,67241.85
2022-04-07,33.82,34.45,33.7108,34.25,31.86,31.35,70.38,0.63,SELL,76535.29
2022-04-27,28.42,28.73,28.07,28.17,31.11,31.22,31.36,-0.82,SELL,76535.29
2022-05-11,25.66,26.58,24.95,25.33,28.58,30.43,25.40,-1.28,BUY,76535.29
2022-06-30,28.1,29.03,27.82,28.92,27.80,27.76,58.39,0.20,BUY,87380.68
2022-08-19,33.95,35.55,33.64,35.51,32.27,30.15,73.54,1.15,SELL,107289.07
2022-10-11,31.43,31.82,30.31,31.31,33.57,33.69,36.36,-0.35,SELL,107289.07
2022-11-09,35.32,35.32,31.92,32.68,33.85,33.81,41.86,0.17,BUY,107289.07
2023-03-03,39.8,40.12,39.13,39.8,38.97,39.10,55.56,-0.10,SELL,130664.03
2023-03-10,36.25,36.28,34.62,34.97,38.38,39.15,29.28,-0.64,BUY,130664.03
2023-03-13,34.74,35.81,34.44,34.99,38.19,39.14,29.45,-0.82,BUY,130738.75
2023-05-02,36.73,37.42,36.715,37.28,36.99,36.90,52.39,0.11,BUY,139294.19
2023-05-19,35.45,35.575,34.94,35.29,36.27,36.30,43.41,-0.50,SELL,131859.55
2023-06-26,32.2,32.32,29.98,30.39,33.65,35.02,24.69,-0.70,BUY,131859.55
2023-06-27,30.54,30.56,29.64,30.17,33.50,34.90,23.92,-0.88,BUY,130905.19
2023-08-21,30.84,31.64,30.65,31.39,31.25,31.25,51.02,0.01,BUY,136197.55
2023-09-19,28.32,28.57,28.0908,28.44,30.81,30.88,35.50,-0.67,SELL,123400.45
2023-10-12,27.0,27.0,25.61,25.84,27.75,29.91,28.62,-0.91,BUY,123400.45
2023-10-13,25.98,25.98,24.33,24.84,27.53,29.77,24.36,-1.04,BUY,118625.45
2023-10-19,25.08,25.19,23.57,23.78,26.97,29.23,26.39,-1.21,BUY,113563.95
2023-11-29,27.1,27.565,26.91,26.94,26.34,26.21,53.56,0.45,BUY,128652.95
2024-02-23,27.96,29.19,27.81,29.06,28.07,28.08,57.22,0.10,SELL,138775.95
2024-02-28,28.58,32.3,26.2733,31.08,28.32,28.27,67.52,0.53,BUY,138775.95
2024-03-13,32.68,34.83,32.68,34.66,30.19,28.86,74.25,1.24,SELL,154760.65
2024-04-25,30.03,30.22,29.17,29.31,31.23,31.35,39.24,-0.74,SELL,154760.65
2024-07-22,30.28,30.83,29.99,30.0,27.58,27.57,71.31,0.66,BUY,154760.65
2024-08-13,32.5,33.88,32.44,33.65,30.32,28.30,72.40,1.05,SELL,173587.35
2024-08-29,34.9,35.1,34.63,35.0,33.02,30.16,70.05,1.43,SELL,173587.35
2024-09-30,30.82,31.48,30.82,31.18,32.10,32.19,43.94,-0.55,SELL,173587.35
2024-10-28,34.32,34.68,34.0,34.16,33.10,33.03,61.83,0.51,BUY,173587.35
2024-11-06,35.88,38.21,35.33,37.75,34.07,33.07,76.85,0.80,SELL,191828.14
2024-11-12,36.84,37.99,36.84,37.83,34.87,33.23,70.73,1.10,SELL,191828.14
2025-02-26,33.59,34.1,30.37,31.91,37.13,37.15,30.45,-1.34,SELL,191828.14
2025-05-19,33.27,33.55,32.86,33.05,32.08,31.98,56.75,0.18,BUY,191828.14
2025-07-07,31.78,32.12,31.35,31.45,32.18,32.24,42.81,-0.20,SELL,182541.74
2025-07-23,32.85,33.37,32.705,32.97,32.46,32.46,52.87,0.23,BUY,182541.74
2025-08-04,35.58,37.1,35.51,37.05,33.57,32.74,76.04,0.77,SELL,205128.62
2025-08-05,36.83,37.875,36.46,37.53,33.84,32.85,77.61,0.97,SELL,205128.62
2025-08-06,39.15,43.615,38.26,42.44,34.33,33.05,87.00,1.51,SELL,205128.62
2025-08-07,42.41,42.41,40.43,41.46,34.74,33.23,79.81,1.84,SELL,205128.62
