Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2014-12-03,71.6,73.2,70.2,71.6,75.78,75.86,36.95,-0.86,SELL,10000.00
2014-12-15,76.6,79.8,76.4,76.8,75.19,75.18,54.14,-0.49,BUY,10000.00
2014-12-17,76.0,77.6,76.0,76.0,75.13,75.20,51.94,-0.25,SELL,9896.00
2015-01-08,73.8,75.0,73.6,73.8,75.78,75.77,42.93,-0.21,BUY,9896.00
2015-01-13,72.6,72.8,69.2,70.0,75.32,75.36,31.95,-0.78,SELL,9386.80
2015-01-14,69.2,70.8,68.2,68.6,74.95,75.20,28.94,-1.16,BUY,9386.80
2015-01-15,69.2,69.8,67.8,68.0,74.47,75.01,27.73,-1.49,BUY,9305.20
2015-01-20,69.8,70.0,64.8,65.2,73.22,74.50,26.86,-2.03,BUY,8924.40
2015-04-09,70.8,70.8,67.2,69.6,65.16,64.81,60.64,1.56,BUY,9522.80
2015-08-05,72.4,74.0,72.4,73.6,74.33,74.34,47.15,-0.11,SELL,10066.80
2015-08-24,63.6,66.4,62.2,65.6,72.23,73.56,27.13,-1.16,BUY,10066.80
2015-08-25,69.6,69.6,61.4,65.4,71.78,73.37,26.76,-1.53,BUY,10036.20
2015-09-29,65.0,65.0,57.6,57.6,70.26,70.91,24.37,-1.44,BUY,8842.80
2015-12-30,67.2,67.2,64.8,65.0,64.44,64.37,51.26,0.44,BUY,9975.00
2016-01-07,63.8,63.8,59.8,61.0,64.42,64.43,34.89,-0.25,SELL,9363.00
2016-01-13,59.6,59.6,54.4,56.0,63.51,64.00,24.65,-1.42,BUY,9363.00
2016-01-14,58.4,58.4,53.0,54.4,63.05,63.79,22.09,-1.88,BUY,9095.80
2016-02-08,51.4,52.2,48.6,48.6,53.86,59.98,25.32,-2.50,BUY,8127.20
2016-02-09,48.6,49.8,46.4,47.6,53.26,59.64,23.67,-2.74,BUY,7960.20
2016-02-10,48.6,48.8,45.6,46.6,52.79,59.28,22.11,-2.99,BUY,7793.20
2016-02-11,45.2,47.6,45.0,47.0,52.42,58.93,24.26,-3.11,BUY,7860.00
2016-02-19,46.0,47.8,46.0,46.8,50.23,56.96,29.85,-2.89,BUY,7826.60
2016-03-03,44.2,45.0,42.6,42.6,46.73,53.59,26.71,-2.54,BUY,7125.20
2016-03-04,44.4,44.4,41.2,41.2,46.16,53.08,24.04,-2.72,BUY,6891.40
2016-03-07,41.2,42.0,40.0,40.0,45.73,52.55,22.00,-2.92,BUY,6691.00
2016-04-11,46.0,51.0,45.8,50.4,42.50,44.64,72.02,0.71,SELL,8427.80
2016-04-12,50.6,52.2,50.2,52.0,43.14,44.61,74.76,1.25,SELL,8427.80
2016-04-13,53.4,56.0,52.8,55.4,43.88,44.66,79.38,1.93,SELL,8427.80
2016-04-15,55.6,55.6,53.6,54.2,45.22,44.71,74.03,2.68,BUY,8427.80
2016-06-09,52.4,53.6,51.4,52.0,52.04,52.17,50.27,-0.05,SELL,8086.80
2016-07-07,54.0,54.8,53.0,54.2,52.48,52.46,56.56,0.41,BUY,8086.80
2016-08-03,52.8,52.8,51.6,52.0,51.89,51.95,51.44,-0.50,SELL,7759.00
2016-12-13,39.2,42.0,39.0,39.8,35.96,35.36,64.38,1.60,BUY,7759.00
2017-01-03,40.0,46.2,39.6,46.2,40.32,35.67,74.18,1.26,SELL,9000.60
2017-01-04,46.0,48.6,44.0,46.4,40.69,35.88,74.54,1.63,SELL,9000.60
2017-01-05,46.0,47.8,44.4,45.6,40.99,36.10,70.34,1.83,SELL,9000.60
2017-01-31,8.4,11.2,8.2,9.2,42.25,40.45,23.64,-2.55,BUY,9000.60
2017-02-01,10.2,12.0,9.6,11.4,40.50,39.98,26.40,-4.44,BUY,11152.20
2017-02-02,12.2,18.8,12.0,16.0,39.02,39.60,31.95,-5.51,SELL,15651.00
2017-03-20,12.2,13.0,11.0,11.2,14.12,22.81,29.26,-2.22,BUY,15651.00
2017-03-22,11.4,11.6,9.4,10.0,13.63,21.53,27.00,-2.32,BUY,13974.60
2017-03-23,10.4,10.6,9.6,10.2,13.40,20.92,28.26,-2.35,BUY,14254.00
