Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2019-02-20,40.67,41.29,40.44,41.29,38.01,34.02,77.46,1.79,SELL,10000.00
2019-04-03,42.7,43.725,42.29,43.6,40.09,39.44,71.40,0.68,SELL,10000.00
2019-04-04,43.47,43.75,42.99,43.63,40.33,39.59,71.51,0.85,SELL,10000.00
2019-04-05,43.89,44.395,43.64,44.15,40.60,39.74,73.34,1.02,SELL,10000.00
2019-04-24,46.71,49.45,45.96,47.99,43.74,41.62,79.05,1.42,SELL,10000.00
2019-04-25,48.46,48.88,47.53,48.15,44.19,41.79,79.45,1.58,SELL,10000.00
2019-04-26,47.88,49.53,47.38,48.76,44.64,41.97,80.96,1.74,SELL,10000.00
2019-04-29,48.77,49.27,48.51,49.1,45.00,42.16,81.76,1.88,SELL,10000.00
2019-06-03,42.45,42.9,41.89,42.3,44.62,44.74,36.37,-1.06,SELL,10000.00
2019-07-02,48.57,48.68,47.395,47.55,45.98,45.90,58.75,0.76,BUY,10000.00
2019-07-24,53.3,58.61,53.125,57.94,47.24,45.58,81.31,1.14,SELL,12181.90
2019-07-25,57.14,57.7,55.75,55.9,47.70,45.76,72.78,1.67,SELL,12181.90
2019-12-16,67.72,69.12,67.41,68.32,63.88,62.92,70.30,1.00,SELL,12181.90
2020-01-22,72.53,73.79,72.46,73.59,69.31,66.86,71.79,1.31,SELL,12181.90
2020-01-23,79.05,81.57,74.95,76.21,69.64,67.07,77.32,1.68,SELL,12181.90
2020-02-24,63.185,64.51,62.675,63.88,69.42,69.49,35.13,-0.81,SELL,12181.90
2020-02-27,59.53,60.2,57.58,58.41,68.00,69.01,26.23,-2.17,BUY,12181.90
2020-03-12,50.8,53.06,49.6,49.83,61.67,66.78,29.65,-3.76,BUY,10397.26
2020-04-22,66.28,66.2835,57.49,62.78,59.15,58.68,56.65,1.71,BUY,13090.86
2020-06-05,75.91,78.03,75.2,76.76,64.89,62.25,71.02,3.17,SELL,15998.70
2020-09-07,78.6,78.6,78.6,78.6,87.19,87.34,33.75,-1.66,SELL,15998.70
2020-09-08,76.15,78.16,75.2,75.53,86.65,87.16,29.77,-2.25,BUY,15998.70
2020-10-21,88.0,93.17,88.0,92.07,83.37,83.02,73.25,2.29,BUY,19488.64
2020-11-05,97.38,100.345,97.04,99.32,89.22,83.27,73.15,2.92,SELL,21018.39
2020-11-06,98.83,100.74,98.0,100.26,89.93,83.56,74.14,3.44,SELL,21018.39
2020-11-09,104.94,105.62,101.28,101.53,90.68,83.89,75.45,3.91,SELL,21018.39
2020-12-01,111.26,115.94,111.2,115.12,104.93,92.86,79.18,5.43,SELL,21018.39
2021-01-07,124.37,130.74,124.26,129.91,119.70,111.39,77.49,3.43,SELL,21018.39
2021-01-08,132.86,133.48,130.44,132.15,120.54,112.27,79.53,4.05,SELL,21018.39
2021-01-11,131.99,136.45,130.52,135.7,121.47,113.19,82.27,4.77,SELL,21018.39
2021-01-12,136.38,139.525,136.05,137.09,122.30,114.14,83.22,5.39,SELL,21018.39
2021-03-10,115.02,117.25,108.15,108.91,128.46,129.05,37.82,-5.28,SELL,21018.39
2021-04-19,128.59,129.16,124.78,126.32,125.17,125.06,50.79,2.40,BUY,21018.39
2021-05-24,126.35,128.31,126.3,127.69,124.19,124.23,54.43,-0.58,SELL,21245.81
2021-06-11,128.67,128.68,126.46,127.98,127.65,127.61,50.98,0.72,BUY,21245.81
2021-07-21,124.35,128.52,124.17,128.46,127.08,127.16,53.91,-1.16,SELL,21325.49
2021-09-29,112.29,112.65,109.09,109.17,119.16,120.77,29.80,-1.89,BUY,21325.49
2021-10-28,130.0,138.3494,128.39,137.01,114.12,116.88,77.46,2.39,SELL,26754.29
2021-10-29,135.21,138.74,134.97,138.24,115.55,117.37,78.19,3.73,SELL,26754.29
2021-11-02,139.35,139.8,137.38,139.35,118.66,118.28,78.41,5.64,BUY,26754.29
2021-11-23,147.73,150.51,145.61,149.1,143.94,126.10,71.64,7.42,SELL,28616.54
2021-11-29,149.52,154.87,146.51,154.45,147.16,128.48,70.74,6.35,SELL,28616.54
2021-12-07,154.28,159.88,154.28,159.11,150.20,132.80,71.94,5.37,SELL,28616.54
2021-12-08,159.11,160.65,157.11,160.41,151.12,133.83,73.11,5.66,SELL,28616.54
2022-01-28,107.9,112.2,105.5001,112.12,151.36,154.81,25.39,-8.79,BUY,28616.54
2022-04-04,116.93,120.2,116.93,118.94,117.03,116.91,50.18,0.56,BUY,30355.64
2022-04-19,108.62,112.97,107.31,112.61,114.36,114.67,48.87,-2.58,SELL,28741.49
2022-08-04,101.64,102.7183,100.98,101.71,97.17,96.74,59.95,1.76,BUY,28741.49
2022-09-02,84.43,85.27,82.25,83.04,94.35,94.84,31.81,-3.67,SELL,23476.55
2022-09-26,79.2,80.44,77.15,77.21,83.06,92.31,28.79,-3.59,BUY,23476.55
2023-01-04,87.24,87.88,85.75,87.42,88.99,89.24,47.68,-0.99,SELL,26580.39
2023-01-23,98.14,104.465,97.9,103.5,92.28,91.84,71.10,2.60,BUY,26580.39
2023-02-02,109.9,112.06,109.41,111.54,99.45,93.63,74.69,4.22,SELL,28638.63
2023-03-20,105.58,106.62,104.88,106.5,102.56,102.59,57.78,0.72,SELL,28638.63
2023-03-24,106.58,107.0,104.44,106.34,103.51,103.48,55.53,1.04,BUY,28638.63
2023-04-17,96.71,98.37,95.78,98.11,103.80,104.00,36.85,-1.02,SELL,26424.76
2023-04-27,90.0,91.26,88.54,90.37,99.90,102.20,26.04,-2.67,BUY,26424.76
2023-06-07,104.13,105.8,103.18,104.22,98.54,98.00,61.78,2.04,BUY,30468.96
