Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-01-11,80.8,81.785,80.0,81.6,78.97,78.91,61.41,0.74,BUY,10000.00
2024-01-23,95.44,95.92,86.75,89.63,79.65,78.18,73.01,0.65,SELL,10979.66
2024-03-15,80.31,80.86,79.44,79.79,82.75,83.02,38.72,-1.12,SELL,10979.66
2024-04-05,92.22,93.01,91.375,92.51,85.25,85.06,71.42,2.21,BUY,10979.66
2024-05-10,98.72,101.4,98.52,100.0,96.85,90.66,71.00,1.97,SELL,11863.48
2024-05-14,99.69,102.49,99.44,102.24,97.18,91.41,74.17,2.17,SELL,11863.48
2024-05-15,104.51,105.46,102.755,105.08,97.62,91.90,78.98,2.53,SELL,11863.48
2024-05-16,105.44,105.7,104.095,104.7,98.06,92.41,76.92,2.75,SELL,11863.48
2024-05-20,105.19,107.8,104.835,107.6,99.16,93.43,81.20,3.24,SELL,11863.48
2024-07-03,110.58,112.934,110.58,112.52,107.40,104.18,73.45,1.43,SELL,11863.48
2024-08-05,104.02,107.585,102.46,107.5,107.78,107.80,49.09,0.26,SELL,11863.48
2024-08-08,112.38,120.08,112.38,116.92,108.02,108.07,72.97,1.06,SELL,11863.48
2024-08-12,118.78,120.06,117.215,120.0,109.02,108.49,77.08,2.22,SELL,11863.48
2024-09-19,123.8,125.49,123.07,124.5,117.46,113.70,73.44,1.68,SELL,11863.48
2024-11-11,120.94,120.94,118.52,119.04,121.18,121.39,45.88,-1.19,SELL,11863.48
2024-11-20,131.67,134.11,130.165,132.79,119.46,122.39,70.32,1.23,SELL,11863.48
2024-11-21,133.17,137.25,132.71,136.89,120.56,122.83,74.26,2.23,SELL,11863.48
2024-11-27,138.2,139.45,137.3,138.21,124.76,124.27,73.94,4.31,BUY,11863.48
2024-12-17,147.05,148.57,145.4,147.25,139.33,128.83,71.01,5.21,SELL,12631.88
2025-01-24,151.97,154.25,151.06,153.08,143.81,138.98,70.19,2.38,SELL,12631.88
2025-01-27,151.76,154.09,150.29,153.45,144.23,139.67,70.62,2.83,SELL,12631.88
2025-01-28,155.0,159.53,154.14,158.44,144.92,140.51,75.77,3.55,SELL,12631.88
2025-02-10,168.0,174.6,166.31,173.11,153.20,146.38,82.51,6.32,SELL,12631.88
2025-03-17,140.43,147.03,140.43,145.63,151.83,153.10,43.90,-4.12,SELL,12631.88
2025-05-02,164.23,166.915,163.59,166.43,151.16,150.63,66.61,3.80,BUY,12631.88
2025-08-05,166.46,167.155,162.585,163.45,168.99,169.26,36.85,-1.41,SELL,12408.38
2025-08-06,167.385,167.39,154.05,155.61,168.18,169.19,26.76,-2.25,BUY,12408.38
2025-08-13,188.0,191.51,185.855,191.28,169.38,170.90,71.55,2.23,SELL,15226.31
2025-08-18,188.12,188.415,184.28,185.56,172.21,172.19,63.00,4.55,BUY,15226.31
