Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2022-10-04,44.59,46.22,43.42,44.81,39.74,39.68,63.76,0.91,BUY,10000.00
2022-11-08,55.92,57.8899,55.5745,56.64,50.75,45.27,70.88,2.10,SELL,12638.09
2022-11-09,56.87,60.8,55.3089,60.7,51.23,45.65,76.35,2.68,SELL,12638.09
2022-12-16,65.18,69.22,64.7028,69.15,60.09,55.51,71.10,3.10,SELL,12638.09
2022-12-20,71.14,74.9699,69.96,74.96,61.00,56.37,77.21,4.06,SELL,12638.09
2022-12-22,76.01,83.39,75.6,81.81,63.07,57.49,82.32,5.39,SELL,12638.09
2023-02-02,48.88,50.16,46.25,48.62,68.22,69.43,26.40,-6.35,SELL,12638.09
2023-02-17,45.22,45.789,43.38,43.43,50.63,66.75,29.97,-6.93,BUY,12638.09
2023-04-07,47.47,47.47,47.47,47.47,46.96,46.95,50.59,-0.71,BUY,13809.69
2023-04-10,48.85,49.8,47.52,47.68,46.78,46.86,51.25,-0.56,SELL,13870.59
2023-04-12,46.1,48.75,45.9,48.72,46.67,46.62,54.53,-0.29,BUY,13870.59
2023-04-14,47.79,48.2395,47.17,47.47,46.51,46.53,50.25,-0.20,SELL,13515.59
2023-04-18,46.97,47.8693,46.85,47.67,46.57,46.52,51.07,-0.14,BUY,13515.59
2023-05-31,43.07,44.0499,42.18,42.19,48.48,48.84,28.66,-1.91,SELL,11964.75
2023-06-23,32.86,33.64,32.46,33.17,36.43,45.01,29.44,-3.77,BUY,11964.75
2023-07-03,30.57,30.73,29.61,30.16,33.78,42.91,27.19,-2.90,BUY,10881.15
2023-07-05,30.28,30.39,29.74,29.88,33.33,42.42,26.63,-2.94,BUY,10780.35
2023-07-17,29.47,29.8,28.89,29.07,31.70,38.72,27.77,-2.28,BUY,10488.75
2023-08-15,34.99,35.87,34.72,35.81,32.63,32.62,64.98,0.57,BUY,12915.15
2023-08-17,36.87,38.081,36.82,38.01,33.33,32.58,72.19,1.03,SELL,13707.15
2023-09-18,30.02,30.82,30.0074,30.64,32.59,32.60,42.37,-1.06,SELL,13707.15
2023-10-20,37.0,38.08,36.7,37.86,32.60,32.98,73.35,0.70,SELL,13707.15
2023-10-23,38.19,39.5099,36.94,37.79,32.85,33.05,72.89,0.99,SELL,13707.15
2023-10-25,37.16,37.78,36.43,37.76,33.24,33.13,70.03,1.32,BUY,13707.15
2023-12-01,33.89,34.05,32.915,33.12,34.30,34.34,44.49,-0.70,SELL,12022.83
2023-12-26,27.33,27.49,26.94,27.08,32.04,34.28,27.08,-1.12,BUY,12022.83
2023-12-27,26.9,26.99,26.4,26.59,31.77,34.17,25.97,-1.40,BUY,11805.76
2024-01-25,36.43,37.94,35.89,37.52,30.75,31.84,77.55,0.92,SELL,16647.75
2024-01-30,35.04,35.92,34.8401,35.72,32.09,31.99,65.16,1.36,BUY,16647.75
2024-04-19,44.82,45.635,44.25,45.39,40.05,38.06,70.41,1.53,SELL,21153.97
2024-04-22,47.37,47.92,46.21,46.92,40.42,38.27,73.49,1.84,SELL,21153.97
2024-05-14,36.63,36.71,35.55,35.97,38.67,38.97,43.71,-0.88,SELL,21153.97
2024-07-01,31.48,31.49,29.52,30.06,34.65,36.18,28.50,-1.27,BUY,21153.97
2024-07-02,28.79,28.9,27.01,27.01,34.20,35.81,22.07,-1.67,BUY,19009.82
2024-07-03,26.63,26.64,25.05,25.24,33.64,35.38,19.35,-2.11,BUY,17765.51
2024-08-14,32.36,35.04,32.08,34.25,31.14,31.05,55.16,1.58,BUY,24099.54
2024-09-12,25.51,25.74,24.11,24.48,28.41,28.74,40.82,-1.36,SELL,17231.23
2024-10-25,15.56,15.6,14.0,14.02,22.13,24.42,29.29,-0.96,BUY,17231.23
2024-11-27,43.97,48.04,43.88,46.38,11.76,17.27,84.23,0.08,SELL,57001.67
2024-11-29,45.51,45.87,43.02,43.05,13.11,17.70,78.63,2.37,SELL,57001.67
2024-12-09,31.92,35.25,30.7421,33.25,20.37,19.83,61.92,6.04,BUY,57001.67
2025-02-03,27.2,28.7,26.88,27.53,25.30,25.42,55.77,0.33,SELL,47197.59
2025-02-11,33.66,37.45,32.93,36.79,26.62,28.21,71.32,1.96,SELL,47197.59
2025-02-14,30.17,32.45,29.95,31.0,27.80,27.56,55.94,2.05,BUY,47197.59
2025-02-25,36.49,42.88,36.4,41.73,30.81,27.32,71.86,2.72,SELL,63528.65
2025-02-26,41.48,45.76,40.0,44.98,31.76,27.66,75.03,3.45,SELL,63528.65
2025-02-27,44.98,48.05,43.0307,47.67,32.79,28.05,77.31,4.19,SELL,63528.65
2025-03-10,58.0,71.2,57.608,70.5,41.52,31.96,82.46,7.83,SELL,63528.65
2025-04-16,38.12,42.04,36.89,39.85,43.39,44.04,46.88,-2.27,SELL,63528.65
2025-07-24,18.19,19.1,18.18,18.64,18.09,18.05,52.08,-0.63,BUY,63528.65
2025-07-29,16.3,17.03,16.24,16.71,17.95,17.99,45.41,-0.63,SELL,56951.21
