Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2020-02-25,23.4404,23.4404,23.0167,23.0167,24.36,25.08,28.18,-0.25,BUY,10000.00
2020-02-26,23.015,23.02,22.7,22.7333,24.31,25.02,26.09,-0.36,BUY,9877.00
2020-02-27,22.06,22.63,22.05,22.2746,24.25,24.95,23.11,-0.48,BUY,9677.93
2020-02-28,21.74,22.0256,21.31,22.0256,24.18,24.88,21.66,-0.58,BUY,9569.86
2020-03-09,21.24,21.24,20.2,20.34,23.53,24.44,21.31,-0.80,BUY,8838.31
2020-03-12,18.8,18.8,17.7807,18.1332,22.72,24.05,19.53,-1.23,BUY,7880.56
2020-03-16,16.93,17.0852,16.61,16.7717,22.00,23.70,19.87,-1.58,BUY,7289.67
2020-04-20,25.82,27.31,25.82,26.6135,21.80,21.71,78.28,1.47,BUY,11561.01
2020-05-07,28.57,28.908,28.3,28.3075,26.67,22.61,71.30,1.68,SELL,12296.21
2020-06-24,26.15,26.28,26.05,26.235,27.33,27.41,39.78,-0.20,SELL,12296.21
2020-07-17,29.05,29.68,28.65,29.5825,27.54,27.49,69.71,0.48,BUY,12296.21
2020-07-20,30.69,31.62,30.35,30.581,27.73,27.53,75.02,0.63,SELL,12710.58
2020-08-26,32.81,33.08,32.38,32.9621,31.15,29.54,72.05,0.73,SELL,12710.58
2020-08-27,33.0,33.5899,33.0,33.18,31.32,29.68,73.33,0.79,SELL,12710.58
2020-08-28,33.29,34.12,33.29,34.12,31.52,29.83,78.03,0.91,SELL,12710.58
2020-09-28,29.3,29.47,29.25,29.3022,31.35,31.41,35.26,-0.64,SELL,12710.58
2020-10-15,27.78,27.78,27.5,27.5,29.01,30.79,28.00,-0.80,BUY,12710.58
2020-10-16,27.48,27.67,27.45,27.5324,28.82,30.73,28.52,-0.83,BUY,12725.55
2020-10-28,27.25,27.25,26.43,26.48,28.17,30.23,26.04,-0.72,BUY,12239.34
2020-11-27,30.25,30.63,29.96,29.96,28.64,28.52,63.47,0.43,BUY,13847.10
2020-12-03,31.37,31.8582,31.37,31.58,29.34,28.61,73.68,0.68,SELL,14595.54
2020-12-04,31.48,33.7,31.1857,33.4697,29.61,28.69,81.21,0.90,SELL,14595.54
2020-12-07,35.4,38.49,35.4,36.98,30.06,28.85,88.05,1.34,SELL,14595.54
2020-12-08,37.85,37.85,36.2501,36.839,30.47,28.99,86.69,1.67,SELL,14595.54
2020-12-31,43.56,43.56,42.8285,42.9,40.17,33.26,77.16,2.95,SELL,14595.54
2021-01-05,43.43,46.07,43.43,45.78,41.40,34.23,83.78,2.83,SELL,14595.54
2021-01-06,46.51,47.99,46.0,46.84,41.98,34.64,85.46,2.96,SELL,14595.54
2021-01-07,47.15,48.5899,46.94,48.13,42.54,35.06,87.20,3.13,SELL,14595.54
2021-02-09,51.39,51.88,50.4801,51.01,44.84,42.50,70.95,1.63,SELL,14595.54
2021-02-10,52.69,52.8,50.78,52.1,45.22,42.92,72.86,1.97,SELL,14595.54
2021-02-16,58.31,59.77,56.0001,58.8,47.12,44.48,82.29,3.19,SELL,14595.54
2021-05-07,66.41,68.625,65.87,68.57,58.90,58.34,75.35,2.09,SELL,14595.54
2021-07-05,62.63,62.63,62.63,62.63,64.92,65.00,43.76,-0.92,SELL,14595.54
2021-07-19,53.49,53.7514,52.0,52.65,60.27,64.03,23.00,-2.60,BUY,14595.54
2021-08-19,51.74,52.2736,50.6146,50.85,56.38,59.23,28.75,-1.80,BUY,14096.94
2021-09-01,63.65,64.96,63.13,64.96,56.33,57.96,70.57,0.90,SELL,18005.41
2021-09-02,66.66,70.85,66.5,70.85,57.01,58.09,77.82,1.83,SELL,18005.41
2021-09-03,74.45,76.87,73.5801,74.95,57.92,58.30,81.28,2.86,SELL,18005.41
2021-09-06,74.95,74.95,74.95,74.95,58.88,58.54,81.28,3.63,BUY,18005.41
2021-12-07,80.47,83.45,80.15,82.66,88.48,88.85,44.14,-3.19,SELL,19855.81
2022-03-08,77.0,81.45,74.2,80.02,70.59,70.18,64.22,2.24,BUY,19855.81
2022-04-13,92.49,94.17,92.0,93.82,84.85,77.00,70.16,3.52,SELL,23278.21
2022-05-06,69.92,70.385,67.24,69.52,81.18,81.33,34.09,-3.33,SELL,23278.21
2022-08-04,67.93,68.34,67.47,67.78,63.25,62.85,60.65,2.03,BUY,23278.21
2022-10-07,67.18,68.5,66.35,66.9,69.66,70.20,45.16,-1.10,SELL,22976.37
2022-11-30,64.92,68.08,64.92,68.08,66.72,66.51,53.51,-0.45,BUY,22976.37
2022-12-05,66.2,66.35,62.79,63.07,66.56,66.59,42.40,-0.60,SELL,21288.00
2022-12-21,30.45,30.85,30.27,30.81,61.48,64.74,13.83,-3.99,BUY,21288.00
2022-12-22,30.9,30.9,29.723,30.4,59.67,64.03,13.70,-5.81,BUY,21005.10
2022-12-23,30.83,31.16,30.5433,31.01,57.91,63.39,15.02,-7.13,BUY,21426.00
2023-01-06,31.97,33.5,31.97,33.48,41.80,56.21,25.90,-8.07,BUY,23130.30
2023-02-27,33.35,33.72,33.03,33.49,35.37,35.30,36.94,-1.11,BUY,23137.20
2023-03-07,32.9,32.92,31.611,31.76,34.44,34.45,32.66,-1.05,SELL,21943.50
2023-05-12,31.55,32.01,31.525,31.84,30.48,30.41,57.91,0.37,BUY,21943.50
2023-09-05,39.73,40.72,39.73,40.64,36.82,34.90,77.96,1.32,SELL,28006.70
2023-09-14,43.35,44.72,43.22,44.03,38.90,36.03,82.30,1.85,SELL,28006.70
2023-09-15,44.44,45.705,44.44,44.78,39.42,36.29,83.74,2.06,SELL,28006.70
2023-09-25,46.06,48.25,45.9,48.22,41.82,37.70,81.00,2.48,SELL,28006.70
2024-01-12,54.67,57.0297,54.6001,56.63,48.83,48.30,75.19,1.14,SELL,28006.70
2024-01-16,57.79,58.1485,55.56,56.54,49.22,48.49,74.74,1.55,SELL,28006.70
2024-03-04,49.64,49.94,47.95,48.05,51.41,51.64,39.72,-1.29,SELL,28006.70
2024-04-12,54.43,55.35,52.21,52.74,50.96,50.95,55.58,0.97,BUY,28006.70
2024-06-24,51.0,51.04,49.6301,49.79,53.09,53.20,38.57,-0.99,SELL,26440.25
2024-10-01,46.5,47.57,46.22,47.05,42.37,42.26,65.54,1.36,BUY,26440.25
2024-10-16,48.75,51.71,48.71,51.05,46.88,43.16,72.56,1.67,SELL,28684.25
2024-10-17,51.77,52.7199,51.11,51.56,47.38,43.40,73.76,1.84,SELL,28684.25
2024-10-18,52.0,53.16,51.32,52.89,47.87,43.64,76.65,2.07,SELL,28684.25
2024-10-21,53.35,53.48,51.99,52.38,48.24,43.89,73.32,2.18,SELL,28684.25
2024-11-22,49.82,49.82,48.4199,49.36,47.18,47.22,57.98,0.30,SELL,28684.25
2025-04-04,30.32,30.6367,28.26,29.25,33.56,36.26,24.18,-1.32,BUY,28684.25
2025-04-07,27.95,30.1641,27.6,28.21,33.35,35.95,21.74,-1.57,BUY,27665.05
2025-05-08,38.03,38.4699,37.27,37.27,33.56,33.33,67.09,1.12,BUY,36543.85
2025-05-23,38.765,41.3,38.765,41.1,36.87,34.23,73.89,1.22,SELL,40297.25
2025-05-26,41.1,41.1,41.1,41.1,37.19,34.39,73.89,1.42,SELL,40297.25
2025-05-27,42.23,42.58,41.2,41.48,37.52,34.53,74.88,1.59,SELL,40297.25
2025-06-16,45.8,47.8,45.36,46.3,41.23,36.92,73.62,1.95,SELL,40297.25
2025-08-21,44.35,45.18,44.09,45.1,46.77,46.90,42.93,-0.31,SELL,40297.25
2025-08-29,52.2,53.99,50.96,51.43,47.63,47.42,63.68,0.84,BUY,40297.25
