Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2018-06-11,11.26,11.31,10.775,11.23,10.85,10.79,54.83,0.15,BUY,10000.00
2018-07-03,10.58,10.745,10.24,10.74,10.73,10.73,50.82,-0.11,SELL,9563.90
2018-10-12,8.41,8.41,7.8,7.91,9.10,9.50,25.22,-0.30,BUY,9563.90
2018-10-15,7.99,8.48,7.85,7.88,9.03,9.45,24.92,-0.35,BUY,9527.63
2018-11-07,9.4,10.16,8.69,9.78,7.98,8.81,73.59,-0.10,SELL,11824.73
2018-11-08,10.04,10.46,9.82,10.3,8.08,8.82,77.43,0.08,SELL,11824.73
2018-11-09,10.11,11.48,10.11,11.18,8.24,8.85,82.15,0.28,SELL,11824.73
2018-11-12,11.27,12.17,10.87,11.85,8.44,8.89,84.76,0.49,SELL,11824.73
2018-11-15,11.81,12.14,11.4,11.99,9.02,9.01,84.13,0.85,BUY,11824.73
2018-11-30,12.17,12.33,11.91,12.25,11.39,9.63,73.80,0.86,SELL,12081.09
2018-12-28,9.12,9.51,9.12,9.3,10.17,10.18,36.05,-0.51,SELL,12081.09
2019-01-28,10.49,10.73,10.485,10.6,10.78,10.76,49.77,0.08,BUY,12081.09
2019-02-15,11.95,12.49,11.84,12.28,11.01,10.55,72.85,0.29,SELL,13994.61
2019-03-15,13.68,14.32,13.68,14.18,12.91,11.76,72.99,0.52,SELL,13994.61
2019-03-18,14.38,14.42,13.7,14.1,13.01,11.82,71.35,0.56,SELL,13994.61
2019-03-19,14.25,14.848,14.0394,14.56,13.11,11.89,74.86,0.62,SELL,13994.61
2019-03-20,14.59,14.95,14.34,14.83,13.22,11.97,76.67,0.68,SELL,13994.61
2019-03-21,14.75,15.91,14.7286,15.3,13.37,12.05,79.44,0.76,SELL,13994.61
2019-05-17,17.05,18.8,17.05,17.95,16.15,15.42,71.85,0.40,SELL,13994.61
2019-05-21,17.92,18.26,17.72,18.1,16.42,15.61,71.20,0.57,SELL,13994.61
2019-08-15,15.98,16.07,15.45,15.45,17.55,17.65,30.52,-0.49,SELL,13994.61
2019-11-07,17.76,18.16,17.76,17.96,15.96,15.99,70.69,0.40,SELL,13994.61
2019-11-08,17.98,18.1,17.64,17.66,16.09,16.02,66.29,0.46,BUY,13994.61
2019-12-12,21.58,22.25,21.26,21.78,20.21,17.73,78.39,0.99,SELL,17257.65
2020-03-12,14.03,14.1634,11.6725,12.93,20.02,20.89,23.15,-1.70,BUY,17257.65
2020-05-26,16.32,16.74,15.82,16.42,15.00,14.97,62.77,0.19,BUY,21913.31
2020-08-27,17.09,17.11,16.95,16.95,17.93,17.95,33.48,-0.30,SELL,22620.33
2020-10-16,19.24,19.5,19.22,19.28,17.53,17.51,74.68,0.53,BUY,22620.33
2020-12-02,21.25,21.89,21.0501,21.81,19.94,18.98,70.13,0.59,SELL,25588.02
2020-12-03,21.9,23.54,21.9,23.02,20.11,19.11,75.97,0.75,SELL,25588.02
2020-12-30,23.94,24.84,23.81,24.43,23.17,21.05,71.53,0.90,SELL,25588.02
2020-12-31,24.56,24.96,24.46,24.81,23.26,21.15,73.85,0.93,SELL,25588.02
2021-02-15,25.12,25.12,25.12,25.12,23.66,23.68,61.63,0.49,SELL,25588.02
2021-02-22,24.02,24.91,24.02,24.79,23.87,23.84,56.79,0.34,BUY,25588.02
2021-04-09,27.5,29.14,27.5,29.04,26.28,25.23,73.67,0.62,SELL,29974.02
2021-07-01,32.45,33.1986,32.15,33.13,30.98,29.83,70.59,0.78,SELL,29974.02
2021-11-05,38.12,43.0929,37.75,42.37,37.26,35.55,81.64,1.10,SELL,29974.02
2021-11-08,42.5,42.5999,41.6,41.84,37.55,35.69,76.86,1.31,SELL,29974.02
2021-12-06,35.0,35.2246,33.81,34.39,36.41,36.62,41.45,-0.66,SELL,29974.02
2022-08-09,27.7,27.76,27.11,27.56,26.01,25.86,60.14,0.76,BUY,29974.02
2022-09-22,26.27,26.4,25.28,25.36,27.11,27.29,35.62,-0.30,SELL,27582.62
2022-09-27,24.62,24.97,23.55,23.64,26.65,27.30,27.69,-0.77,BUY,27582.62
2022-10-31,28.95,29.26,28.79,28.92,26.71,26.58,64.59,0.72,BUY,33739.10
2022-11-10,29.95,31.91,29.88,31.84,28.10,26.85,70.97,0.98,SELL,37143.82
2022-11-11,32.06,32.42,31.68,32.26,28.40,26.96,72.23,1.16,SELL,37143.82
2022-12-19,26.7,27.38,26.14,26.39,28.51,28.63,32.41,-0.68,SELL,37143.82
2023-01-26,29.54,29.8705,29.06,29.61,28.61,28.45,60.73,0.42,BUY,37143.82
2023-02-03,30.39,31.58,30.23,31.48,29.52,28.37,73.71,0.64,SELL,39488.80
2023-02-15,32.37,32.98,31.785,32.97,30.33,28.76,70.65,0.88,SELL,39488.80
2023-03-28,29.54,29.675,28.95,29.22,30.70,30.89,40.41,-0.55,SELL,39488.80
2023-05-11,30.1,30.5,29.87,30.4,30.05,29.97,53.94,0.08,BUY,39488.80
2023-10-06,32.36,32.68,31.88,31.96,33.28,33.32,37.44,-0.29,SELL,41513.68
2023-11-28,31.34,32.21,31.18,31.69,31.57,31.54,50.89,0.29,BUY,41513.68
2024-03-20,41.04,41.5301,40.785,41.35,39.24,36.59,78.78,1.22,SELL,54158.62
2024-03-21,41.68,42.14,41.55,41.67,39.45,36.77,80.13,1.26,SELL,54158.62
2024-04-02,41.34,42.3,41.3,41.93,40.73,37.89,70.39,1.22,SELL,54158.62
2024-04-08,43.3,44.025,43.14,43.83,41.46,38.57,77.74,1.28,SELL,54158.62
2024-04-16,42.71,44.775,42.1015,44.62,42.54,39.67,70.90,1.17,SELL,54158.62
2024-04-17,44.97,45.38,43.91,44.66,42.73,39.87,71.08,1.21,SELL,54158.62
2024-04-18,44.65,45.91,44.45,45.9,42.95,40.10,75.88,1.32,SELL,54158.62
2024-04-19,46.11,47.85,45.98,47.47,43.24,40.35,80.33,1.52,SELL,54158.62
2024-04-22,47.75,49.1599,47.5,48.93,43.61,40.63,83.40,1.78,SELL,54158.62
2024-04-23,49.06,50.8898,49.06,50.64,44.06,40.91,86.13,2.10,SELL,54158.62
2024-05-09,52.35,52.65,52.19,52.25,49.22,44.36,78.26,2.48,SELL,54158.62
2024-05-24,53.35,54.166,53.23,54.15,51.83,47.14,70.26,1.65,SELL,54158.62
2024-06-24,48.58,49.475,48.3,48.8,50.05,50.06,44.87,-0.59,SELL,54158.62
2024-07-29,53.5,53.77,52.07,52.36,50.68,50.46,56.88,1.01,BUY,54158.62
2024-10-15,58.64,60.3,58.38,59.58,56.23,53.43,71.24,1.47,SELL,61624.10
2024-10-16,60.85,60.85,60.05,60.31,56.54,53.73,73.39,1.60,SELL,61624.10
2024-11-06,67.2,67.275,64.36,64.77,60.08,56.55,70.11,1.47,SELL,61624.10
2024-11-11,68.5,70.56,67.8685,70.21,61.36,57.33,76.15,2.38,SELL,61624.10
2025-01-07,62.39,62.75,58.769,60.93,64.85,65.18,36.10,-0.42,SELL,61624.10
2025-02-10,71.87,71.87,69.36,69.98,65.91,65.90,63.06,0.83,BUY,61624.10
2025-03-07,57.67,59.1699,56.55,58.49,64.91,65.07,32.72,-1.90,SELL,51512.90
2025-05-13,63.39,65.71,63.23,64.76,58.34,57.99,66.61,1.10,BUY,51512.90
2025-07-17,69.55,72.21,69.37,70.97,64.55,63.37,71.62,1.42,SELL,56449.85
