Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2022-07-20,36.99,37.2917,36.9,37.2917,34.42,34.38,64.67,0.30,BUY,10000.00
2022-09-12,36.5631,36.6165,36.08,36.6165,36.33,36.54,52.67,-0.59,SELL,9819.05
2022-09-23,30.779,30.779,30.35,30.7695,34.09,36.31,28.15,-1.27,BUY,9819.05
2022-09-26,30.75,30.75,30.3527,30.3527,33.83,36.23,26.86,-1.40,BUY,9686.09
2022-12-01,31.6001,31.9045,31.6001,31.9045,30.25,30.12,58.56,0.26,BUY,10181.11
2022-12-27,27.7,27.7047,27.39,27.4266,29.81,29.86,34.17,-0.67,SELL,8752.66
2023-01-24,32.9501,33.0038,32.7655,32.7655,30.08,30.07,66.21,0.85,BUY,8752.66
2023-02-02,35.85,37.0452,35.85,36.4505,32.15,30.52,75.06,1.37,SELL,9736.56
2023-03-15,31.44,31.5806,31.38,31.5806,32.48,32.54,43.74,-0.42,SELL,9736.56
2023-04-14,33.6601,33.6601,33.3171,33.3171,33.24,33.14,52.03,0.19,BUY,9736.56
2023-05-04,31.1604,31.18,31.1604,31.1641,32.51,32.55,34.81,-0.39,SELL,9107.88
2023-05-25,34.7199,34.8102,34.6694,34.8102,32.97,32.96,66.06,0.55,BUY,9107.88
2023-07-12,40.85,41.5,40.85,41.4213,39.06,36.68,71.53,0.84,SELL,10833.38
2023-07-13,42.19,42.2356,42.1799,42.2356,39.20,36.89,74.59,1.00,SELL,10833.38
2023-08-16,36.72,36.7523,36.3643,36.3643,39.48,39.49,29.98,-0.67,SELL,10833.38
2023-09-21,34.53,34.53,34.4572,34.4572,36.67,38.27,27.13,-0.67,BUY,10833.38
2023-11-17,37.8,38.0079,37.8,38.0079,35.36,35.30,66.36,0.71,BUY,11948.30
2023-12-12,39.9,39.9,39.8804,39.8804,38.47,36.32,73.21,0.93,SELL,12536.26
2023-12-13,40.23,40.96,40.23,40.9118,38.65,36.45,78.51,1.02,SELL,12536.26
2023-12-14,42.0,42.0,41.73,41.837,38.85,36.60,81.96,1.15,SELL,12536.26
2023-12-15,41.875,42.0243,41.875,42.0243,39.07,36.75,82.57,1.26,SELL,12536.26
2024-03-28,41.3598,41.3598,41.3598,41.3598,41.68,41.75,48.23,-0.19,SELL,12536.26
2024-04-19,37.6575,37.6575,37.6575,37.6575,40.31,41.25,26.35,-0.81,BUY,12536.26
2024-05-20,42.5697,42.5697,42.5661,42.5661,40.64,40.63,65.78,0.60,BUY,14165.92
2024-07-12,45.9889,45.9889,45.829,45.829,43.93,42.72,72.99,0.75,SELL,15249.20
2024-07-15,46.2566,46.2566,46.2566,46.2566,44.08,42.87,75.34,0.83,SELL,15249.20
2024-07-16,46.6,47.0772,46.6,47.0772,44.28,43.01,79.10,0.95,SELL,15249.20
2024-08-05,39.22,39.22,38.66,38.8783,44.14,43.51,27.01,-0.77,BUY,15249.20
2024-08-08,39.5057,39.5057,39.5057,39.5057,43.23,43.32,33.79,-1.28,SELL,15495.14
2024-09-25,43.2796,43.2796,43.2796,43.2796,42.45,42.38,55.30,0.33,BUY,15495.14
2024-12-26,51.84,51.9206,51.84,51.9206,49.35,46.45,71.20,1.27,SELL,18588.62
2025-01-06,54.11,56.1527,54.1,56.1527,50.35,47.26,74.46,1.33,SELL,18588.62
2025-03-06,50.16,50.16,49.0269,49.0269,52.72,52.72,36.36,-0.94,SELL,18588.62
2025-04-03,43.96,43.96,43.3356,43.3356,47.54,50.97,28.86,-1.42,BUY,18588.62
2025-04-04,41.64,41.64,40.78,41.0484,47.11,50.69,24.18,-1.78,BUY,17609.70
2025-04-07,38.98,41.93,38.98,40.9707,46.80,50.40,24.03,-2.04,BUY,17576.44
2025-04-08,40.36,40.58,39.13,39.5727,46.42,50.14,21.57,-2.34,BUY,16976.70
2025-05-16,49.6753,49.6753,49.6753,49.6753,46.38,46.05,67.87,1.06,BUY,21310.72
2025-07-17,56.0231,56.0231,56.0231,56.0231,53.10,51.10,74.93,1.15,SELL,24033.92
