Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2020-09-01,69.51,75.49,68.66,73.87,63.94,56.56,70.36,3.62,SELL,10000.00
2020-09-23,53.73,54.18,51.1,51.73,57.05,57.47,43.98,-2.93,SELL,10000.00
2020-12-30,43.35,44.92,43.01,43.8,38.85,38.84,65.39,1.65,BUY,10000.00
2021-01-29,36.36,37.52,35.66,36.83,38.30,38.36,43.15,-0.80,SELL,8410.84
2021-02-05,43.46,46.98,43.1,46.71,38.68,38.81,72.04,0.82,SELL,8410.84
2021-03-04,34.59,35.49,29.7,31.61,46.98,42.51,29.06,-0.31,BUY,8410.84
2021-03-05,32.05,32.5,26.96,31.97,46.25,42.29,29.90,-1.24,BUY,8506.60
2021-03-16,37.7,38.49,36.66,37.21,41.29,41.43,42.64,-2.22,SELL,9900.44
2021-04-23,43.75,45.6,43.5,45.49,40.71,40.68,69.96,1.23,BUY,9900.44
2021-04-26,45.5,48.44,45.5,48.14,41.27,40.62,75.53,1.62,SELL,10475.49
2021-04-27,46.93,48.6,46.6,47.72,41.78,40.57,73.22,1.87,SELL,10475.49
2021-06-02,45.56,45.56,44.52,44.9,41.84,41.92,57.50,0.86,SELL,10475.49
2021-06-08,43.64,44.1,42.99,43.29,42.60,42.44,51.04,0.52,BUY,10475.49
2021-06-25,42.65,44.35,42.495,44.16,42.96,42.98,55.60,-0.04,SELL,10685.16
2021-08-12,36.9,36.94,30.33,30.38,37.70,40.31,23.40,-1.33,BUY,10685.16
2021-08-13,30.6,30.99,29.76,30.05,37.29,40.04,22.89,-1.77,BUY,10569.33
2021-08-16,29.65,29.8,28.35,29.1,36.88,39.75,21.45,-2.18,BUY,10235.88
2021-08-17,28.56,28.57,27.1,27.29,36.29,39.43,18.99,-2.62,BUY,9600.57
2021-08-18,27.0,27.07,25.65,25.7,35.58,39.09,17.13,-3.06,BUY,9042.48
2021-09-14,25.92,26.32,24.51,24.59,26.29,32.99,27.54,-1.99,BUY,8652.87
2021-09-15,24.35,24.8,24.1,24.69,26.24,32.67,28.35,-1.98,BUY,8687.97
2021-09-16,24.53,24.84,24.08,24.47,26.16,32.35,27.62,-1.97,BUY,8610.75
2021-09-17,24.5,24.5988,24.09,24.24,26.12,32.00,26.84,-1.96,BUY,8530.02
2021-09-20,23.49,24.21,23.0,24.13,26.06,31.67,26.45,-1.93,BUY,8491.41
2021-09-21,24.29,24.75,23.1,23.15,25.90,31.31,23.26,-1.97,BUY,8147.43
2021-09-30,22.5,22.63,21.68,22.07,24.82,29.20,29.88,-1.64,BUY,7768.35
2021-10-04,21.59,21.615,20.6,20.75,24.28,28.52,25.91,-1.80,BUY,7305.03
2021-10-27,19.54,19.6547,19.0,19.11,21.24,23.79,29.70,-1.17,BUY,6727.75
2021-11-23,16.55,16.63,15.445,15.77,18.87,20.96,29.45,-1.27,BUY,5552.07
2022-01-13,9.29,9.36,8.64,8.66,10.36,13.42,29.93,-1.15,BUY,3049.35
2022-01-14,8.54,8.68,7.69,8.02,10.19,13.19,27.07,-1.21,BUY,2824.07
2022-01-17,8.02,8.02,8.02,8.02,10.07,12.97,27.07,-1.24,BUY,2824.07
2022-03-01,4.52,4.5799,3.2,3.25,6.64,8.12,23.83,-0.89,BUY,1145.03
2022-03-02,3.29,3.3399,2.88,2.98,6.40,7.97,22.94,-1.06,BUY,1049.99
2022-03-03,3.03,3.05,2.82,2.895,6.19,7.80,22.65,-1.19,BUY,1020.07
2022-03-17,2.64,2.74,2.51,2.66,3.94,6.23,27.85,-1.23,BUY,937.35
2022-04-12,2.26,2.31,2.05,2.08,2.68,4.28,29.43,-0.54,BUY,733.19
2022-05-09,1.3,1.31,1.08,1.08,1.70,2.33,23.10,-0.38,BUY,381.19
2022-07-12,1.45,1.47,1.37,1.43,1.35,1.35,51.97,0.03,BUY,504.39
2022-08-05,1.8,2.34,1.76,2.32,1.65,1.45,71.73,0.12,SELL,817.67
2022-08-08,2.59,2.76,2.37,2.46,1.70,1.47,74.01,0.17,SELL,817.67
2022-09-15,1.72,1.84,1.72,1.8,1.75,1.75,51.57,-0.00,SELL,817.67
2022-11-30,1.27,1.31,1.12,1.23,1.13,1.13,54.36,0.04,BUY,817.67
2022-12-23,0.92,0.9467,0.8897,0.9395,1.06,1.07,40.02,-0.05,SELL,624.78
2023-03-08,0.92,0.9594,0.901,0.9406,1.05,1.06,41.21,-0.04,SELL,624.78
2023-06-08,1.05,1.19,1.0,1.15,0.83,0.85,80.72,0.04,SELL,624.78
2023-07-05,1.58,1.72,1.48,1.66,1.29,1.00,73.17,0.16,SELL,624.78
2023-07-07,1.54,1.8,1.535,1.78,1.35,1.04,71.11,0.18,SELL,624.78
2023-07-10,1.8,2.0399,1.765,1.99,1.40,1.06,75.59,0.20,SELL,624.78
2023-07-11,1.99,2.21,1.85,2.17,1.45,1.09,78.65,0.24,SELL,624.78
2023-07-12,2.25,2.65,2.16,2.44,1.51,1.12,82.25,0.28,SELL,624.78
2023-07-19,2.51,2.82,2.33,2.67,1.76,1.26,71.78,0.32,SELL,624.78
2023-08-23,1.08,1.2,1.07,1.18,1.67,1.71,35.45,-0.21,SELL,624.78
2024-01-23,0.2857,0.3333,0.2707,0.3041,0.53,0.64,28.60,-0.08,BUY,624.78
2024-01-24,0.29,0.3041,0.25,0.2601,0.50,0.63,26.55,-0.09,BUY,534.40
2024-02-08,0.2033,0.206,0.1959,0.199,0.31,0.52,26.11,-0.10,BUY,408.90
2024-02-15,14.06,14.3198,12.77,13.0,1.61,1.01,88.50,1.82,SELL,26702.16
2024-03-13,11.21,22.22,10.84,17.49,11.94,4.99,72.09,2.61,SELL,26702.16
2024-04-25,11.44,12.3787,11.0122,11.48,11.82,12.03,49.61,-0.02,SELL,26702.16
2024-05-06,13.63,16.8213,12.81,15.39,11.82,12.23,70.57,0.41,SELL,26702.16
2024-08-06,8.05,8.06,7.71,7.72,9.04,9.54,27.13,-0.38,BUY,26702.16
2024-08-07,7.91,7.98,7.5,7.59,8.97,9.49,26.00,-0.44,BUY,26252.62
2024-08-08,7.58,7.6329,7.1,7.16,8.87,9.41,22.66,-0.52,BUY,24765.68
2024-08-09,7.16,7.16,5.0,5.61,8.69,9.30,15.13,-0.70,BUY,19405.78
2024-08-12,5.95,6.0,5.1045,5.62,8.50,9.21,15.32,-0.83,BUY,19440.37
2024-10-07,10.06,10.13,9.57,9.7,8.21,8.07,60.14,0.57,BUY,33553.09
