Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2019-03-21,27.4992,28.3382,27.47,28.3046,26.01,24.74,70.33,0.67,SELL,10000.00
2019-05-27,27.33,27.33,27.33,27.33,29.78,30.06,36.20,-0.84,SELL,10000.00
2019-06-28,31.49,31.745,31.49,31.6023,30.04,29.97,59.79,0.73,BUY,10000.00
2019-07-12,35.13,35.61,35.13,35.61,32.59,30.20,77.93,1.31,SELL,11266.43
2019-07-15,36.11,36.11,35.4401,35.9083,32.84,30.27,78.94,1.41,SELL,11266.43
2019-08-05,28.7617,28.7961,27.41,28.01,33.83,31.63,24.89,-0.42,BUY,11266.43
2019-08-14,28.5,28.81,27.81,27.81,32.00,32.11,35.81,-1.04,SELL,11186.03
2019-09-19,33.34,33.4,32.95,33.01,32.05,32.02,54.63,0.66,BUY,11186.03
2019-10-17,33.02,33.4122,33.02,33.0575,31.19,31.21,59.08,0.13,SELL,11202.09
2019-10-31,32.039,32.2212,31.48,31.6238,31.75,31.75,48.20,0.13,BUY,11202.09
2020-02-12,40.4,40.8173,40.4,40.79,36.93,35.59,72.26,1.01,SELL,14446.92
2020-02-25,35.4601,35.4601,32.07,32.3365,38.04,36.70,29.40,0.20,BUY,14446.92
2020-02-26,32.99,33.5,31.481,31.5299,37.86,36.64,27.66,-0.32,BUY,14087.18
2020-02-27,29.89,31.403,28.0115,28.0115,37.53,36.51,21.64,-1.00,BUY,12517.97
2020-02-28,24.81,26.99,24.81,26.9701,37.12,36.35,20.23,-1.61,BUY,12053.51
2020-03-04,29.19,30.67,28.4175,30.67,35.95,36.04,39.52,-2.17,SELL,13703.66
2020-05-05,19.99,20.0,19.17,19.19,18.41,17.97,52.69,0.60,BUY,13703.66
2020-08-10,35.62,36.4852,35.52,36.4321,32.55,29.63,72.04,1.72,SELL,26014.52
2020-08-12,37.46,37.89,36.965,37.7196,33.18,30.02,74.51,1.96,SELL,26014.52
2021-01-07,53.51,55.81,53.49,55.41,49.75,47.03,73.26,1.50,SELL,26014.52
2021-01-08,57.13,58.84,56.78,58.75,50.36,47.49,78.78,2.01,SELL,26014.52
2021-03-05,46.03,46.26,40.1092,45.91,55.43,55.66,34.11,-2.59,SELL,26014.52
2021-04-06,61.0,62.75,60.9835,62.13,55.45,55.42,65.07,1.41,BUY,26014.52
2021-05-25,57.87,58.545,56.67,57.89,60.50,60.55,45.47,-1.68,SELL,24242.20
2021-07-01,66.54,67.1441,66.435,67.04,61.57,61.11,71.32,1.79,BUY,24242.20
2021-08-27,67.7,69.06,67.29,68.87,67.46,67.57,54.01,-0.08,SELL,24902.83
2021-09-14,71.2,71.2,68.83,69.85,68.97,68.81,52.27,0.82,BUY,24902.83
2021-10-18,76.16,79.6931,75.91,79.52,70.30,69.48,70.29,1.49,SELL,28345.35
2021-12-22,85.42,89.25,85.35,89.25,91.68,92.77,48.26,-2.69,SELL,28345.35
2022-01-21,68.84,69.665,63.77,63.77,87.58,91.82,25.06,-5.58,BUY,28345.35
2022-04-07,59.58,60.69,56.9611,60.29,61.04,60.82,48.00,1.24,BUY,26800.23
2022-04-29,46.57,48.1499,42.23,42.55,56.73,57.17,32.99,-3.41,SELL,18923.67
2022-07-28,31.71,33.12,30.67,33.06,27.87,27.82,61.08,1.15,BUY,18923.67
2022-09-16,31.5,32.4,30.95,32.36,34.12,34.39,44.57,-0.55,SELL,18523.27
2023-01-30,23.01,23.3538,22.33,22.4,19.36,19.34,63.89,1.03,BUY,18523.27
2023-02-02,26.6,28.45,26.55,27.6,20.79,19.57,77.30,1.78,SELL,22818.47
2023-03-15,18.68,19.56,18.43,19.56,21.48,21.49,41.06,-0.86,SELL,22818.47
