Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2021-05-13,6.96,7.22,6.14,6.21,8.39,9.71,27.24,-0.93,BUY,10000.00
2021-08-19,4.5,4.54,4.28,4.31,5.10,6.05,29.62,-0.42,BUY,6941.00
2021-11-12,3.38,6.2,3.33,4.62,3.60,3.97,70.75,-0.07,SELL,7440.10
2022-01-19,2.03,2.1071,1.845,1.9,2.29,2.72,29.30,-0.18,BUY,7440.10
2022-02-23,1.73,1.73,1.51,1.52,1.90,2.09,29.70,-0.10,BUY,5952.40
2022-04-13,0.739,0.7549,0.7,0.7435,0.95,1.30,29.98,-0.15,BUY,2911.63
2022-07-18,0.735,0.78,0.706,0.7466,0.65,0.65,68.30,0.02,BUY,2923.77
2022-09-13,0.6804,0.69,0.6773,0.6809,0.69,0.69,47.39,-0.00,SELL,2666.48
2022-09-27,0.8,0.85,0.78,0.78,0.70,0.69,65.59,0.01,BUY,2666.48
2022-10-11,0.87,1.27,0.87,1.17,0.79,0.73,89.37,0.07,SELL,3999.50
2022-10-12,1.03,1.46,1.03,1.35,0.82,0.75,92.32,0.11,SELL,3999.50
2022-10-13,1.35,1.55,1.29,1.52,0.86,0.76,94.01,0.14,SELL,3999.50
2022-10-14,1.5,1.73,1.4,1.71,0.91,0.78,95.26,0.19,SELL,3999.50
2022-12-13,1.55,1.83,1.14,1.83,1.37,1.26,81.24,0.10,SELL,3999.50
2022-12-14,1.87,2.7,1.87,2.6,1.43,1.29,90.59,0.19,SELL,3999.50
2022-12-29,0.1921,0.234,0.1921,0.2008,1.17,1.19,33.77,-0.31,SELL,3999.50
2023-03-01,0.2101,0.22,0.204,0.2041,0.24,0.24,35.95,-0.04,BUY,3999.50
2023-03-06,0.225,0.225,0.205,0.2054,0.23,0.23,37.39,-0.03,SELL,4024.98
2023-04-27,0.189,0.1948,0.18,0.182,0.20,0.20,39.71,-0.00,BUY,4024.98
2023-05-22,0.1898,0.1915,0.171,0.18,0.19,0.19,44.20,-0.00,SELL,3980.75
2023-06-26,0.19,0.19,0.1851,0.19,0.19,0.19,51.01,0.00,BUY,3980.75
2023-08-04,0.175,0.18,0.175,0.1788,0.19,0.19,43.19,-0.00,SELL,3746.10
2023-08-24,0.1554,0.1572,0.1261,0.141,0.17,0.18,24.74,-0.01,BUY,3746.10
2023-08-25,0.1174,0.1336,0.1174,0.1291,0.17,0.18,20.49,-0.01,BUY,3429.94
2023-08-28,0.129,0.129,0.1206,0.1268,0.16,0.18,19.79,-0.01,BUY,3368.83
2023-09-26,0.125,0.125,0.107,0.109,0.12,0.15,29.60,-0.01,BUY,2895.92
2023-09-27,0.109,0.1189,0.1055,0.1079,0.11,0.15,28.86,-0.01,BUY,2866.70
2023-10-02,0.111,0.111,0.0972,0.1045,0.11,0.14,28.07,-0.01,BUY,2776.36
2023-10-03,0.1098,0.1098,0.0925,0.0986,0.11,0.14,24.37,-0.01,BUY,2619.61
2023-10-04,0.0885,0.1,0.0881,0.0955,0.11,0.14,22.67,-0.01,BUY,2537.25
2023-12-21,2.28,2.28,1.72,1.91,0.28,0.17,83.22,0.28,SELL,50744.89
2023-12-22,1.94,2.2684,1.94,2.1923,0.39,0.21,85.03,0.38,SELL,50744.89
2024-01-19,4.46,5.71,4.43,5.19,3.27,1.36,87.62,0.89,SELL,50744.89
2024-01-22,5.08,6.8499,5.01,6.33,3.47,1.48,90.85,1.04,SELL,50744.89
2024-01-23,6.66,8.1,6.1,7.77,3.77,1.64,93.24,1.25,SELL,50744.89
2024-01-24,7.83,9.34,7.83,9.34,4.12,1.82,94.83,1.53,SELL,50744.89
2024-01-26,8.52,11.1098,8.52,10.3,4.81,2.19,85.74,1.89,SELL,50744.89
2024-02-22,1.3,1.4,1.21,1.22,2.49,2.78,40.53,-0.66,SELL,50744.89
2024-02-28,1.21,1.24,1.19,1.19,1.31,2.88,40.48,-0.58,BUY,50744.89
2024-05-29,1.06,1.06,1.02,1.0499,1.06,1.06,46.75,-0.01,BUY,44770.74
2024-06-12,1.03,1.04,1.0,1.0099,1.05,1.06,43.42,-0.02,SELL,43065.06
2024-06-25,0.92,0.92,0.8331,0.835,1.00,1.04,26.20,-0.04,BUY,43065.06
2024-07-08,0.7946,0.8014,0.71,0.7236,0.92,1.00,23.48,-0.07,BUY,37319.72
2024-07-17,0.98,1.54,0.9605,1.28,0.87,0.98,75.85,-0.01,SELL,66016.05
2024-08-06,0.86,0.93,0.8001,0.834,0.95,0.95,42.96,-0.01,BUY,66016.05
2024-08-15,0.7353,0.78,0.72,0.764,0.91,0.92,38.84,-0.04,SELL,60475.20
2024-10-08,0.81,0.829,0.7988,0.8172,0.84,0.84,47.56,-0.00,BUY,60475.20
2024-10-09,0.81,0.825,0.793,0.7999,0.83,0.84,45.56,-0.01,SELL,59194.97
2024-11-26,0.85,0.985,0.81,0.96,0.81,0.81,73.81,0.02,SELL,59194.97
2024-12-06,0.98,1.18,0.98,1.115,0.88,0.83,78.99,0.06,SELL,59194.97
2024-12-09,1.14,1.26,1.0901,1.2,0.90,0.84,82.79,0.07,SELL,59194.97
2024-12-10,1.22,1.323,1.17,1.291,0.93,0.85,85.76,0.09,SELL,59194.97
2024-12-12,1.34,1.49,1.3,1.44,0.99,0.87,89.27,0.13,SELL,59194.97
2024-12-13,1.44,1.6428,1.3963,1.61,1.03,0.89,91.77,0.16,SELL,59194.97
2024-12-20,1.71,2.4,1.71,2.14,1.26,0.98,86.58,0.26,SELL,59194.97
2025-01-31,0.1717,0.22,0.157,0.1825,1.25,1.31,31.27,-0.45,SELL,59194.97
2025-03-28,0.109,0.109,0.0985,0.1018,0.15,0.18,29.67,-0.05,BUY,59194.97
2025-03-31,0.0905,0.1,0.0905,0.094,0.15,0.18,28.74,-0.05,BUY,54659.41
