Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2019-02-07,30.72,30.83,29.23,29.38,32.30,38.84,28.10,-2.24,BUY,10000.00
2019-02-08,28.97,29.35,27.97,28.64,32.07,38.42,26.31,-2.32,BUY,9748.40
2019-02-11,28.86,29.39,28.51,28.78,31.89,37.95,27.25,-2.35,BUY,9796.00
2019-02-27,19.42,19.955,18.8,19.37,29.57,33.44,18.89,-2.10,BUY,6596.60
2019-02-28,19.08,21.73,19.01,20.23,28.98,33.03,22.62,-2.59,BUY,6889.00
2019-04-12,18.49,18.82,17.61,17.7,19.95,23.41,28.53,-1.02,BUY,6028.80
2022-01-11,232.79,234.68,228.89,233.96,41.19,30.65,97.99,29.48,SELL,79557.20
2022-01-12,234.34,235.0,232.48,233.77,51.88,34.74,97.90,39.54,SELL,79557.20
2022-01-27,227.69,228.03,220.87,222.99,165.82,78.47,85.71,49.82,SELL,79557.20
2022-02-04,233.21,240.34,233.21,237.86,230.73,104.21,84.83,39.00,SELL,79557.20
2022-02-07,238.0,238.87,235.49,235.9,230.90,108.54,82.75,36.96,SELL,79557.20
2022-02-08,225.7,229.11,217.0,225.14,230.46,112.64,72.27,34.09,SELL,79557.20
2022-02-09,224.99,230.74,223.83,228.62,230.20,116.82,73.44,31.72,SELL,79557.20
2022-02-10,225.71,230.615,225.5,226.58,229.97,120.94,71.54,29.35,SELL,79557.20
2022-03-18,232.95,236.22,229.39,236.0,223.73,226.84,66.86,5.71,SELL,79557.20
2022-03-28,237.58,241.48,237.58,240.85,227.72,227.27,66.94,6.17,BUY,79557.20
2022-05-02,213.82,216.03,207.53,211.48,234.30,230.83,29.12,-2.50,BUY,69865.10
2022-05-06,214.78,214.78,210.24,212.5,229.42,230.42,34.85,-4.91,SELL,70201.70
2022-08-08,210.5,212.41,208.98,210.68,201.85,201.35,63.79,2.46,BUY,70201.70
2022-09-22,205.0,205.265,201.135,203.4,207.54,208.11,40.95,-0.89,SELL,67777.46
2022-10-27,211.11,215.9,208.78,212.69,207.83,207.67,56.56,1.23,BUY,67777.46
2023-01-06,249.25,254.78,248.02,253.43,244.44,238.79,70.79,2.59,SELL,80732.78
2023-01-09,253.94,258.43,252.94,255.06,244.94,239.53,72.61,3.12,SELL,80732.78
2023-02-23,236.89,238.45,234.75,237.2,247.25,247.88,36.80,-3.31,SELL,80732.78
2023-03-15,222.25,223.6,217.84,219.72,235.46,245.24,26.72,-5.01,BUY,80732.78
2023-04-21,240.8,241.6,239.725,241.26,235.29,234.73,63.37,1.82,BUY,88637.96
2023-05-17,229.24,229.59,226.4,226.84,231.23,231.51,41.38,-1.88,SELL,83345.82
2023-06-28,232.62,233.23,230.98,232.71,229.11,228.75,57.46,1.86,BUY,83345.82
2023-07-27,216.73,220.84,211.2,212.25,230.89,228.62,26.54,-1.09,BUY,76021.14
2023-07-28,212.16,213.12,206.46,209.1,229.72,228.25,24.49,-2.58,BUY,74893.44
2023-08-01,210.98,213.88,210.17,212.6,227.46,227.54,31.05,-4.15,SELL,76146.44
2023-10-03,207.89,208.33,205.685,206.55,208.35,207.73,43.89,0.55,BUY,76146.44
2023-10-26,220.0,232.81,220.0,229.08,210.25,208.00,72.36,1.25,SELL,84437.48
2023-10-27,228.57,231.33,225.935,228.92,211.25,208.65,72.08,2.52,SELL,84437.48
2023-10-30,229.04,233.98,227.81,232.79,212.48,209.33,74.62,3.79,SELL,84437.48
2023-10-31,233.78,237.125,233.0433,235.89,213.95,210.03,76.47,4.99,SELL,84437.48
2023-11-21,242.49,243.44,241.78,242.97,236.14,220.34,72.82,7.05,SELL,84437.48
2024-01-09,240.97,241.8,238.365,239.87,240.23,240.25,50.38,0.33,SELL,84437.48
2024-01-19,248.71,251.19,247.91,250.76,242.31,242.09,65.78,2.40,BUY,84437.48
2024-02-06,256.59,269.42,256.59,268.45,249.03,244.45,78.38,3.41,SELL,90381.32
2024-02-07,270.14,272.09,267.32,271.79,250.63,245.00,80.20,4.77,SELL,90381.32
2024-02-08,270.41,271.98,267.92,270.11,251.86,245.50,76.70,5.66,SELL,90381.32
2024-04-12,259.52,262.13,258.705,260.31,270.23,270.91,33.35,-2.27,SELL,90381.32
2024-04-26,255.81,255.81,248.12,250.95,263.42,270.01,29.39,-3.20,BUY,90381.32
2024-06-24,261.06,267.23,261.0,266.44,255.73,256.15,70.03,1.47,SELL,95957.72
2024-06-25,265.56,265.56,262.45,263.07,256.22,256.21,61.26,1.73,BUY,95957.72
2024-07-25,270.0,281.0,267.05,277.6,263.62,259.06,72.43,2.95,SELL,101246.64
2024-07-26,280.57,283.49,278.5,283.09,264.57,259.64,76.50,4.06,SELL,101246.64
2024-11-05,301.76,308.38,300.29,307.92,293.99,292.62,70.87,3.00,SELL,101246.64
2024-11-06,315.54,320.1,311.72,317.31,294.95,293.20,77.40,4.36,SELL,101246.64
2024-12-03,322.48,329.7,319.35,329.06,315.78,302.08,75.14,5.99,SELL,101246.64
2024-12-04,331.28,334.4938,329.04,332.53,317.01,302.94,77.40,6.70,SELL,101246.64
2025-01-07,306.96,310.27,306.96,309.0,311.71,312.15,45.20,-0.92,SELL,101246.64
2025-01-27,323.98,330.18,321.38,329.44,315.81,315.68,66.61,2.91,BUY,101246.64
2025-04-04,327.95,331.14,306.11,308.8,331.69,329.34,28.50,0.03,BUY,94910.16
2025-04-07,308.14,309.125,294.97,301.01,330.14,328.91,24.80,-2.39,BUY,92518.63
2025-04-08,308.96,314.43,298.05,302.06,328.91,328.36,26.19,-4.18,BUY,92840.98
2025-04-16,328.12,329.22,322.71,324.73,327.44,327.81,49.25,-2.31,SELL,99800.67
