Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-04-23,54.58,55.46,54.485,55.0,54.57,54.74,51.77,-0.32,SELL,10000.00
2024-05-01,48.0,48.0,45.6,45.93,53.36,54.56,29.82,-1.46,BUY,10000.00
2024-06-10,53.64,53.79,52.65,53.79,52.88,52.64,54.94,0.33,BUY,11705.62
2024-06-26,48.99,49.0,46.6701,47.87,51.44,51.58,34.81,-1.00,SELL,10420.98
2024-06-27,46.3,47.07,45.7,45.7,51.04,51.44,28.98,-1.28,BUY,10420.98
2024-08-05,43.93,43.93,37.5,39.5,47.19,48.95,28.69,-0.75,BUY,9007.38
2024-10-28,45.95,46.26,45.05,46.26,43.13,43.00,60.72,0.76,BUY,10548.66
2024-12-16,56.0,58.31,55.8,57.69,53.29,48.74,73.53,1.85,SELL,13154.70
2025-01-16,50.91,51.25,50.0001,51.25,51.54,51.70,49.93,-0.54,SELL,13154.70
2025-02-26,41.73,43.0222,39.9011,41.1,47.57,50.24,28.15,-1.86,BUY,13154.70
2025-02-27,41.71,42.09,39.87,40.36,46.97,49.96,26.83,-2.15,BUY,12917.90
2025-05-05,42.05,42.375,41.65,42.375,41.27,41.19,53.01,0.45,BUY,13562.70
2025-08-27,45.66,46.01,45.4235,45.96,47.36,47.41,41.07,-0.41,SELL,14709.90
