Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2023-06-07,7.28,8.97,7.198,8.019,5.96,6.62,71.63,0.21,SELL,10000.00
2023-06-12,8.53,20.8,8.52,13.2,6.62,6.76,88.98,0.90,SELL,10000.00
2023-06-14,8.57,9.13,8.15,8.87,6.96,6.83,57.10,0.90,BUY,10000.00
2023-07-31,10.79,15.74,10.6719,14.23,10.99,9.56,77.09,0.51,SELL,16040.72
2023-09-22,15.98,19.0,15.98,18.78,13.39,12.29,71.13,1.36,SELL,16040.72
2023-09-28,18.8,23.97,18.8,22.45,14.73,12.97,73.57,2.06,SELL,16040.72
2023-11-01,8.63,9.2,8.6,8.89,14.37,15.04,34.64,-2.34,SELL,16040.72
2023-11-21,16.86,24.35,16.86,22.69,10.46,14.79,77.05,0.45,SELL,16040.72
2023-11-22,23.06,26.3,20.07,21.96,11.08,15.01,74.15,1.13,SELL,16040.72
2023-12-04,25.0,25.8,24.01,25.0,16.41,16.17,75.06,3.42,BUY,16040.72
2023-12-18,29.0,509.87,11.2,101.87,29.67,19.16,90.47,9.81,SELL,65314.39
2023-12-19,175.0,190.0,103.7401,113.88,34.51,21.09,91.59,15.04,SELL,65314.39
2023-12-22,69.44,150.0,69.44,137.03,45.65,25.81,75.78,21.61,SELL,65314.39
2023-12-28,140.0,310.4,131.98,174.0,62.62,32.93,75.53,30.74,SELL,65314.39
2023-12-29,215.0,275.55,204.02,248.05,73.82,37.51,81.86,40.44,SELL,65314.39
2024-01-02,234.66,298.5,234.66,255.04,85.32,42.26,82.33,48.14,SELL,65314.39
2024-01-25,213.0,276.11,213.0,276.11,142.89,80.43,74.13,28.00,SELL,65314.39
2024-02-23,8.01,8.16,7.011,7.09,106.57,114.69,34.72,-39.80,SELL,65314.39
2024-07-18,3.64,3.9,3.541,3.57,2.93,2.93,62.23,0.10,BUY,65314.39
2024-09-11,2.65,2.67,2.335,2.57,3.04,3.07,40.67,-0.15,SELL,47019.39
2024-09-20,2.62,4.08,2.57,4.08,2.80,3.07,70.58,-0.02,SELL,47019.39
2024-11-12,1.75,1.7899,1.4,1.44,2.05,2.43,28.18,-0.22,BUY,47019.39
2024-11-13,1.45,1.68,1.39,1.47,2.02,2.40,29.50,-0.24,BUY,47998.95
2024-12-04,0.899,0.899,0.7923,0.85,1.26,1.92,24.70,-0.32,BUY,27754.71
2024-12-06,0.72,0.7729,0.7085,0.7219,1.12,1.84,22.04,-0.32,BUY,23571.99
2025-02-07,0.8204,0.852,0.77,0.8221,0.87,0.87,44.99,-0.03,BUY,26843.72
2025-02-12,0.84,0.9,0.8,0.8075,0.87,0.87,45.26,-0.02,SELL,26367.00
2025-04-29,0.857,0.965,0.8488,0.8948,0.78,0.78,57.18,0.04,BUY,26367.00
2025-06-06,0.79,0.79,0.712,0.7697,0.79,0.79,47.42,-0.01,SELL,22680.80
2025-08-25,0.773,0.8592,0.76,0.85,0.64,0.65,74.73,0.01,SELL,22680.80
