Symbol	Date	Open	High	Low	Close	Volume
ACU	2-Jan-12	9.5	9.5	9.5	9.5	0
ACWV	2-Jan-12	51.25	51.25	51.25	51.25	0
AFK	2-Jan-12	25.75	25.75	25.75	25.75	0
AGG	2-Jan-12	110.25	110.25	110.25	110.25	0
AGQ	2-Jan-12	166.6	166.6	166.6	166.6	0
AGZ	2-Jan-12	112.95	112.95	112.95	112.95	0
AIM	2-Jan-12	3.2	3.2	3.2	3.2	0
AIS	2-Jan-12	2.2	2.2	2.2	2.2	0
AMLP	2-Jan-12	83.1	83.1	83.1	83.1	0
AMS	2-Jan-12	2.66	2.66	2.66	2.66	0
AOA	2-Jan-12	33.05	33.05	33.05	33.05	0
AOK	2-Jan-12	29.35	29.35	29.35	29.35	0
AOM	2-Jan-12	29.9	29.9	29.9	29.9	0
AOR	2-Jan-12	31.14	31.14	31.14	31.14	0
APT	2-Jan-12	1.2	1.2	1.2	1.2	0
ARGT	2-Jan-12	21.02	21.02	21.02	21.02	0
